Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,MESAIEED,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,MESAIEED,,,QA,,,,,
,visa,,,MESAIEED,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,LEKHDERA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,DOHA,,,QA,,,,,
,visa,,,AL KHOR,,,QA,,,,,
