Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
RE111S0019,totalenergies,ST BENOIT CENTRE VILLE,,Saint-Benoît,,,RE,+262 262 50 12 43,https://store.totalenergies.fr/en_EN/RE111S0019,Mo-Sa 05:30-19:30; Su 06:00-19:30,TotalEnergies,Q154037
,visa,,,SAINT BENOIT,,,RE,,,,,
,visa,,,LE PORT,,,RE,,,,,
,visa,,,LE PORT,,,RE,,,,,
,visa,,,ST BENOIT,,,RE,,,,,
,visa,,,SAINT BENOIT,,,RE,,,,,
,visa,,,SAINT-BENOIT,,,RE,,,,,
,visa,,,SAINT BENOIT,,,RE,,,,,
,visa,,,SAINT-BENOIT,,,RE,,,,,
,visa,,,SAINT BENOIT,,,RE,,,,,
,visa,,,SAINT BENOIT,,,RE,,,,,
,visa,,,SAINT BENOIT,,,RE,,,,,
