Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
RO0428,c_and_a,Sibiu Prima Shopping Center,"Calea Surii Mari 39 B, 550089 Sibiu",Sibiu,,,RO,,https://www.c-and-a.com/stores/ro-ro/sibiu/sibiu/calea-surii-mari-39-b.html,Mo 10:00-20:00; Tu 10:00-20:00; We 10:00-20:00; Th 10:00-20:00; Fr 10:00-20:00; Sa 10:00-20:00; Su 10:00-19:00,C&A,Q701338
55185010,deichmann,DEICHMANN magazin Sibiu Calea Surii Mari 39B,,Sibiu,,,RO,+40 731 823 567,https://stores.deichmann.com/ro-ro/ro/sibiu/sibiu/calea-surii-mari-39b,Mo-Sa 10:00-20:00; Su 10:00-19:00,Deichmann,Q664543
ro:178,dm,dm-drogerie markt,,Sibiu,,,RO,+40 374 772 178,https://www.dm.ro/store/r07a/sibiu/calea-surii-mari-39-b,Mo-Su 10:00-20:00,dm,Q266572
W099,jysk,"Prima Shops, Sibiu",,Sibiu,,,RO,,https://jysk.ro/magazinele-jysk?storeId=W099,Mo-Sa 10:00-20:00; Su 10:00-19:00,JYSK,Q138913
RO5310,kaufland,Kaufland Sibiu Veteranilor,,Sibiu,,,RO,+40 800 080 888,https://www.kaufland.ro/utile/magazin/sibiu-veteranilor-de-razboi-5310.html,Mo-Sa 07:00-22:00; Su 08:00-21:00,Kaufland,Q685967
9079,kik,KiK,,Sibiu,,,RO,+40 374 944 395,,Mo-Sa 10:00-20:00; Su 10:00-19:00,KiK,Q883965
1198875,mol,Sibiu 5 - Surii Mari,Calea Surii Mari F.N.; Sibiu ; jud. Sibiu,Sibiu,,,RO,+40 723 676 216;+40 371 000 235,,Mo-Sa 00:00-24:00,MOL,Q549181
RO.1613.8,omv,Petrom,,Sibiu,,,RO,+40 372 429 040,,24/7,Petrom,Q1755034
RO_EXT_00140,totalenergies,Sibiu 5 Surii Mari,,Sibiu,,,RO,,https://store.totalenergies.fr/en_EN/RO_EXT_00140,,MOL,Q549181
,visa,,,SIBIU,,,RO,,,,,
