Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
4418,lukoil,Jagodina autobuska,"Kneza Milosa, nn, 35000, Jagodina",Jagodina,Central Serbia,,RS,,,24/7,Lukoil,Q329347
f54f04ba1e75a52cbf6b891c19735f12,western_union,JPS 7,,Jagodina,Central Serbia,,RS,+381 35 245035,https://location.westernunion.com/yu/state/jagodina/f54f04ba1e75a52cbf6b891c19735f12,Mo-Fr 08:00-20:00; Sa 08:00-14:00,Western Union,Q861042
d54e8ab0e830a7492f17542d08a4ffa2,western_union,MENJACNICA KES,,Jagodina,Central Serbia,,RS,+381 11 3334999,https://location.westernunion.com/yu/state/jagodina/d54e8ab0e830a7492f17542d08a4ffa2,Mo-Fr 08:30-18:00,Western Union,Q861042
cf181d54e13157bd451cd22d27be4d42,western_union,MENJACNICA M AND M,,Jagodina,Central Serbia,,RS,+381 35 882155,https://location.westernunion.com/yu/state/jagodina/cf181d54e13157bd451cd22d27be4d42,Mo-Fr 08:00-20:00; Sa 08:00-15:00,Western Union,Q861042
869b28502f75739dc4299d6e98dda861,western_union,MENJACNICA LAV JE LAV,,Jagodina,Central Serbia,,RS,+381 35 8822299,https://location.westernunion.com/yu/state/jagodina/869b28502f75739dc4299d6e98dda861,Mo-Fr 08:00-19:00; Sa 08:00-14:00,Western Union,Q861042
842d4b314d1986cbeaf685400327a61b,western_union,HALKBANK AD BEOGRAD,,Jagodina,Central Serbia,,RS,+381 11 3300300,https://location.westernunion.com/yu/state/jagodina/842d4b314d1986cbeaf685400327a61b,Mo-Fr 08:00-18:00; Sa 08:00-13:00,Western Union,Q861042
24a09cb4ca8966c2a49a97905dc5c0e2,western_union,VIP JAGODINA,,Jagodina,Central Serbia,,RS,+381 11 3334999,https://location.westernunion.com/yu/state/jagodina/24a09cb4ca8966c2a49a97905dc5c0e2,Mo-Su 10:00-22:00,Western Union,Q861042
871cc5e8a4a4df3e26d349e95258ca78,western_union,MENJACNICA BELL,,Jagodina,Central Serbia,,RS,+381 60 0242960,https://location.westernunion.com/yu/state/jagodina/871cc5e8a4a4df3e26d349e95258ca78,Mo-Fr 08:00-20:00; Sa 08:00-15:00,Western Union,Q861042
8632147a40c66109a88ea805ac51b1f6,western_union,ERSTE BANK AD NOVI SAD,,Jagodina,Central Serbia,,RS,+381 11 3300300,https://location.westernunion.com/yu/state/jagodina/8632147a40c66109a88ea805ac51b1f6,Mo-Th 08:00-16:00; Fr 08:00-17:00,Western Union,Q861042
2bc5e7dc34a93238d094e6b4c37eeb81,western_union,MARADONA,,Jagodina,Central Serbia,,RS,+381 11 3334999,https://location.westernunion.com/yu/state/jagodina/2bc5e7dc34a93238d094e6b4c37eeb81,Mo-Fr 08:00-16:00; Sa-Su 08:00-14:00,Western Union,Q861042
9955819ce7b1309936dd48c691a853cc,western_union,MENJACNICA GOLD,,Jagodina,Central Serbia,,RS,+381 11 3334999,https://location.westernunion.com/yu/state/jagodina/9955819ce7b1309936dd48c691a853cc,Mo-Su 08:00-22:00,Western Union,Q861042
4db353231f0d839752214d0e690926fa,western_union,GINNA EXCHANGE,,Jagodina,Central Serbia,,RS,+381 11 3334999,https://location.westernunion.com/yu/state/jagodina/4db353231f0d839752214d0e690926fa,Mo-Fr 08:00-16:00; Sa 08:00-15:00,Western Union,Q861042
bbb8a1fda5b675f7e5d8a2314b679465,western_union,ZLATNA PARA,,Jagodina,Central Serbia,,RS,+381 11 3334999,https://location.westernunion.com/yu/state/jagodina/bbb8a1fda5b675f7e5d8a2314b679465,Mo-Fr 08:00-20:00; Sa 08:00-16:00,Western Union,Q861042
18db251f4474dc48d13d4e568e46efe9,western_union,MENJACNICA ADONA,,Jagodina,Central Serbia,,RS,+381 35 241840,https://location.westernunion.com/yu/state/jagodina/18db251f4474dc48d13d4e568e46efe9,Mo-Sa 08:00-20:00; Su 10:00-20:00,Western Union,Q861042
225a4a4c63e11a10ac5e08d972435737,western_union,3D,,Jagodina,Central Serbia,,RS,+381 11 3334999,https://location.westernunion.com/yu/state/jagodina/225a4a4c63e11a10ac5e08d972435737,Mo-Sa 08:00-20:00,Western Union,Q861042
4930b6e7a8a7a722e56560900b0f9bf9,western_union,MENJACNICA MLADENOVIC,,Jagodina,Central Serbia,,RS,+381 35 8846026,https://location.westernunion.com/yu/state/jagodina/4930b6e7a8a7a722e56560900b0f9bf9,Mo-Sa 08:00-19:00; Su 10:00-17:00,Western Union,Q861042
94ab854021e01928d21caee883394645,western_union,MD PROFIT,,Jagodina,Central Serbia,,RS,+381 11 3334999,https://location.westernunion.com/yu/state/jagodina/94ab854021e01928d21caee883394645,Mo-Fr 08:00-20:00; Sa 08:00-15:00,Western Union,Q861042
e77f556f0c356de4a141ec2f921c0d7d,western_union,MENJACNICA BELL JA,,Jagodina,Central Serbia,,RS,+381 35 240908,https://location.westernunion.com/yu/state/jagodina/e77f556f0c356de4a141ec2f921c0d7d,Mo-Fr 08:00-20:00; Sa 08:00-15:00,Western Union,Q861042
1824059e8f5d6ca0c24a11d291fcc9ac,western_union,BANKA POSTANSKA STEDIONICA,,Jagodina,Central Serbia,,RS,+381 11 3024662,https://location.westernunion.com/yu/state/jagodina/1824059e8f5d6ca0c24a11d291fcc9ac,Mo-Fr 07:30-20:00; Sa 08:00-15:00,Western Union,Q861042
1d08e8b96fa2fb43c8cf5ebce448b95f,western_union,MENJACNICA MARTEL,,Jagodina,Central Serbia,,RS,+381 35 8234036,https://location.westernunion.com/yu/state/jagodina/1d08e8b96fa2fb43c8cf5ebce448b95f,Mo-Fr 08:00-20:00; Sa 08:00-16:00,Western Union,Q861042
