City,Place Name,Zipcode,Name
Mineralnye Vody,audi,avtodoroga Kavkaz 347 km 357200 Mineralnye Vody,unknown,Audi Service Mineralnye Vody
Stavropol,audi,1-ya Promyshlennaya 4A korpus 1 355035 Stavropol,unknown,AC Stavropol
Ставрополь,coffee_like,ул. Мира 330,unknown,Coffee Like
Ставрополь,coffee_like,ул. Мира 315,unknown,Coffee Like
Ставрополь,coffee_like,ул. Мира 290 корп. 3,unknown,Coffee Like
Stavropol,lukoil,Russia Stavropol Territory Stavropol st. pr-ct Rossiyskiy 7,unknown,AZS № 26399
Kislovodsk,lukoil,Russia 357736 Stavropol Territory Kislovodsk st. Azerbaydzhanskaya 76a,unknown,AZS № 26396 Kislovodsk
Stavropol,lukoil,Russia 355021 Stavropol Territory Stavropol st. Yuzhnyy obkhod 47,unknown,MAZS № 26386
unknown,lukoil,Russia 357220 Stavropol Territory Kangly 1250 m north-west from oriyentir,unknown,AZS No 26359
Pyatigorsk,lukoil,Russia 357500 Stavropol Territory Pyatigorsk st. Delegatskaya 97,unknown,AZS No26285
Mineralnyye Vody,lukoil,Russia Stavropol Territory Mineralnyye Vody st. Sovetskaya 20/3,unknown,AZS №26252
Yessentuki,lukoil,Russia 357601 Stavropol Territory Yessentuki at the entrance to Yessentuki from Pyatigorsk ,unknown,MAZS №26203
Novoaleksandrovsk,lukoil,Russia 356000 Stavropol Territory Novoaleksandrovsk st. Tolstogo,unknown,MAZS №26179
Stavropolʹ,lukoil,Russia 355029 Stavropol Territory Stavropolʹ st. Dovatortsev 38 253,unknown,AZS №26149
unknown,lukoil,Russia 356304 Stavropol Territory st. Voytika Promzona 152,unknown,MAZS №26143
Blagodarnyi,lukoil,Russia 356420 Stavropol Territory Blagodarnyi Bezymyannyi pereulok st.,unknown,MAZS No26146
Gyeorgievsk,lukoil,Russia 357820 Stavropol Territory Gyeorgievsk st. Oktyabrʹskaya 154,unknown,MAZS №26137
Stavropolʹ,lukoil,Russia 355041 Stavropol Territory Stavropolʹ st. Lermontova 339,unknown,AZS №26148
Nevinnomyssk,lukoil,Russia 357111 Stavropol Territory Nevinnomyssk st. Krasnopartizanskaya 3,unknown,MAZS №26145
Trunovskiy area,lukoil,Russia 356170 Stavropol Territory Donskoe road Stavropol-Bataysk 47-500 km,unknown,AZS №26144
Stavropolʹ,lukoil,Russia 355000 Stavropol Territory Stavropolʹ st. Lermontova ,unknown,AZS №26142
Stavropolʹ,lukoil,Russia 355000 Stavropol Territory Stavropolʹ st. Serova 244,unknown,AZS No26140
Kochubeyevskiy area,lukoil,Russia 357014 Stavropol Territory Zavetnoe,unknown,MAZS №26139
Nevinnomyssk,lukoil,Russia 357100 Stavropol Territory Nevinnomyssk st. Apanasenko 72b,unknown,MAZS №26138
Izobilʹnyi area,lukoil,Russia 356145 Stavropol Territory Izobilʹnyi area Izobilʹnyi st. 50 let Oktyabrya 2 A,unknown,MAZS №26136
Budennovsk,lukoil,Russia 356800 Stavropol Territory Budennovsk st. Kosmonavtov 34,unknown,MAZS №26084
Gyeorgievsk,lukoil,Russia 357823 Stavropol Territory Gyeorgievsk st. Kalinina 97b,unknown,AZS No 26089
area Grachevskiy,lukoil,Russia 356261 Stavropol Territory area Grachevskiy Staromarʹevka st. Dorozhnaya 11,unknown,MAZS No26103
Novopavlovsk,lukoil,Russia 357300 Stavropol Territory st. Stavropolskaya st. Stavropolskaya area bus station,unknown,MAZS № 26111
Stavropolʹ,lukoil,Russia 355026 Stavropol Territory Stavropolʹ st. Prigorodnaya 253,unknown,MAZS No26107
area Kochubeyevskiy,lukoil,Russia 357000 Stavropol Territory area Kochubeyevskiy 233 km road Kavkaz,unknown,MAZS №26078
Ipatovo,lukoil,Russia 356630 Stavropol Territory Ipatovo st. Polevaya 2,unknown,MAZS No 26079
Kochubeyevskiy area,lukoil,Russia 357014 Stavropol Territory Kochubeyevskiy area Zavetnoe 210km+300m road Krasnodar-Baku,unknown,MAZS №26077
unknown,lukoil,Russia Stavropol Territory Grachevskoe road Astraхanʹ-Elista-Stavropolʹ 533 km ,unknown,MAZS №26066
Mineralovodskiy area,lukoil,Russia Stavropol Territory Mineralovodskiy area 473+443km road  Krasnodar-Baku,unknown,MAZS №26099
unknown,lukoil,"Russia Stavropol Territory road ""Mineralnyye Vody-Kislovodsk"" 46 km ",unknown,MAZS No26088
Zheleznovodsk,lukoil,Russia 357400 Stavropol Territory Zheleznovodsk Beshtau,unknown,AZS №26090
Yessentuki,lukoil,Russia 357602 Stavropol Territory Yessentuki st. Novaya ,unknown,MAZS №26091
Yessentuki,lukoil,Russia 357601 Stavropol Territory Yessentuki road Mineralnyye Vody-Kislovodsk,unknown,AZS №26087
Lermontov,lukoil,Russia 357340 Stavropol Territory Lermontov pr. st. Lermontova 22 a,unknown,AZS №26086
Pyatigorsk,lukoil,Russia 357500 Stavropol Territory Pyatigorsk st. Kalinina,unknown,MAZS No 26093
Pyatigorsk,lukoil,Russia 357600 Stavropol Territoryat Pyatigorsk the entrance from the side Inozemtsevo na km 0.00-400-500m ,unknown,MAZS No26092
Pyatigorsk,lukoil,Russia 357500 Stavropol Territory Pyatigorsk st. Yermolova 46,unknown,MAZS No26083
Stavropolʹ,lukoil,Russia 355000 Stavropol Territory Stavropolʹ st. Lermontova 80a 464,unknown,AZS №26067
Stavropol,lukoil,Russia 355018 Stavropol Territory Stavropol pr. st. Dvoinoi 1-а,unknown,AZS №26068
Stavropol,lukoil,Russia 355000 Stavropol Territory Stavropol st. Kulakova prospect 7A,unknown,AZS №26069
Stavropol,lukoil,Russia 355000 Stavropol Territory Stavropol st. Dovatortsev 58а,unknown,MAZS №26072
Stavropolʹ,lukoil,Russia 355035 Stavropol Territory Stavropolʹ road Staromarʹevskoe 28,unknown,MAZS №26062
unknown,lukoil,Russia 355000 Stavropol Territory Shpakovskiy area road Stavropolʹ-Aeroport  5 km+800 m,unknown,AZS №26073
Stavropolʹ,lukoil,Russia 355008 Stavropol Territory Stavropolʹ st. Grazhdanskaya 2Е,unknown,MAZS №26063
Stavropolʹ,lukoil,Russia 355000 Stavropol Territory Stavropolʹ st. Klomiitseva 27,unknown,MAZS No26065
Stavropolʹ,lukoil,Russia 355000 Stavropol Territory Stavropolʹ st. Shpakovskaya 98,unknown,MAZS №26071
area Blagodarnenskiy,lukoil,Russia 356401 Stavropol Territory area Blagodarnenskiy Burlatskoe,unknown,MAZS №26100
Budennovsk,lukoil,Russia 356800 Stavropol Territory Budennovsk st. Kalinina prospect 92А,unknown,MAZS №26097
Sovetskii,lukoil,Russia 357914 Stavropol Territory Sovetskii Zelenokumsk st. 50 let Oktyabrya 82,unknown,MAZS № 26095
unknown,wildberries,г. Георгиевск (Ставропольский край) ул. Ленина 117,unknown,Wildberries
unknown,wildberries,г. Минеральные Воды (Ставропольский край) пр-кт 22 Партсъезда  д. 141,unknown,Wildberries
unknown,wildberries,Ставропольский край Пятигорск проспект Калинина 27А,unknown,Wildberries
unknown,wildberries,Ставропольский край Кисловодск проспект Победы 94,unknown,Wildberries
unknown,wildberries,Ставропольский край Невинномысск бульвар Мира 16,unknown,Wildberries
unknown,wildberries,Ставропольский край Ставрополь улица Мира 146,unknown,Wildberries
unknown,wildberries,Ставропольский край Ставрополь проспект Ворошилова 12/1,unknown,Wildberries
unknown,wildberries,Ставропольский край Пятигорск улица Крайнего 59,unknown,Wildberries
unknown,wildberries,г. Буденновск  (Ставропольский край) ул. Борцов Революции д. 171,unknown,Wildberries
unknown,wildberries,г. Лермонтов (Ставропольский край) проспект Лермонтова д. 25,unknown,Wildberries
unknown,wildberries,г. Ставрополь (Ставропольский край) переулок Макарова д. 28,unknown,Wildberries
unknown,wildberries,Ставропольский край Нефтекумск 2-й микрорайон 14,unknown,Wildberries
unknown,wildberries,Ставропольский край Пятигорск проспект Свободы 50,unknown,Wildberries
unknown,wildberries,г. Михайловск (Ставропольский край) улица Ленина д. 146/1,unknown,Wildberries
unknown,wildberries,г. Ипатово (Ставропольский край) Первомайская улица 41А1,unknown,Wildberries
unknown,wildberries,г. Железноводск (Ставропольский край) улица Ленина д. 102Б,unknown,Wildberries
