Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
11,coffee_like,Coffee Like,"ул. Землячки, 110 б",Волгоград,Volgograd,,RU,,,Mo-Su 10:00-22:00,Coffee Like,Q55662627
1547,coffee_like,Coffee Like,"пр-т Ленина, 54",Волгоград,Volgograd,,RU,,,Mo-Fr 08:00-22:00; Sa-Su 09:00-22:00,Coffee Like,Q55662627
530,coffee_like,Coffee Like,"ул. Комсомольская, 10",Волгоград,Volgograd,,RU,,,Mo-Su 08:00-22:00,Coffee Like,Q55662627
550,coffee_like,Coffee Like,"ул. Гоголя, 4",Волгоград,Volgograd,,RU,,,24/7,Coffee Like,Q55662627
1367,coffee_like,Coffee Like,"просп. Ленина, 20",Волгоград,Volgograd,,RU,,,24/7,Coffee Like,Q55662627
344,coffee_like,Coffee Like,"ул. Краснознаменская, 9",Волгоград,Volgograd,,RU,,,Mo-Su 09:00-21:00,Coffee Like,Q55662627
856,coffee_like,Coffee Like,"ул. Землячки, 110 б",Волгоград,Volgograd,,RU,,,Mo-Su 10:00-22:00,Coffee Like,Q55662627
1377,coffee_like,Coffee Like,"ул. Коммунистическая, 22",Волгоград,Volgograd,,RU,,,Mo-Su 08:00-22:00,Coffee Like,Q55662627
1890,coffee_like,Coffee Like,"бул. Энгельса, 26",Волгоград,Volgograd,,RU,,,Mo-Fr 08:00-20:00; Sa-Su 09:00-21:00,Coffee Like,Q55662627
2407,coffee_like,Coffee Like,"бул. Профсоюзов, 1б",Волгоград,Volgograd,,RU,,,,Coffee Like,Q55662627
2408,coffee_like,Coffee Like,"ул.  Рабоче-Крестьянская, 9б",Волгоград,Volgograd,,RU,,,,Coffee Like,Q55662627
2410,coffee_like,Coffee Like,"ул. Коммунистическая, 40",Волгоград,Volgograd,,RU,,,,Coffee Like,Q55662627
1652,coffee_like,Coffee Like,"ул. Калинина, 13",Волгоград,Volgograd,,RU,,,24/7,Coffee Like,Q55662627
1665,coffee_like,Coffee Like,"ул. Рабоче-Крестьянская, 27",Волгоград,Volgograd,,RU,,,Mo-Su 10:00-22:00,Coffee Like,Q55662627
2433,coffee_like,Coffee Like,"ул. Рабоче-Крестьянская, 9 б",Волгоград,Volgograd,,RU,,,,Coffee Like,Q55662627
2434,coffee_like,Coffee Like,"просп. Университетский, 107",Волгоград,Volgograd,,RU,,,,Coffee Like,Q55662627
2435,coffee_like,Coffee Like,"просп. Университетский, 107",Волгоград,Volgograd,,RU,,,,Coffee Like,Q55662627
2436,coffee_like,Coffee Like,"ул. Комсомольская, 4",Волгоград,Volgograd,,RU,,,,Coffee Like,Q55662627
2437,coffee_like,Coffee Like,"пр-т Ленина, 54",Волгоград,Volgograd,,RU,,,,Coffee Like,Q55662627
2438,coffee_like,Coffee Like,"ул. Краснознаменская, 9",Волгоград,Volgograd,,RU,,,,Coffee Like,Q55662627
2439,coffee_like,Coffee Like,"просп. Ленина, 20",Волгоград,Volgograd,,RU,,,,Coffee Like,Q55662627
2441,coffee_like,Coffee Like,"пл. Дзержинского, 1 б",Волгоград,Volgograd,,RU,,,,Coffee Like,Q55662627
2442,coffee_like,Coffee Like,"ул. 64 Армии, 26Б",Волгоград,Volgograd,,RU,,,,Coffee Like,Q55662627
2443,coffee_like,Coffee Like,"бул. Профсоюзов, 1б",Волгоград,Volgograd,,RU,,,,Coffee Like,Q55662627
2444,coffee_like,Coffee Like,"просп. Ленина, 6",Волгоград,Volgograd,,RU,,,,Coffee Like,Q55662627
2445,coffee_like,Coffee Like,"ул. Коммунистическая, 40",Волгоград,Volgograd,,RU,,,,Coffee Like,Q55662627
912,coffee_like,Coffee Like,"просп. Ленина, 6",Волгоград,Volgograd,,RU,,,Mo-Su 09:00-21:00,Coffee Like,Q55662627
2217,coffee_like,Coffee Like,"ул. Набережная 62-й Армии, 22",Волгоград,Volgograd,,RU,,,,Coffee Like,Q55662627
175,coffee_like,Coffee Like,"просп. Университетский, 107",Волгоград,Volgograd,,RU,,,Mo-Su 10:00-22:00,Coffee Like,Q55662627
460,coffee_like,Coffee Like,"ул. Комсомольская, 4",Волгоград,Volgograd,,RU,,,Mo-Fr 08:00-21:00; Sa-Su 10:00-22:00,Coffee Like,Q55662627
2261,coffee_like,Coffee Like,"ул. 64 Армии, 26Б",Волгоград,Volgograd,,RU,,,,Coffee Like,Q55662627
728,coffee_like,Coffee Like,"ул. Рабоче-Крестьянская, 9 б",Волгоград,Volgograd,,RU,,,Mo-Su 09:00-22:00,Coffee Like,Q55662627
488,coffee_like,Coffee Like,"пл. Дзержинского, 1 б",Волгоград,Volgograd,,RU,,,Mo-Su 10:00-21:00,Coffee Like,Q55662627
