Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
136901,coop_se,Sc Överby Restaurang,,Trollhättan,,,SE,+46 10 747 01 00,,,Coop,Q15229319
1182,coop_se,Stora Coop Överby,,Trollhättan,,,SE,+46 10 747 01 00,https://www.coop.se/butiker-erbjudanden/stora-coop/stora-coop-overby/,Mo-Su 07:00-22:00,Coop,Q15229319
55185826,deichmann,DEICHMANN butik Trollhättan Ladugårdsvägen 14,,Trollhättan,,,SE,+46 520 809 10,https://stores.deichmann.com/sv-se/se/vaestra-goetalands-laen/trollhaettan/ladugardsvaegen-14,Mo-Fr 10:00-19:00; Sa 10:00-17:00; Su 11:00-17:00,Deichmann,Q664543
177,espresso_house,Espresso House,,Trollhättan,,,SE,+46 76 521 91 77,https://espressohouse.com/en/find-us/overby-tro,Mo-Fr 09:00-19:00; Sa 09:00-17:00; Su 10:00-17:00,Espresso House,Q10489162
65e2c1c639b256001897d7e6,handelsbanken_se,Trollhättan,,Trollhättan,,,SE,,,,Handelsbanken,Q1421630
SE0449,hm,Överby,,Trollhättan,,,SE,+46 33 14 00 00,,Mo-Fr 10:00-19:00; Sa 10:00-17:00; Su 11:00-17:00,H&M,Q188326
https://www.ica.se/butiker/maxi/trollhattan/maxi-ica-stormarknad-trollhattan-1003604/,ica_se,Maxi ICA Stormarknad Trollhättan,,Trollhättan,,,SE,+46 520 48 83 00,https://www.ica.se/butiker/maxi/trollhattan/maxi-ica-stormarknad-trollhattan-1003604/,Mo-Su 06:00-23:00,ICA,Q1663776
https://www.intersport.se/vara-butiker/trollhattan-overby,intersport_se,Intersport Trollhättan Överby,"Ladugårdsvägen 13, 46170 Trollhättan",Trollhättan,,,SE,+46 520 314 20,https://www.intersport.se/vara-butiker/trollhattan-overby,"Mo-Fr 10:00-19:00; Sa 10:00-17:00,11:00-17:00",Intersport,Q666888
S684,jysk,Trollhättan,,Trollhättan,,,SE,+46 520 47 99 04,https://jysk.se/butiker?storeId=S684,Mo-Fr 10:00-19:00; Sa 10:00-16:00; Su 11:00-16:00,JYSK,Q138913
358,lidl_se,Trollhättan Överby Väst,,TROLLHÄTTAN,,,SE,,,,Lidl,Q151954
tele2-trollhattan-etage,tele2_se,"Tele2 Trollhättan, Etage",,Trollhättan,,,SE,,https://www.tele2.se/butiker/tele2-trollhattan-etage,Mo-Fr 10:00-19:00; Sa 10:00-17:00; Su 11:00-17:00,Tele2,Q309865
,visa,,,TROLLHATTAN,,,SE,,,,,
