Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
51089_1,bmw_group,Avto Aktiv SLO d.o.o.,,Kranj,,,SI,+386 4 281 14 00,https://www.bmw-avto-aktiv.si/,,BMW,Q26678
50751_1,bmw_group,Panigaz Kranj d.o.o.,,Kranj,,,SI,+386 4 234 21 00,http://www.motoland.si/si/,,BMW Motorrad,Q249173
SI0803,c_and_a,Kranj Supernova Qlandia,"Cesta 1.maja 77, 4000 Kranj",Kranj,,,SI,,https://www.c-and-a.com/stores/si-sl/gorenjska/kranj/cesta-1-maja-77.html,Mo 09:00-21:00; Tu 09:00-21:00; We 09:00-21:00; Th 09:00-21:00; Fr 09:00-21:00; Sa 08:00-21:00,C&A,Q701338
55187394,deichmann,DEICHMANN poslovalnice Kranj Stara Cesta 25B,,Kranj,,,SI,+386 4 235 96 43,https://stores.deichmann.com/si-sl/si/kranj/kranj/stara-cesta-25b,Mo-Sa 08:00-20:00,Deichmann,Q664543
55185580,deichmann,DEICHMANN poslovalnice Kranj Cesta 1. Maja 77,,Kranj,,,SI,+386 4 202 06 80,https://stores.deichmann.com/si-sl/si/kranj/kranj/cesta-1-maja-77,Mo-Fr 09:00-21:00; Sa 08:00-21:00,Deichmann,Q664543
si:77,dm,dm drogerie markt d.o.o.,,Kranj,,,SI,+386 4 201 84 88,https://www.dm.si/store/s035/kranj/cesta-1-maja-77,Mo-Fr 09:00-21:00; Sa 08:00-21:00,dm,Q266572
si:133,dm,dm drogerie markt d.o.o.,,Kranj,,,SI,+386 4 517 05 13,https://www.dm.si/store/s05d/kranj/cesta-staneta-zagarja-69,Mo-Sa 08:00-20:00,dm,Q266572
si:135,dm,dm drogerie markt d.o.o.,,Kranj,,,SI,+386 4 201 96 84,https://www.dm.si/store/s05f/kranj/bleiweisova-4,Mo-Sa 07:00-20:00,dm,Q266572
LJU-71,hofer_si,LJU-71,"Šuceva ulica 23 a, Kranj, 4000",Kranj,,,SI,,,Mo-Sa 08:00-21:00,Hofer,Q15815751
LJU-73,hofer_si,LJU-73,"Smledniška ulica 27H, Kranj, 4000",Kranj,,,SI,,,Mo-Sa 08:00-21:00,Hofer,Q15815751
O510,jysk,Kranj,,Kranj,,,SI,+386 1 888 89 12,https://jysk.si/trgovine-odpiralni-casi?storeId=O510,Mo-Sa 09:00-20:00,JYSK,Q138913
4516,kik,KiK,,Kranj,,,SI,+386 51 658 268,,Mo-Sa 09:00-20:00,KiK,Q883965
4538,kik,KiK,,Kranj,,,SI,+386 51 658 264,,Mo-Sa 09:00-19:00,KiK,Q883965
209,lidl_si,,,Kranj,,,SI,,,Mo-Sa 08:00-21:00,Lidl,Q151954
227,lidl_si,,,Kranj,,,SI,,,Mo-Sa 08:00-21:00,Lidl,Q151954
4921,mueller,Müller,,Kranj,,,SI,+386 4 201 62 54,https://www.mueller.si/poslovalnice/kranj/cesta-1maja-77/,,Müller,Q1958759
4903,mueller,Müller,,Kranj,,,SI,+386 4 281 89 00,https://www.mueller.si/poslovalnice/kranj/stara-cesta-25/,,Müller,Q1958759
SIH04001,neuroth,Neuroth,"Bleiweisova cesta 2, 4000 Kranj, SI",Kranj,,,SI,+386 4 620 22 99,https://si.neuroth.com/lokacije/bleiweisova-cesta-2-kranj/,Mo 10:00-18:00; Tu-Fr 08:00-16:00,Neuroth,Q15836645
5b3cb3fac00458481b4381d4,newyorker,NEW YORKER | Qlandia Kranj,"Cesta 1. maja 77, 4000 Kranj",Kranj,,,SI,+386 4 511 04 89,,Mo-Fr 09:00-21:00; Sa 08:00-21:00,New Yorker,Q706421
7aa3392b-a151-462e-bac1-6998f25b21ba,petrol,BS KRANJ - STANETA ŽAGARJA 65,,KRANJ,,,SI,,,"Mo-Fr 00:00-06:00,06:00-22:00,22:00-24:00; Sa-Su 00:00-07:00,07:00-21:00,21:00-24:00",Petrol,Q174824
97ac24ad-a48b-4eea-abc6-05b1c5fcb635,petrol,BS KRANJ - ZLATO POLJE VZHOD,,KRANJ,,,SI,,,Mo-Fr 06:00-18:00; Sa-Su 09:00-13:00,Petrol,Q174824
a009cd26-0bc1-4847-bec9-2b097c2f3f95,petrol,BS KRANJ - LABORE,,KRANJ,,,SI,,,Mo-Fr 06:00-22:00; Sa 07:00-21:00; Su 08:00-20:00,Petrol,Q174824
83b5de5d-4d47-4f7d-801f-744adcbcb115,petrol,BS KRANJ - STANETA ŽAGARJA 53B,,KRANJ,,,SI,,,Mo-Fr 06:00-14:00,Petrol,Q174824
4242d674-1184-4e10-871d-96a3d5638f15,petrol,BS KRANJ - STANETA ŽAGARJA 58B,,KRANJ,,,SI,,,Mo-Fr 07:00-19:00; Sa 08:00-13:00,Petrol,Q174824
d2201050-c0d4-4bf9-8b05-b7ad3736c08d,petrol,BS KRANJ - ZLATO POLJE ZAHOD,,KRANJ,,,SI,,,24/7,Petrol,Q174824
70500035_001-renault,renault,"AVTOHIŠA REAL,d.o.o.PE Remont Kranj",,Kranj,,,SI,+386 4 201 52 15,,,Renault,Q6686
70500035_001-dacia,renault,"AVTOHIŠA REAL,d.o.o.PE Remont Kranj",,Kranj,,,SI,+386 4 201 52 15,,,Dacia,Q27460
