Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
84-310,billa,ZVOLEN,,Zvolen,Banskobystrický kraj,,SK,+421 903 695 310,,Mo-Sa 07:00-20:00; Su 08:00-19:00,BILLA,Q537781
84-347,billa,ZVOLEN SOKOLSKÁ,,Zvolen,Banskobystrický kraj,,SK,+421 910 836 607,,Mo-Sa 07:00-21:00; Su 08:00-20:00,BILLA,Q537781
84-370,billa,ZVOLEN,,Zvolen,Banskobystrický kraj,,SK,,,Mo-Su 07:00-20:00,BILLA,Q537781
84-330,billa,ZVOLEN-DELVITA,,Zvolen,Banskobystrický kraj,,SK,+421 911 432 330,,Mo-Fr 07:00-19:00; Sa 07:00-14:00,BILLA,Q537781
67528201,deichmann,DEICHMANN predajňu Zvolen Obchodná 10322/17,,Zvolen,Banskobystrický kraj,,SK,+421 901 758 085,https://stores.deichmann.com/sk-sk/sk/banskobystricky-kraj/zvolen/obchodna-1032217,Mo-Su 09:00-20:00,Deichmann,Q664543
36,dr_max,"OD Kaufland, Hronská 2, Zvolen",,Zvolen,Banskobystrický kraj,,SK,+421 901 961 036,https://www.drmax.sk/lekarne/zvolen-od-kaufland-hronska-2,,Dr. Max,Q56317371
294,dr_max,"Obchodná 9520/4, Zvolen",,Zvolen,Banskobystrický kraj,,SK,+421 901 961 294,https://www.drmax.sk/lekarne/zvolen-obchodna-9520-4,,Dr. Max,Q56317371
10034992,shell,8209 ZVOLEN-LUČENECKÁ (I),,Zvolen,Banskobystrický kraj,,SK,+421 45/540 22 56,https://find.shell.com/sk/fuel/10034992-8209-zvolen-lucenecka-i,24/7,Shell,Q110716465
10035026,shell,8282 ZVOLEN LIESKOVSKÁ,,Zvolen,Banskobystrický kraj,,SK,+421 45/540 22 29,https://find.shell.com/sk/fuel/10035026-8282-zvolen-lieskovska,24/7,Shell,Q110716465
10035018,shell,8271 ZVOLEN-STRÁŽ (II),,Zvolen,Banskobystrický kraj,,SK,+421 45/532 53 36,https://find.shell.com/sk/fuel/10035018-8271-zvolen-straz-ii,24/7,Shell,Q110716465
1734,tedi,TEDi Betriebs s.r.o.,,Zvolen,Banskobystrický kraj,,SK,+421 48/419 35 23,https://www.tedi.com/stores/1734/sk/Banskobystrický-kraj/Zvolen/Hronská-102206,Mo-Sa 09:00-20:00,TEDi,Q1364603
1770,tedi,TEDi Betriebs s.r.o.,,Zvolen,Banskobystrický kraj,,SK,+421 45/532 00 49,https://www.tedi.com/stores/1770/sk/Banskobystrický-kraj/Zvolen/Obchodná-1032419,Mo-Sa 09:00-20:00,TEDi,Q1364603
