City,Place Name,Zipcode,Name
unknown,boots_th,"910 Robinson Chachoengsao 
Chachoengsao-Bangprakong Road Na-Mueng 
Mueng Cha chengsao 24000  ",unknown,Robinson Chachoengsao
ฉะเชิงเทรา,caltex,,unknown,คาลเท็กซ์ สาขาดาวพนมเทรดดิ้ง
ฉะเชิงเทรา,nissan_europe,,unknown,จีที ออโต้คาร์ เมืองฉะเชิงเทรา
unknown,pizza_hut_th,38/195 Srisothorn Road New Cut Na Mueang Subdistrict Mueang District Chachoengsao Province 24000,unknown,Chachoengsao
unknown,pizza_hut_th,99 Lotus Moo 2 Bang Wua Subdistrict Bang Pakong District Chachoengsao Province 24180,unknown,PH-LOTUS'S BANGPAKONG
T.BANGWOA A.BANGPAKONG,shell,,unknown,CO POWER WAY B3 BANGWOA CCO
T.BANGSAMAK A.BANGPAKONG,shell,,unknown,CO CHOKKTTIYA BANGNATRAD KM.42  CCO
T.SAENPOODARD A.BANPHO,shell,,unknown,DO SAKUNTHONG CAR CARE  BANPHO  CCO
T.LAT KHWANG A.BAN PHO,shell,,unknown,CO SUBPHOOLPHOL HW314 CCO.
T.PLANGYAO A.PLANGYAO,shell,,unknown,CO POWER WAY B1 PLANGYAO CCO
T.PLAENGYAO A.PLAENGYAO,shell,,unknown,CO POWER WAY B4 PLAENGYAO CCO
T.SAMETNEUA  A.BANGKHLA,shell,,unknown,CO POWER WAY PLAENG YAO CCO
T.BANG PHAI A.MUEANG CHACHOENGSAO,shell,,unknown,CO POWER WAY B2 BANGPHAI CCO
T.BANGTEENPED A.MUANG,shell,,unknown,CO PETSUWAN MUANG C SAO BY PASS CCO
A.MUANG,shell,,unknown,CO SONGPHOL SRIRACHA MUANG CCO
T.KHAOHINSORN A.PHANOMSARAKAM,shell,,unknown,CO SONGPHOL B2 KHAOHINSORN CCO
T.WANGTAKEAN  A.MUANG,shell,,unknown,CO SONGPHOL B3 WANGTAKEAN CCO
BANG PAKONG,visa,,unknown,unknown
CHACHOENGSAO,visa,,unknown,unknown
BAN PHO,visa,,unknown,unknown
BANG NAM PRIAO,visa,,unknown,unknown
Cha Choeng Sao,western_union,,unknown,7-ELEVEN MAHA CHAKRAPHAT PLAZA
Tha Takiap,western_union,,unknown,BAAC THA TAKIAP
Bang Pakong,western_union,,unknown,BAAC BANG PAKONG
Plaeng Yao,western_union,,unknown,BAAC PLANG YAO
Ban Pho,western_union,,unknown,BBL TOYOTA CHACHOENGSAO
Mueang,western_union,,unknown,BBL SUWINTAWONG BRANCH
Sanam Chai Khet,western_union,,unknown,BAAC SANAM CHAI KHET
Sanam Chai,western_union,,unknown,THAILAND POST SANAM CHAI KHET
Bang Khla,western_union,,unknown,THAILAND POST BANG KHLA
Phanom Sarakham,western_union,,unknown,BBL PHANOM SARAKHAM
Bang Nam Priao,western_union,,unknown,BAAC KHLONG 16
