Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
4072,boots_th,CENTRAL CHONBURI,"Unit 220 , 2nd Floor , Central Plaza Chonburi, 
55/88 - 55/89, Moo 1, T.Samed, 
A,Mueng Chonburi, Chonburi 20000",,Chon Buri,,TH,+66 38 053 635,,,Boots,Q6123139
2177,caltex,คาลเท็กซ์ สาขาภัทรพงศ์ ปิโตรเลียม,,ชลบุรี,Chon Buri,,TH,+66 89 677 8732,,,Caltex,Q277470
2222,caltex,คาลเท็กซ์ สาขาซี 123 ซี. เค.,,ชลบุรี,Chon Buri,,TH,+66 81 344 5700,,,Caltex,Q277470
10250,caltex,คาลเท็กซ์ สาขาทรัพย์เบญจวรรณ,,ชลบุรี,Chon Buri,,TH,,,,Caltex,Q277470
10274,caltex,คาลเท็กซ์ สาขาเต็กย้ง ชัยรุ่งเรือง,,ชลบุรี,Chon Buri,,TH,,,,Caltex,Q277470
70928,caltex,คาลเท็กซ์ สาขาชลนรา รีเทล จำกัด,,ชลบุรี,Chon Buri,,TH,+66 81 949 2494,,,Caltex,Q277470
94248_05,nissan_europe,สยามนิสสัน ชลบุรี สำนักงานใหญ่,,ชลบุรี,Chon Buri,,TH,"038-203-333, 203-555",,,Nissan,Q20165
94308_01,nissan_europe,ชลบุรี มอเตอร์ เอ็กซเพรส สำนักงานใหญ่,,ชลบุรี,Chon Buri,,TH,+66 33 048 123,,,Nissan,Q20165
5403,pizza_hut_th,Lotus Bansuan Chonburi,"57/37 Village No. 6, Ban Suan Subdistrict, Mueang Chon Buri District Chonburi 20000",,Chon Buri,,TH,+66 65 521 4548,https://www.pizzahut.co.th/,,Pizza Hut,Q191615
5406,pizza_hut_th,Lotus Chonburi,"62 Village No. 1, Ban Suan Subdistrict, Mueang Chon Buri District Chonburi 20000",,Chon Buri,,TH,+66 65 929 0405,https://www.pizzahut.co.th/,,Pizza Hut,Q191615
5455,pizza_hut_th,PH-SUKPRAYOON CHONBURI,"695/3c  Sukprayoon Road, Makham Yong Subdistrict Mueang Chonburi District Chonburi 20000",,Chon Buri,,TH,+66 84 439 5096,https://www.pizzahut.co.th/,,Pizza Hut,Q191615
10041957,shell,CO DUANGMAI BANGSAI CBI,,A.MUANG,Chon Buri,,TH,+66 38 271 888,https://find.shell.com/th/fuel/10041957-co-duangmai-bangsai-cbi,,Shell,Q110716465
10042293,shell,CO VARATTAYA B1 BANBUNG KM 8 CBI,,A.MUANG,Chon Buri,,TH,+66 38 111 694,https://find.shell.com/th/fuel/10042293-co-varattaya-b1-banbung-km-8-cbi,24/7,Shell,Q110716465
10042325,shell,CO VARATTAYA B2 BANBUNG KM 9 CBI,,A.MUANG,Chon Buri,,TH,+66 38 476 707,https://find.shell.com/th/fuel/10042325-co-varattaya-b2-banbung-km-9-cbi,24/7,Shell,Q110716465
10041964,shell,CO CRP B1 CHONBURI BYPASS O/B CBI,,T.NONGMAIDAENG A.MUANG,Chon Buri,,TH,+66 81 889 7099,https://find.shell.com/th/fuel/10041964-co-crp-b1-chonburi-bypass-o-b-cbi,24/7,Shell,Q110716465
,visa,,,CHON BURI,CHON BURI,,TH,,,,,
,visa,,,CHON BURI,CHON BURI,,TH,,,,,
,visa,,,CHON BURI,CHON BURI,,TH,,,,,
,visa,,,MUEANG CHON BURI,CHON BURI,,TH,,,,,
,visa,,,MUEANG CHON BURI,CHON BURI,,TH,,,,,
,visa,,,MUEANG CHON BURI,CHON BURI,,TH,,,,,
,visa,,,MUEANG,CHON BURI,,TH,,,,,
,visa,,,MUEANG,CHON BURI,,TH,,,,,
,visa,,,CHON BURI,CHON BURI,,TH,,,,,
,visa,,,CHON BURI,CHON BURI,,TH,,,,,
,visa,,,MEAUNG CHON BURI,CHON BURI,,TH,,,,,
,visa,,,MUEANG CHON BURI,CHON BURI,,TH,,,,,
,visa,,,MUEANG CHON BURI,CHON BURI,,TH,,,,,
c037f57be199257e72d6c22c4a7357cc,western_union,7-ELEVEN TALAD TRANSPORT (CHONBURI),,Chon Buri,CHONBURI,,TH,(+66) 1572,https://location.westernunion.com/th/chonburi/chon-buri/c037f57be199257e72d6c22c4a7357cc,Mo-Su 00:01-24:00,Western Union,Q861042
56d6f03fb3517047118f64a0d220f73a,western_union,THAI SUMMIT ENGINERRING CO LTD CHONBURI,,Chon Buri,CHONBURI,,TH,(+66) 1572,https://location.westernunion.com/th/chonburi/chon-buri/56d6f03fb3517047118f64a0d220f73a,Mo-Su 00:01-24:00,Western Union,Q861042
1352a723a1cc204c3363edfbbe51e12a,western_union,FAMILY MART SOI BAN NONGPHAI KLONGDON 3,,Chon Buri,CHONBURI,,TH,(+66) 1572,https://location.westernunion.com/th/chonburi/chon-buri/1352a723a1cc204c3363edfbbe51e12a,Mo-Su 00:01-24:00,Western Union,Q861042
bd0d962c3e660361289b2b07c5580137,western_union,LOTUS EXPRESS MANEEKEAW MARKET CHONBURI,,Chon Buri,CHONBURI,,TH,(+66) 1572,https://location.westernunion.com/th/chonburi/chon-buri/bd0d962c3e660361289b2b07c5580137,Mo-Su 00:01-24:00,Western Union,Q861042
4f6206ba0f642ffe48ed573104d09b11,western_union,7-ELEVEN TALAD SIRATCHA,,Chon Buri,CHONBURI,,TH,(+66) 1572,https://location.westernunion.com/th/chonburi/chon-buri/4f6206ba0f642ffe48ed573104d09b11,Mo-Su 00:01-24:00,Western Union,Q861042
69e3a2ea05920e8768faf148aebf6bca,western_union,7-ELEVEN PTT.THANON KHAO LAM-BYPASSS CHO,,Chon Buri,CHONBURI,,TH,(+66) 1572,https://location.westernunion.com/th/chonburi/chon-buri/69e3a2ea05920e8768faf148aebf6bca,Mo-Su 00:01-24:00,Western Union,Q861042
98f3bc3e44fc10a5c246e22e51d05638,western_union,7-ELEVEN PTT.THANON KHAOLAM-BANGSAEN,,Chon Buri,CHONBURI,,TH,(+66) 1572,https://location.westernunion.com/th/chonburi/chon-buri/98f3bc3e44fc10a5c246e22e51d05638,Mo-Su 00:01-24:00,Western Union,Q861042
5dabe6453f00bc04539e1be113dba3d8,western_union,BBL RATPRASONG ROAD,,Mueang,CHONBURI,,TH,+66 38 283 451,https://location.westernunion.com/th/chonburi/mueang/5dabe6453f00bc04539e1be113dba3d8,Mo-Fr 08:30-15:30,Western Union,Q861042
