City,Place Name,Zipcode,Name
unknown,boots_th,Ground Fl Vogue Department Store  76/1 Maharaj Rd. T.Parknam A.Mueng Krabi 81000,unknown,KRABI
กระบี่,caltex,,unknown,คาลเท็กซ์ สาขาเคเอส ออยล์ เซอร์วิส
T.LAM THAP A.LAM THAP,shell,,unknown,DO NATRADA PETRO LAMTHAP KBI
T.KLONGTOMTAI A.KLONG TOM,shell,,unknown,DO SRIFUANGFU  KLONG TOM  KBI
T.KHLONG YANG A.KO LANTA,shell,,unknown,DO SAKOFAH ISLAMIC LANTA KBI
T.NUAKLONG A.NUAKLONG,shell,,unknown,DO SRIFUANGFU  NUA KLONG  KBI
T.PAKNAM A.MUANGKRABI,shell,,unknown,DO SRIPHONG PHANICH  MAHARAJ  KBI
A.MUANG,shell,,unknown,DO SRIRUNGRUANG SERVICE INTOWN KBI
A.MUANGKRABI,shell,,unknown,CO PORNPAKDEE B1 AOW NANG KBI
T.AOLUK NUA A.AOLUK,shell,,unknown,CO PORNPAKDEE AOLUK KBI
KRABI,visa,,unknown,unknown
AO LUEK,visa,,unknown,unknown
MUEANG KRABI,visa,,unknown,unknown
Nuea Khlong,western_union,,unknown,KTB NUA KHLONG
Krabi,western_union,,unknown,FAMILY MART CHONG PHLI
Mueang,western_union,,unknown,BAY KOH PHI PHI BRANCH FX BOOTH
Plai Phraya,western_union,,unknown,BAAC PLAI PHRAYA
Ao Luek,western_union,,unknown,BAAC AO LUK
Khlong Thom,western_union,,unknown,BAAC KHLONG PHON
Ko Lanta,western_union,,unknown,THAILAND POST KO LANTA
