City,Place Name,Zipcode,Name
น่าน,nissan_europe,,unknown,สยามนิสสัน เมืองน่าน สำนักงานใหญ่
T.KLANG WIANG A.WIANG SA,shell,,unknown,DO TENGPARTARAKIT B2 WIANGSA NAN
T.KLANGVIENG A.VIENGSA,shell,,unknown,DO TENGTRIRATPATARAKIT1 WIANGSA NAN
T.DOOTAI A.MUANGNAN,shell,,unknown,DO TENGTRIRAT BORIKARN  LOTUS  NAN
T.KLANG WIANG A.WIANGSA,shell,,unknown,DO TENGTRIRATPATARAKIT WIANGSA NAN
A.MUANGNAN,shell,,unknown,DO TENGTRIRAT B1  NAI MUANG  NAN
T.PUA A.PUA,shell,,unknown,DO TENGTRIRAT PUA NAN
NAN,visa,,unknown,unknown
MUEANG NAN,visa,,unknown,unknown
Mueang,western_union,,unknown,BBL NAN
Wieng Sa,western_union,,unknown,THAILAND POST WIANG SA
Wiang Sa,western_union,,unknown,KTB WIANG SA
Chiang Klang,western_union,,unknown,THAILAND POST CHIANG KLANG
Pua,western_union,,unknown,KTB PUA
Bo Kluea,western_union,,unknown,THAILAND POST BO KLUEA
Tha Wang Pha,western_union,,unknown,BAAC THA WANG PHA
Ban Luang,western_union,,unknown,THAILAND POST BAN LUANG
Santi Suk,western_union,,unknown,THAILAND POST DU PHONG
Nan,western_union,,unknown,BIG C NAN
Phu Phiang,western_union,,unknown,BAAC PHU PHIANG
Mae Charim,western_union,,unknown,THAILAND POST MAE CHARIM
Na Noi,western_union,,unknown,BAAC NA NOI
Thung Chang,western_union,,unknown,BAAC THUNG CHANG
Na Muen,western_union,,unknown,BAAC NA MUEN
