Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
2025,caltex,คาลเท็กซ์ สาขาเดชดีพานิช,,พัทลุง,Phatthalung,,TH,+66 74 613 159,,,Caltex,Q277470
10273,caltex,คาลเท็กซ์ สาขาเกษร ออยล์พัทลุง,,พัทลุง,Phatthalung,,TH,,,,Caltex,Q277470
93288_01,nissan_europe,ไทยยนตร์ อินเตอร์คาร์ สำนักงานใหญ่,,พัทลุง,Phatthalung,,TH,+66 74 617 444,,,Nissan,Q20165
12724012,shell,DO PHETPHAISARN PRANGMU PLG,,T.PRANGMU A.MUEANG,Phatthalung,,TH,+66 64 782 8898,https://find.shell.com/th/fuel/12724012-do-phetphaisarn-prangmu-plg,,Shell,Q110716465
12821909,shell,CO NATTAPORNSERVICE KHAO CHIAK PLG,,T.KHAO CHIAK A.MUEANG PHATTHALUNG,Phatthalung,,TH,+66 84 192 8545,https://find.shell.com/th/fuel/12821909-co-nattapornservice-khao-chiak-plg,24/7,Shell,Q110716465
10042206,shell,CO VICHIT BORIKARN IN-TOWN PLG,,A.MUANG,Phatthalung,,TH,+66 74 613 088,https://find.shell.com/th/fuel/10042206-co-vichit-borikarn-in-town-plg,,Shell,Q110716465
,visa,,,PHATTHALUNG,PHATTHALUNG,,TH,,,,,
,visa,,,MUEANG PHATTHALUNG,PHATTHALUNG,,TH,,,,,
83c88600f58c7ca254040b2f98fd7ef5,western_union,KTB RAMES ROAD,,Mueang,PHATTHALUNG,,TH,+66 2 111 1111,https://location.westernunion.com/th/phatthalung/mueang/83c88600f58c7ca254040b2f98fd7ef5,Mo-Su 06:00-22:00,Western Union,Q861042
4f0717a716ebcc25f54bec291cef90b7,western_union,THAILAND POST PA PHAYOM,,Pa Phayom,PHATTHALUNG,,TH,+66 2 831 3270,https://location.westernunion.com/th/phatthalung/pa-phayom/4f0717a716ebcc25f54bec291cef90b7,Mo-Fr 08:30-16:30,Western Union,Q861042
e5e8b77a8e4db48cbd102734af74d3e1,western_union,BAAC SRINAGARINDRA,,Srinagarindra,PHATTHALUNG,,TH,+66 74 605 501,https://location.westernunion.com/th/phatthalung/srinagarindra/e5e8b77a8e4db48cbd102734af74d3e1,Mo-Fr 08:30-16:30,Western Union,Q861042
8cfb2b33b4792dbb4d59b9e4deea9c85,western_union,BAAC THA MI RAM,,Mueang,PHATTHALUNG,,TH,+66 74 611 441,https://location.westernunion.com/th/phatthalung/mueang/8cfb2b33b4792dbb4d59b9e4deea9c85,Mo-Fr 08:30-16:30,Western Union,Q861042
9d95aa053af3ab81b8fd9d68644e04d5,western_union,THAILAND POST PHATTHALUNG,,Mueang,PHATTHALUNG,,TH,+66 2 831 3271,https://location.westernunion.com/th/phatthalung/mueang/9d95aa053af3ab81b8fd9d68644e04d5,Mo-Fr 08:30-16:30,Western Union,Q861042
a4c79a8879fc736784e6083fbc951f71,western_union,LOTUS PHATTHALUNG,,Phatthalung,PHATTHALUNG,,TH,(+66) 1572,https://location.westernunion.com/th/phatthalung/phatthalung/a4c79a8879fc736784e6083fbc951f71,Mo-Su 00:01-24:00,Western Union,Q861042
508073c4b673175142de3bd0184838ea,western_union,TESCO LOTUS PHATTHALUNG BRANCH,,Mueang,PHATTHALUNG,,TH,+66 2 296 2345,https://location.westernunion.com/th/phatthalung/mueang/508073c4b673175142de3bd0184838ea,Mo-Su 11:00-18:00,Western Union,Q861042
ae581bcfc56c9dd75456f0bd0e172ff0,western_union,KTB TESCO LOTUS PHATTHALUNG,,Mueang,PHATTHALUNG,,TH,+66 2 111 1111,https://location.westernunion.com/th/phatthalung/mueang/ae581bcfc56c9dd75456f0bd0e172ff0,Mo-Su 06:00-22:00,Western Union,Q861042
b0df1fb48d3e06667d805d473bf4ae57,western_union,KTB TESCO LOTUS PHATTHALUNG,,Mueang,PHATTHALUNG,,TH,+66 74 606 517,https://location.westernunion.com/th/phatthalung/mueang/b0df1fb48d3e06667d805d473bf4ae57,Mo-Su 10:00-19:00,Western Union,Q861042
10139358ff47153de44718298c68d48c,western_union,BAY PHATTALUNG,,Mueang,PHATTHALUNG,,TH,+66 74 611 365,https://location.westernunion.com/th/phatthalung/mueang/10139358ff47153de44718298c68d48c,Mo-Fr 08:00-18:00,Western Union,Q861042
548199360ae1de174620c1a7d05ebcb4,western_union,BBL PHATTHALUNG,,Mueang,PHATTHALUNG,,TH,+66 74 612 025,https://location.westernunion.com/th/phatthalung/mueang/548199360ae1de174620c1a7d05ebcb4,Mo-Fr 08:30-15:30,Western Union,Q861042
e063003bf89eea1a702e3bda1bbb7d56,western_union,KTB PHATTHALUNG,,Mueang,PHATTHALUNG,,TH,+66 2 111 1111,https://location.westernunion.com/th/phatthalung/mueang/e063003bf89eea1a702e3bda1bbb7d56,Mo-Su 06:00-22:00,Western Union,Q861042
4776de5c6dfc7e40981668ecc464ca13,western_union,KTB PHATTHALUNG,,Mueang,PHATTHALUNG,,TH,+66 74 613 192,https://location.westernunion.com/th/phatthalung/mueang/4776de5c6dfc7e40981668ecc464ca13,Mo-Fr 08:30-16:30,Western Union,Q861042
0a88fb48688c3451a5da1b9cc7e96624,western_union,BAAC PHATTHALUNG,,Mueang,PHATTHALUNG,,TH,+66 74 611 499,https://location.westernunion.com/th/phatthalung/mueang/0a88fb48688c3451a5da1b9cc7e96624,Mo-Fr 08:30-15:30,Western Union,Q861042
