Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
3990,boots_th,HADYAI 2,"Unit B106-109, Lee Garden Plaza Hotel,  
29 Prachathipat Rd., Hadyai,  Hadyai, 
Songkhlar 90110",,Songkhla,,TH,+66 74 246 967,,,Boots,Q6123139
4205,boots_th,Central Festival Hadyai,"Unit G-08, G Floor, Central Festival Hadyai, 1518,1518 / 1 and 1518/2 Kanchanawanich Road, Hadyai, Hadyai, Songkhla 90110",,Songkhla,,TH,+66 74 339 878,,,Boots,Q6123139
4550,boots_th,Big C HADYAI 2,"Unit F2/12-13, 2 th Fl, 677 ,Big C Hadyai 2 ,
Petchakaseam,  Hadyai District ,Songkhla ,90110",,Songkhla,,TH,+66 74 262 965,,,Boots,Q6123139
4254,boots_th,Tesco Hadyai,"1142, Kannajawanid Rd.,T.Hadyai, A.Hadyai, Songkhla 90110",,Songkhla,,TH,+66 74 241 799,,,Boots,Q6123139
2047,caltex,คาลเท็กซ์ สาขาบุญธรรมเซอร์วิส,,สงขลา,Songkhla,,TH,+66 74 424 600,,,Caltex,Q277470
2071,caltex,คาลเท็กซ์ สาขาหาดใหญ่ เอ็ม พี เซอร์วิส,,สงขลา,Songkhla,,TH,+66 74 257 898,,,Caltex,Q277470
2135,caltex,คาลเท็กซ์ สาขาวัฒนฐากูร,,สงขลา,Songkhla,,TH,+66 74 457 570,,,Caltex,Q277470
2154,caltex,คาลเท็กซ์ สาขาดาวเมืองใหม่,,สงขลา,Songkhla,,TH,+66 74 426 762,,,Caltex,Q277470
70915,caltex,คาลเท็กซ์ สาขาชะมวงแก๊ส จำกัด สาขาที่ 00001,,สงขลา,Songkhla,,TH,+66 83 191 5464,,,Caltex,Q277470
70942,caltex,คาลเท็กซ์ สาขาส.อรัญออยล์ จำกัด,,สงขลา,Songkhla,,TH,,,,Caltex,Q277470
70943,caltex,คาลเท็กซ์ สาขาชะมวงปิโตรเลียม สาขาที่ 00023,,สงขลา,Songkhla,,TH,,,,Caltex,Q277470
71101,caltex,คาลเท็กซ์ สาขาสี่ชายเจริญผล ปิโตรเลียม,,สงขลา,Songkhla,,TH,,,,Caltex,Q277470
93168_02,nissan_europe,สยามนิสสัน ปัตตานี (2000) หาดใหญ่,,สงขลา,Songkhla,,TH,+66 74 230 444,,,Nissan,Q20165
93218_01,nissan_europe,หาดใหญ่ มอเตอร์ สำนักงานใหญ่,,สงขลา,Songkhla,,TH,+66 74 258 888,,,Nissan,Q20165
4204,pizza_hut_th,Diana 2 Hatyai,"55/3 Si Phuwanat Road, Hat Yai, Amphoe Hat Yai, Province Songkhla 90110",,Songkhla,,TH,+66 89 967 7404,https://www.pizzahut.co.th/,,Pizza Hut,Q191615
5393,pizza_hut_th,Big C Hatyai,"111/19 Village No. 4, Khlong Hae Subdistrict, Hat Yai District, Songkhla 90110",,Songkhla,,TH,+66 62 597 7871,https://www.pizzahut.co.th/,,Pizza Hut,Q191615
10042246,shell,CO PACHING B1 KARNCHANAVANICH SKA,,T.HATYAI A.HATYAI,Songkhla,,TH,+66 74 365 373,https://find.shell.com/th/fuel/10042246-co-paching-b1-karnchanavanich-ska,,Shell,Q110716465
10042237,shell,CO THEPPRATHAN OIL 30 METRE SKA.,,A.HAADYAI,Songkhla,,TH,+66 74 221 254,https://find.shell.com/th/fuel/10042237-co-thepprathan-oil-30-metre-ska,,Shell,Q110716465
10042234,shell,CO TANTAWAN B1 LOPBURILAMES SKA,,A.HAADYAI,Songkhla,,TH,+66 95 289 4665,https://find.shell.com/th/fuel/10042234-co-tantawan-b1-lopburilames-ska,,Shell,Q110716465
10042239,shell,CO SAHA PHANICH HO NAMPU SKA,,A.HAADYAI,Songkhla,,TH,+66 74 243 493,https://find.shell.com/th/fuel/10042239-co-saha-phanich-ho-nampu-ska,,Shell,Q110716465
10042240,shell,CO SAHA PHANICH B5 KLONGHAE SKA,,A.HAADYAI,Songkhla,,TH,+66 74 426 978,https://find.shell.com/th/fuel/10042240-co-saha-phanich-b5-klonghae-ska,,Shell,Q110716465
10042268,shell,CO RUNGVALEE B1 PHETKASEM SKA,,A.HAADYAI,Songkhla,,TH,+66 74 257 868,https://find.shell.com/th/fuel/10042268-co-rungvalee-b1-phetkasem-ska,,Shell,Q110716465
12653422,shell,CO K.N.C. KHUANLANG SKA,,T.KHUANLANG  A.HATYAI,Songkhla,,TH,+66 64 248 9824,https://find.shell.com/th/fuel/12653422-co-k-n-c-khuanlang-ska,,Shell,Q110716465
12821908,shell,CO RUNGVALEE GROUP B3 THA CHANG SKA,,T.THA CHANG A.BANG KLAM,Songkhla,,TH,+66 61 269 6288,https://find.shell.com/th/fuel/12821908-co-rungvalee-group-b3-tha-chang-ska,24/7,Shell,Q110716465
10042231,shell,DO M.O.SERVICE BANGKLAM HIGHWAY SKA,,T.TACHANG,Songkhla,,TH,+66 74 457 204,https://find.shell.com/th/fuel/10042231-do-m-o-service-bangklam-highway-ska,24/7,Shell,Q110716465
,visa,,,BANG KLAM,SONGKHLA,,TH,,,,,
,visa,,,SONGKHLA,SONGKHLA,,TH,,,,,
,visa,,,SONGKHLA,SONGKHLA,,TH,,,,,
,visa,,,AMPHOE HAT YAI,SONGKHLA,,TH,,,,,
,visa,,,SONGKHLA,SONGKHLA,,TH,,,,,
,visa,,,SONGKHLA,SONGKHLA,,TH,,,,,
,visa,,,HAT YAI,SONGKHLA,,TH,,,,,
,visa,,,HAT YAI,SONGKHLA,,TH,,,,,
fb27d717bcc10a70f99b9673dbd837f8,western_union,HANSA JB HADYAI HOTEL,,Song Khla,SONGKHLA,,TH,(+66) 1572,https://location.westernunion.com/th/songkhla/song-khla/fb27d717bcc10a70f99b9673dbd837f8,Mo-Su 00:01-24:00,Western Union,Q861042
9985929b88c788a29a50af00d4cbc1c1,western_union,7-ELEVEN PTT.JINDA,,Song Khla,SONGKHLA,,TH,(+66) 1572,https://location.westernunion.com/th/songkhla/song-khla/9985929b88c788a29a50af00d4cbc1c1,Mo-Su 00:01-24:00,Western Union,Q861042
0eccfffd12f9ba33633cae9cb6fc1c0d,western_union,7-ELEVEN PTT.THACHANG,,Song Khla,SONGKHLA,,TH,(+66) 1572,https://location.westernunion.com/th/songkhla/song-khla/0eccfffd12f9ba33633cae9cb6fc1c0d,Mo-Su 00:01-24:00,Western Union,Q861042
6af2ddf734b374fc3f148d88d77225e4,western_union,HATYAI KOR CHAISAENG LTD.,,Song Khla,SONGKHLA,,TH,(+66) 1572,https://location.westernunion.com/th/songkhla/song-khla/6af2ddf734b374fc3f148d88d77225e4,Mo-Su 00:01-24:00,Western Union,Q861042
b07bc9c59d0d54deb99e24a7dcc2c54a,western_union,BAAC BANG KLAM,,Bang Klam,SONGKHLA,,TH,+66 74 584 728,https://location.westernunion.com/th/songkhla/bang-klam/b07bc9c59d0d54deb99e24a7dcc2c54a,Mo-Fr 08:30-16:30,Western Union,Q861042
c8ec22598eb7d29d0129956aa494d1de,western_union,LOTUS EXPRESS TALAD KHOR HONG,,Song Khla,SONGKHLA,,TH,(+66) 1572,https://location.westernunion.com/th/songkhla/song-khla/c8ec22598eb7d29d0129956aa494d1de,Mo-Su 00:01-24:00,Western Union,Q861042
a1e1da8fd742132f85e556ef6d520f31,western_union,BBL MUANG MAI,,Hat Yai,SONGKHLA,,TH,+66 74 235 810,https://location.westernunion.com/th/songkhla/hat-yai/a1e1da8fd742132f85e556ef6d520f31,Mo-Fr 08:30-15:30,Western Union,Q861042
