City,Place Name,Zipcode,Name
สุรินทร์,caltex,,unknown,คาลเท็กซ์ สาขาโชติวาณิชย์19
สุรินทร์,nissan_europe,,unknown,เอกสหออโต้ สำนักงานใหญ่
unknown,pizza_hut_th,375 377 379 Lak Mueang Road Nai Mueang Subdistrict Mueang Surin District Surin Province 32000,unknown,Surin
T.NAIMUANG A.MUANG,shell,,unknown,CO THAICHAROENKIJPETROLEUM
T.NONG KHWAO A.SIKHORAPHUM,shell,,unknown,DO CHAROENSUK PETRO SIKHORAPHUM SRN
T.SANGKHA A.SANGKHA,shell,,unknown,DO RUKCHAI BOR SANKHA JUNC SRN
A.RATTANABURI,shell,,unknown,DO THAEWIN THAWEESUP RATANABURI SRN
SURIN,visa,,unknown,unknown
MUEANG SURIN,visa,,unknown,unknown
MUEANG DISTRICT,visa,,unknown,unknown
Samrong Thap,western_union,,unknown,THAILAND POST SAMRONG THAP
Si Narong,western_union,,unknown,BAAC NONG YAO
Sangkha,western_union,,unknown,THAILAND POST SANGKHA
Buachet,western_union,,unknown,BAAC BUACHET
Kap Choeng,western_union,,unknown,THAILAND POST KAP CHOENG
Sikhoraphum,western_union,,unknown,THAILAND POST SIKHORAPHUM
Lamduan,western_union,,unknown,BAAC LAMDUAN
Non Narai,western_union,,unknown,BAAC NON NARAI
Rattanaburi,western_union,,unknown,KTB RATTANABURI
Prasat,western_union,,unknown,THAILAND POST PRASAT
Sanom,western_union,,unknown,BAAC SANOM
Surin,western_union,,unknown,7-ELEVEN PTT.JOMPHRA SURIN
Mueang,western_union,,unknown,KTB SURIN PLAZA
Chom Phra,western_union,,unknown,BAAC CHOM PHRA
Tha Tum,western_union,,unknown,THAILAND POST THA TUM
Chumphon Buri,western_union,,unknown,THAILAND POST CHUMPHON BURI
