Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://storelocations.ae.com/#3708493,american_eagle_outfitters,American Eagle Store Maya,,Chiangmai Muang Chiang Mai,,,TH,+66 52 081 090,"https://storelocations.ae.com/th/chiangmai/chiangmai/55,55/5-moo-5-maya-chiangmai-shopping-mall,-room-no.-109-110,-g-floor.html",Mo-Su 11:00-20:00,American Eagle Store,Q2842931
TH0028,hm,"Maya Lifestyle Shopping Center, GF, 101,102,120,121,103/1-2,",,Chiang Mai,,,TH,+66 2 030 9777,,Mo-Su 10:00-22:00,H&M,Q188326
69184543,moneygram,GOVERNMENT SAVINGS BANK - MUEANG CHAINGM,,MUEANG CHAINGMAI,,,TH,+66 53 081 586,,Mo-Su 11:00-20:00,MoneyGram,Q1944412
69184556,moneygram,GOVERNMENT SAVINGS BANK - MUEANG CHAINGM,,MUEANG CHAINGMAI,,,TH,+66 53 233 057,,Mo-Fr 08:30-15:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
69185173,moneygram,GOVERNMENT SAVINGS BANK - MUEANG CHAINGM,,MUEANG CHAINGMAI,,,TH,+66 53 215 167,,Mo-Su 10:30-19:30,MoneyGram,Q1944412
69185500,moneygram,GOVERNMENT SAVINGS BANK - MUEANG CHAINGM,,MUEANG CHAINGMAI,,,TH,+66 53 235 521,,Mo-Su 08:30-15:30,MoneyGram,Q1944412
69185513,moneygram,GOVERNMENT SAVINGS BANK - MUEANG CHAINGM,,MUEANG CHAINGMAI,,,TH,+66 53 234 068,,Mo-Fr 08:30-15:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
43984455,moneygram,SIAM COMMERCIAL BANK - #0821 - CHIANG MA,,CHIANG MAI,,,TH,+66 53 214 507,,Mo-Sa 08:30-15:30; Su 00:00-24:00,MoneyGram,Q1944412
43986657,moneygram,SIAM COMMERCIAL BANK - #0660 - THANON MU,,CHIANG MAI,,,TH,+66 53 252 990,,Mo-Fr 08:30-15:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
43984400,moneygram,SIAM COMMERCIAL BANK - #0714 - THANON CH,,CHIANG MAI,,,TH,+66 53 210 955,,Mo-Fr 08:30-15:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
,visa,,,CHIANG MAI,,,TH,,,,,
