Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
,visa,,,GISSAR,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,DUSHANBE,,,TJ,,,,,
,visa,,,OBIGARM,,,TJ,,,,,
,visa,,,ROGUN,,,TJ,,,,,
,visa,,,SPITAMEN,,,TJ,,,,,
,visa,,,KHUJAND,,,TJ,,,,,
,visa,,,KHUJAND,,,TJ,,,,,
,visa,,,KHUJAND,,,TJ,,,,,
,visa,,,KHUJAND,,,TJ,,,,,
,visa,,,KHUJAND,,,TJ,,,,,
,visa,,,KHUJAND,,,TJ,,,,,
d42179e1d4b46acbf5e5aae30d96ae2a,western_union,AMONATBANK,,Dushanbe,,,TJ,+992 91 816 4060,https://location.westernunion.com/tj/state/dushanbe/d42179e1d4b46acbf5e5aae30d96ae2a,Mo-Fr 08:00-17:00; Sa-Su 08:00-14:00,Western Union,Q861042
418cb70da76246f01e13162020832460,western_union,ACTIV BANK,,Dushanbe,,,TJ,+992 44 601 4046,https://location.westernunion.com/tj/state/dushanbe/418cb70da76246f01e13162020832460,Mo-Fr 08:00-17:00,Western Union,Q861042
5030818c376a4ed62ee7f325a3f4470e,western_union,ORIENBANK,,Dushanbe,,,TJ,+992 90 028 3553,https://location.westernunion.com/tj/state/dushanbe/5030818c376a4ed62ee7f325a3f4470e,Mo-Sa 08:00-17:00,Western Union,Q861042
df36511fe9ee4df7daf43a6e7bb280ce,western_union,ORIENBANK,,Dushanbe,,,TJ,+992 372 21 5447,https://location.westernunion.com/tj/state/dushanbe/df36511fe9ee4df7daf43a6e7bb280ce,Mo-Su 08:00-18:00,Western Union,Q861042
bd1a84e9c501ec734b7ab1d993015cb4,western_union,AMONATBANK,,Dushanbe,,,TJ,+992 44 600 9040,https://location.westernunion.com/tj/state/dushanbe/bd1a84e9c501ec734b7ab1d993015cb4,Mo-Fr 08:00-17:00; Sa-Su 08:00-14:00,Western Union,Q861042
cd47c278ba48cda1644c7e4d8eb9d453,western_union,ACTIV BANK,,Dushanbe,,,TJ,+992 44 601 4047,https://location.westernunion.com/tj/state/dushanbe/cd47c278ba48cda1644c7e4d8eb9d453,Mo-Su 08:00-19:00,Western Union,Q861042
