City,Place Name,Zipcode,Name
Ariana,audi,Avenue des entrepreneurs ZI Charguia 2 2013 Ariana,unknown,ENNAKL Automobiles
Ksar Said,audi,Km 7 Route de Mateur 2010 Ksar Said 2010 Ksar Said,unknown,Sté GMS
Tunis,avis,,unknown,Avis Tunisia Tunis Airport
unknown,deloitte,,unknown,Tunis
La Charguia-Tunis,mercedes_benz,,unknown,Société Le Moteur S.A.
Tunis,shell,,unknown,PLACE PASTEUR
Sejoumi,shell,,unknown,SEJOUMI
Sidi Hassine,shell,,unknown,SEJOUMI II
Kabaria,shell,,unknown,KABARIA
El Hadika,shell,,unknown,EL HADIKA
Ezzouhour,shell,,unknown,EZZOUHOUR
El Omrane,shell,,unknown,EL OMRANE
Ariana,shell,,unknown,Rte X 2
Jbel Jelloud,shell,,unknown,Jbel Jelloud
JEBEL JELOUD,shell,,unknown,SIDI FATHALLAH
Marsa,shell,,unknown,GP 9
Le Kram,shell,,unknown,LE KRAM
TUNIS,visa,,unknown,unknown
EL BOUHAIRA,visa,,unknown,unknown
MARSA,visa,,unknown,unknown
BARDO,visa,,unknown,unknown
MORNAG,visa,,unknown,unknown
unknown,visa,,unknown,unknown
DENDEN,visa,,unknown,unknown
IBN KHALDOUN,visa,,unknown,unknown
EL MANAR,visa,,unknown,unknown
MENZAH 6,visa,,unknown,unknown
LA GOULETTE,visa,,unknown,unknown
TUNIS R P,visa,,unknown,unknown
CHARGUIA,visa,,unknown,unknown
KRAM,visa,,unknown,unknown
CARTHAGE VILLE,visa,,unknown,unknown
LA MARSA,visa,,unknown,unknown
GAMMARTH,visa,,unknown,unknown
Testour,western_union,,unknown,B.I.A.T. AGENCE TESTOUR
Tunis,western_union,,unknown,LA POSTE TUNISIENNE
Medjez El Bab,western_union,,unknown,B.I.A.T. AGENCE MEDEZ EL BEB
Omrane,western_union,,unknown,LA POSTE TUNISIENNE
Bir Kasaa,western_union,,unknown,LA POSTE TUNISIENNE
Sijoumi,western_union,,unknown,BANQUE ZITOUNA AGENCE SIJOUMI
Tebourba,western_union,,unknown,BIAT TEBOURBA
El Ouardia,western_union,,unknown,B.I.A.T.
Sidi Hassine,western_union,,unknown,SIDI HASSINE MEDINA
Borj Cedria,western_union,,unknown,BIAT BORJ CEDRIA
La Goulette,western_union,,unknown,ATTIJARI BANK JARDINS DU LAC
Ben Arous,western_union,,unknown,ATTIJARI BANK
Hrairia,western_union,,unknown,LA POSTE TUNISIENNE
Ezzouhour,western_union,,unknown,BANQUE ZITOUNA AGENCE EZZOUHOUR
El Jazira,western_union,,unknown,B.I.A.T.
Carthage,western_union,,unknown,AMEN BANK CARTHAGE
Tunisie,western_union,,unknown,ATTIJARI BANK SOUSSE MENCHIA
El Hafsia,western_union,,unknown,B.I.A.T.
Megrine,western_union,,unknown,QNB MEGRINE
Bab Souika,western_union,,unknown,B.I.A.T.
Jardins El Menzeh 2,western_union,,unknown,AMEN BANK JARDINS EL MENZEH 2
Bardo 2,western_union,,unknown,B.I.A.T. AGENCE BARDO 2
Bardo,western_union,,unknown,QNB BARDO
Le Bardo,western_union,,unknown,B I A T
El Khadra,western_union,,unknown,LA POSTE TUNISIENNE
Al Djazira,western_union,,unknown,B.I.A.T.
Bab Jedid,western_union,,unknown,ATTIJARI BANK
Rades,western_union,,unknown,BIAT RADES
Ettadhamen,western_union,,unknown,BASSATINE NOGRA
Cite El Khadra,western_union,,unknown,LA POSTE TUNISIENNE
Cite El Khadhra,western_union,,unknown,AGENCE CITE EL KHADHRA
El Menzah,western_union,,unknown,B I A T
Charguia,western_union,,unknown,B.I.A.T.
Le Lac De Tunis,western_union,,unknown,ATTIJARI BANK
Ennasr,western_union,,unknown,BIAT HEDI NOUIRA
Ain Zaghouan,western_union,,unknown,ATTIJARI BANK AIN ZAGHOUAN
La Marsa,western_union,,unknown,BANQUE ZITOUNA AGENCE LA MARSA
Kram,western_union,,unknown,AGENCE RIADH EL ANDALOUS
Le Kram,western_union,,unknown,B I A T
Gammarth,western_union,,unknown,BIAT GAMMARTH
Laouina,western_union,,unknown,QNB LAOUINA
Marsa,western_union,,unknown,BIAT SIDI BOUSAID
Sidi Bousaid,western_union,,unknown,BANQUE ZITOUNA AGENCE SIDI BOU SAID
Zorba,western_union,,unknown,LA POSTE TUNISIENNE
Tunis Belvedere,western_union,,unknown,ATTIJARI BANK
Sahel,western_union,,unknown,BIAT OUERDANINE R2
Khezama Sousse,western_union,,unknown,ATTIJARI BANK SOUSSE KHEZAMA
El Mharza,western_union,,unknown,LA POSTE TUNISIENNE
Sidi Saad,western_union,,unknown,LA POSTE TUNISIENNE
Bousalem,western_union,,unknown,BIAT BOUSALEM
Kambout,western_union,,unknown,LA POSTE TUNISIENNE
