Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
0070246502465,decathlon_tr,İSTANBUL - TEPE NAUTILUS AVM,,İstanbul,,,TR,+90 216 326 10 64,https://www.decathlon.com.tr/store-view/magaza-spor-istanbul-tepe-nautilus-avm-0070246502465,Mo-Su 10:00-22:00,Decathlon,Q509349
ISTE61,enterprise,Istanbul Acibadem,,Istanbul,,,TR,+90 212 970 59 37,,,Enterprise Rent-A-Car,Q17085454
T003,jysk,"Nautilus, Istanbul",,İSTANBUL,,,TR,,https://jysk.com.tr/magazalari-bulun?storeId=T003,Mo-Su 10:00-22:00,JYSK,Q138913
12822,nissan_europe,K.TEPRETOĞULLARI,,İSTANBUL,,,TR,+90 216 327 03 33,http://www.nissan.com.tr/test-surusu.html,Mo-Fr 08:30-18:30; Sa 09:00-17:00,Nissan,Q20165
79234124_001-renault,renault,KEMAL TEPRETOĞULLARI,,ISTANBUL,,,TR,+90 216 327 44 44,,,Renault,Q6686
79234124_001-dacia,renault,KEMAL TEPRETOĞULLARI,,ISTANBUL,,,TR,+90 216 327 44 44,,,Dacia,Q27460
https://www.sixt.co.uk/car-hire/turkey/istanbul/istanbul-kadikoy/,sixt,Car Hire Istanbul Kadikoy | SIXT rent a car,,Istanbul,,,TR,,https://www.sixt.co.uk/car-hire/turkey/istanbul/istanbul-kadikoy/,Mo-Su 09:00-19:00,SIXT,Q705664
THTR0057,tommy_hilfiger,Tommy Hilfiger,,Istanbul,,,TR,+90 216 510 53 37,,,Tommy Hilfiger,Q634881
,visa,,,ISTANBUL-AND,,,TR,,,,,
,visa,,,ISTANBUL-AND,,,TR,,,,,
,visa,,,İSTANBUL,,,TR,,,,,
,visa,,,ISTANBUL-AND,,,TR,,,,,
,visa,,,ISTANBUL-AND,,,TR,,,,,
