Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
38930_3,bmw_group,Long-Der Motors Ltd. Service Center,,Taipei City,,,TW,+886 2 8791 3989,https://www.bmw.com.tw,,BMW,Q26678
38930_2,bmw_group,Long-Der Motors Ltd. Used Car,,Taipei City,,,TW,+886 2 2791 2558,https://www.bmw.com.tw,,BMW,Q26678
35439_1,bmw_group,"ELITE MOTORRAD CO., LTD.",,Taipei City,,,TW,+886 2 2793 7227,https://www.facebook.com/BMWMotorradTaiwan/,,BMW Motorrad,Q249173
38930_1,bmw_group,Long-Der Motors Ltd. Neihu Showroom,,Taipei City,,,TW,+886 2 8791 8181,https://www.bmw.com.tw,,BMW,Q26678
dealer_70194,maserati,MASERATI NEIHU,,TAIPEI,,,TW,+886 2 2627 2200,https://www.maserati.com/tw/zh/official-dealer,,Maserati,Q35962
,visa,,,TAIPEI,,,TW,,,,,
,visa,,,TAIPEI,,,TW,,,,,
,visa,,,TAIPEI,,,TW,,,,,
,visa,,,TAIPEI,,,TW,,,,,
,visa,,,TAIPEI,,,TW,,,,,
