Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
,visa,,,CHERNIHIV,CHERNIHIVSKA,,UA,,,,,
,visa,,,CHERNIHIV,CHERNIHIVSKA,,UA,,,,,
,visa,,,CHERNIHIV,CHERNIHIVSKA,,UA,,,,,
,visa,,,CHERNIHIV,CHERNIHIVSKA,,UA,,,,,
,visa,,,CHERNIHIV,CHERNIHIVSKA,,UA,,,,,
,visa,,,CHERNIGIV,CHERNIHIVSKA,,UA,,,,,
2a12def862b56ac7629979da5f8f2259,western_union,NOVA POSHTA,,Obolonnya,CHERNIHIVSKA,,UA,,https://location.westernunion.com/ua/chernihivska/obolonnya/2a12def862b56ac7629979da5f8f2259,Mo-Sa 08:00-20:00,Western Union,Q861042
63699cea001f9acd8372be5ca7c514ff,western_union,NOVA POSHTA,,Ripky,CHERNIHIVSKA,,UA,,https://location.westernunion.com/ua/chernihivska/ripky/63699cea001f9acd8372be5ca7c514ff,Mo-Fr 09:00-19:00; Sa 09:00-17:00; Su 09:00-14:00,Western Union,Q861042
387bcebe8878f6621e569e6a71324a32,western_union,NOVA POSHTA,,Chernigiv,CHERNIHIVSKA,,UA,(+0800) 307979,https://location.westernunion.com/ua/chernihivska/chernigiv/387bcebe8878f6621e569e6a71324a32,Mo-Fr 08:00-20:00; Sa 09:00-18:00; Su 10:00-18:00,Western Union,Q861042
d9db2b2d937152073498f42cfe5ed093,western_union,NOVA POSHTA,,Chernigiv,CHERNIHIVSKA,,UA,,https://location.westernunion.com/ua/chernihivska/chernigiv/d9db2b2d937152073498f42cfe5ed093,Mo-Fr 08:00-20:00; Sa 09:00-17:00; Su 11:00-17:00,Western Union,Q861042
37e4b5d9b963e8edd7c33b6c598a8934,western_union,PRIVATBANK,,Chernihiv,CHERNIHIVSKA,,UA,+380 56 716 1131,https://location.westernunion.com/ua/chernihivska/chernihiv/37e4b5d9b963e8edd7c33b6c598a8934,Mo-Fr 08:30-17:30; Sa 08:30-15:30,Western Union,Q861042
57bbde5b0986efb29e6f92b436f8af44,western_union,PRIVATBANK,,Chernihiv,CHERNIHIVSKA,,UA,+380 56 716 1131,https://location.westernunion.com/ua/chernihivska/chernihiv/57bbde5b0986efb29e6f92b436f8af44,Mo 08:03-17:30; Tu-Fr 08:30-17:30; Sa 09:00-14:00,Western Union,Q861042
3f327de067cf178cc32afecd47863f2c,western_union,PRIVATBANK,,Chernihiv,CHERNIHIVSKA,,UA,+380 56 716 1131,https://location.westernunion.com/ua/chernihivska/chernihiv/3f327de067cf178cc32afecd47863f2c,Mo-Fr 08:30-17:30,Western Union,Q861042
