Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
,visa,,,ODESA,ODESKA,,UA,,,,,
,visa,,,ODESA,ODES'KA,,UA,,,,,
,visa,,,ODESA,ODESKA,,UA,,,,,
,visa,,,ODESA,ODESKA,,UA,,,,,
,visa,,,ODESA,ODESKA,,UA,,,,,
,visa,,,ODESA,ODESKA,,UA,,,,,
,visa,,,ODESA,ODESKA,,UA,,,,,
,visa,,,ODESA,ODESKA,,UA,,,,,
db92c992f2293b3335fbb24b3f439438,western_union,NOVA POSHTA,,Oleksandrivka,ODESKA,,UA,,https://location.westernunion.com/ua/odeska/oleksandrivka/db92c992f2293b3335fbb24b3f439438,Mo-Fr 09:00-19:00; Sa 09:00-17:00; Su 11:00-17:00,Western Union,Q861042
bf2e972e55716fc6aaac5afa8def4afb,western_union,PRIVATBANK,,Kryzhanivka,ODESKA,,UA,+380 56 716 1131,https://location.westernunion.com/ua/odeska/kryzhanivka/bf2e972e55716fc6aaac5afa8def4afb,Mo-Fr 09:00-18:00,Western Union,Q861042
61c1740ec620dc98db09aaf4eaf0ced5,western_union,NOVA POSHTA,,Odesa,ODESKA,,UA,(+0800) 307979,https://location.westernunion.com/ua/odeska/odesa/61c1740ec620dc98db09aaf4eaf0ced5,Mo-Fr 08:00-21:00; Sa 09:00-18:00; Su 10:00-18:00,Western Union,Q861042
cb000e41007b788a48c6fbfb24437df1,western_union,PRIVATBANK,,Odesa,ODESKA,,UA,+380 56 716 1131,https://location.westernunion.com/ua/odeska/odesa/cb000e41007b788a48c6fbfb24437df1,Mo-Fr 09:00-18:00,Western Union,Q861042
7c3b549093a72ab7e501cb575164922a,western_union,PIVDENNYI N1503,,Odesa,ODESKA,,UA,+380 482 347 818,https://location.westernunion.com/ua/odeska/odesa/7c3b549093a72ab7e501cb575164922a,Mo-Fr 09:00-18:00,Western Union,Q861042
29b5114cee14f8d15b1de3185eddb377,western_union,FUIB,,Odesa,ODESKA,,UA,+380 48 785 2314,https://location.westernunion.com/ua/odeska/odesa/29b5114cee14f8d15b1de3185eddb377,Mo-Fr 09:00-18:00; Sa 08:30-19:30,Western Union,Q861042
12c35f35428970d20d0fadd1b21565a3,western_union,PRIVATBANK,,Odessa,ODESKA,,UA,+380 56 716 1131,https://location.westernunion.com/ua/odeska/odessa/12c35f35428970d20d0fadd1b21565a3,Mo-Fr 09:00-18:00,Western Union,Q861042
203af62d6e0bd71b5d8533ae0f4e5e4c,western_union,PRIVATBANK,,Odesa,ODESKA,,UA,+380 56 716 1131,https://location.westernunion.com/ua/odeska/odesa/203af62d6e0bd71b5d8533ae0f4e5e4c,Mo-Fr 09:00-18:00,Western Union,Q861042
b3aee0c798925d00b6727e620c39e7d4,western_union,PRIVATBANK,,Odesa,ODESKA,,UA,+380 56 716 1131,https://location.westernunion.com/ua/odeska/odesa/b3aee0c798925d00b6727e620c39e7d4,Mo-Fr 09:00-18:00; Sa 09:00-16:00,Western Union,Q861042
7f643a84a5df96bd74491c9d3d082d47,western_union,ACCENT BANK,,Odesa,ODESKA,,UA,+380 56 722 0555,https://location.westernunion.com/ua/odeska/odesa/7f643a84a5df96bd74491c9d3d082d47,Mo-Fr 09:00-18:00,Western Union,Q861042
5828997347275ede5a125d3a3a3d8753,western_union,NOVA POSHTA,,Lymanka,ODESKA,,UA,,https://location.westernunion.com/ua/odeska/lymanka/5828997347275ede5a125d3a3a3d8753,Mo-Fr 08:00-20:00; Sa 09:00-18:00; Su 10:00-18:00,Western Union,Q861042
c4d81eb5bf8f5403bba2c8dd3a9f1be8,western_union,ACCENT BANK,,Odesa,ODESKA,,UA,+380 56 722 0555,https://location.westernunion.com/ua/odeska/odesa/c4d81eb5bf8f5403bba2c8dd3a9f1be8,Mo-Fr 09:00-18:00,Western Union,Q861042
