Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72313987,moneygram,POLTAVA-BANK,,POLTAVA,,,UA,+380 5325 63103,,Mo-Fr 09:00-18:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
72314119,moneygram,POLTAVA-BANK,,POLTAVA,,,UA,+380 5322 20876,,Mo 00:00-24:00; Tu-Fr 09:00-18:00; Sa 09:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
72314135,moneygram,POLTAVA-BANK,,POLTAVA,,,UA,+380 5325 62258,,Mo-Fr 08:00-17:00; Sa 09:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
68852630,moneygram,OSCHADBANK - TOBO - 10016-0135,,POLTAVA,,,UA,5322562925,,Mo-Fr 08:00-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
72681994,moneygram,JSC BANK GRANT - #9 - POLTAVA - NON-BALA,,POLTAVA,,,UA,+380 5325 01422,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68946070,moneygram,OSCHADBANK - TOBO - 10016-010,,POLTAVA,,,UA,+380 5325 03600,,Mo-Th 08:00-16:45; Fr 08:00-15:45; Sa-Su 00:00-24:00,MoneyGram,Q1944412
72862700,moneygram,JSC A-BANK - #A201 - POLTAVA - 201 OF JS,,POLTAVA,,,UA,+380 56 722 0555,,Mo-Fr 09:00-18:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
74002720,moneygram,PJSC TASCOMBANK - #127 - POLTAVA - POLTA,,POLTAVA,,,UA,+380 800 503 580,,Mo-Fr 09:00-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
44102414,moneygram,UKREXIMBANK,,POLTAVA,,,UA,2508534,,Mo-Th 09:00-16:00; Fr-Sa 09:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
65158560,moneygram,OTP BANK,,POLTAVA,,,UA,+380 5325 09942,,Mo-Fr 09:00-18:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
67037870,moneygram,OSCHADBANK - TOBO 10016 0117 F-LA POLTAV,,POLTAVA,,,UA,+380 5322 73528,,Mo-We 08:30-18:00; Th-Fr 09:00-18:00; Sa 09:00-16:00; Su 08:30-16:00,MoneyGram,Q1944412
,visa,,,POLTAVA,,,UA,,,,,
,visa,,,MASHIVKA,,,UA,,,,,
,visa,,,POLTAVA,,,UA,,,,,
,visa,,,POLTAVA,,,UA,,,,,
,visa,,,POLTAVA,,,UA,,,,,
,visa,,,POLTAVA,,,UA,,,,,
,visa,,,POLTAVA,,,UA,,,,,
,visa,,,POLTAVA,,,UA,,,,,
,visa,,,POLTAVA,,,UA,,,,,
,visa,,,POLTAVA,,,UA,,,,,
,visa,,,POLTAVA,,,UA,,,,,
