Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
003253,uhaul,Hopper Building Supplies,5530 Hwy 55 E,Eva,AL,,US,+1 256-734-4184,,Mo 00:00-17:00; We-Fr 00:00-17:00; Sa 00:00-24:00,U-Haul,Q7862902
1362832,usps,EVA,,EVA,AL,,US,+1 256-796-7235,,"Mo-Fr 09:00-12:00,13:00-16:00; Sa 08:00-10:00",United States Postal Service,Q668687
3562100000,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,4456 HIGHWAY 55 E,EVA,AL,,US,,,,United States Postal Service,Q668687
3562100001,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,4456 HIGHWAY 55 E,EVA,AL,,US,,,,United States Postal Service,Q668687
3562100004,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,4456 HIGHWAY 55 E,EVA,AL,,US,,,,United States Postal Service,Q668687
,visa,,,EVA,AL,,US,,,,,
,visa,,,EVA,AL,,US,,,,,
,visa,,,EVA,AL,,US,,,,,
,visa,,,EVA,AL,,US,,,,,
,visa,,,EVA,AL,,US,,,,,
,visa,,,EVA,AL,,US,,,,,
