Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://stores.advanceautoparts.com/ar/texarkana/1010-n-state-line-ave,advance_auto_parts_us,Advance Auto Parts,,Texarkana,AR,,US,+1 870-779-1623,https://stores.advanceautoparts.com/ar/texarkana/1010-n-state-line-ave,Mo-Sa 07:30-21:00; Su 08:30-20:00,Advance Auto Parts,Q4686051
https://local.albertsons.com/#5603500,albertsons,Albertsons,,Texarkana,AR,,US,+1 870-774-3146,https://local.albertsons.com/ar/texarkana/3710-state-line-ave.html,"Mo-Fr 06:00-22:00,08:00-20:00; Sa 06:00-22:00,09:00-18:00; Su 06:00-22:00,10:00-17:00",Albertsons,Q2831861
https://local.pharmacy.albertsons.com/#5672743,albertsons,Albertsons Pharmacy,,Texarkana,AR,,US,+1 870-773-5521,https://local.pharmacy.albertsons.com/ar/texarkana/3710-state-line-ave.html,Mo-Fr 08:00-20:00; Sa 09:00-18:00; Su 10:00-17:00,Albertsons,Q2831861
1236,anytime_fitness,Anytime Fitness,,Texarkana,AR,,US,+1 870-772-4348,https://www.anytimefitness.com/gyms/1236/texarkana-ar-71854/,,Anytime Fitness,Q4778364
1343,autozone_us,AutoZone Auto Parts Texarkana,,Texarkana,AR,,US,+1 870-774-1212,https://www.autozone.com/locations/ar/texarkana/2502-n-state-line-ave.html,Mo-Sa 07:30-21:00; Su 08:00-20:00,AutoZone,Q4826087
https://www.avis.com/en/locations/us/ar/texarkana/txk,avis,Avis U S A Texarkana Airport,,Texarkana,AR,,US,+1 870-773-1861,https://www.avis.com/en/locations/us/ar/texarkana/txk,Mo-Su 09:30-18:00,Avis,Q791136
165315,bluerhino,Family Dollar #03539,,TEXARKANA,AR,,US,+1 870-779-8222,,,Blue Rhino,Q65681213
173178,bluerhino,Family Dollar #03790,,Texarkana,AR,,US,+1 870-774-7417,,,Blue Rhino,Q65681213
193797,bluerhino,Family Dollar #1295,,TEXARKANA,AR,,US,+1 870-774-8527,,,Blue Rhino,Q65681213
140434,bluerhino,Davis Lumber Co,,Texarkana,AR,,US,+1 870-774-3377,,,Blue Rhino,Q65681213
237212,bluerhino,Circle K #2706345,,Texarkana,AR,,US,+1 870-773-4679,,,Blue Rhino,Q65681213
184915,bluerhino,Cash Saver #4657,,Texarkana,AR,,US,+1 870-774-1985,,,Blue Rhino,Q65681213
214880,bluerhino,Delek #13903,,Texarkana,AR,,US,+1 870-330-4144,,,Blue Rhino,Q65681213
P300212,bmo,Holiday Bowl,,Texarkana,AR,,US,,,,BMO,Q4835981
9424,burgerking,Burger King,,Texarkana,AR,,US,+1 870-772-0435,https://www.bk.com/store-locator/store/restaurant_5302,Mo-Sa 06:00-23:00; Su 07:00-23:00,Burger King,Q177054
https://stores.catofashions.com/#26560276,cato_us,Cato,,,AR,,US,+1 870-779-7225,https://stores.catofashions.com/ar/texarkana/131-arkansas-boulevard,Mo-Sa 10:00-19:00; Su 13:00-18:00,Cato,Q16956136
1700-n-state-line-avenue,churchs_chicken,N. State Line Avenue,,Texarkana,AR,,US,+1 870-773-3951,https://locations.churchs.com/ar/texarkana/1700-n-state-line-avenue,,Church's Chicken,Q1089932
43370,citi,ATM Circle K,,Texarkana,AR,,US,,,,Citibank,Q857063
50733,citi,ATM CVS,,Texarkana,AR,,US,,,,Citibank,Q857063
34419,citi,"ATM Alon 7ELEVEN, INC.",,Texarkana,AR,,US,,,,Citibank,Q857063
10019,cvs_us,CVS Pharmacy,,Texarkana,AR,,US,+1 870-772-0236,https://www.cvs.com/store-locator/texarkana-ar-pharmacies/3908-n-stateline-ave-texarkana-ar-71854/storeid=10019,24/7,CVS Pharmacy,Q2078880
248583,dennys,Denny's,,Texarkana,AR,,US,+1 870-772-3540,https://locations.dennys.com/AR/TEXARKANA/248583,24/7,Denny's,Q1189695
249260,dennys,Denny's,,Texarkana,AR,,US,+1 870-774-5438,https://locations.dennys.com/AR/TEXARKANA/249260,24/7,Denny's,Q1189695
3672,dollar_general,Dollar General,,Texarkana,AR,,US,+1 501-476-7756,https://www.dollargeneral.com/store-directory/ar/texarkana/3672,Mo-Su 08:00-21:00,Dollar General,Q145168
18532,dollar_general,Dollar General,,Texarkana,AR,,US,+1 870-330-0002,https://www.dollargeneral.com/store-directory/ar/texarkana/18532,Mo-Su 08:00-22:00,Dollar General,Q145168
15381,dollar_general,Dollar General,,Texarkana,AR,,US,+1 870-686-0224,https://www.dollargeneral.com/store-directory/ar/texarkana/15381,Mo-Su 08:00-22:00,Dollar General,Q145168
13873,dollar_general,Dollar General,,Texarkana,AR,,US,+1 501-476-7640,https://www.dollargeneral.com/store-directory/ar/texarkana/13873,Mo-Su 08:00-22:00,Dollar General,Q145168
5341,dominos_pizza_us,Domino's Pizza,,Texarkana,AR,,US,+1 870-774-3030,https://pizza.dominos.com/arkansas/texarkana/3214-jefferson-avenue,Mo-Th 10:30-24:00; Fr-Sa 10:30-01:00; Su 10:30-24:00,Domino's,Q839466
5340,dominos_pizza_us,Domino's Pizza,,Texarkana,AR,,US,+1 870-772-3030,https://pizza.dominos.com/arkansas/texarkana/110-e-martin-luther-king-blvd,Mo-Th 10:30-24:00; Fr-Sa 10:30-01:00; Su 10:30-24:00,Domino's,Q839466
https://www.edwardjones.com/us-en/financial-advisor/brittney-yeldell,edwardjones,Brittney L Yeldell,,Texarkana,AR,,US,+1 870-773-0212,https://www.edwardjones.com/us-en/financial-advisor/brittney-yeldell,,Edward Jones,Q5343830
200319801,exxonmobil,71 EXPRESS,,TEXARKANA,AR,,US,+1 870-773-7564,https://www.exxon.com/en/find-station/exxon-texarkana-ar-71express-200319801,Mo-We 06:00-00:00; Th-Sa 00:00-24:00; Su 06:00-00:00,Exxon,Q109675651
3059,gamestop_us,Texarkana Plaza,,TEXARKANA,AR,,US,+1 870-779-9246,https://www.gamestop.com/search/?store=3059,Mo-Th 12:00-19:00; Fr-Sa 11:00-20:00; Su 12:00-18:00,GameStop,Q202210
