Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
16629,dollar_general,Dollar General,,Yarnell,AZ,,US,+1 928-543-9145,https://www.dollargeneral.com/store-directory/az/yarnell/16629,Mo-Su 08:00-21:00,Dollar General,Q145168
1388441,usps,YARNELL,,YARNELL,AZ,,US,+1 928-427-3725,,"Mo-Fr 08:00-12:00,13:00-16:00",United States Postal Service,Q668687
8536200003,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,22610 HIGHWAY 89,YARNELL,AZ,,US,,,,United States Postal Service,Q668687
8536200001,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,22610 HIGHWAY 89,YARNELL,AZ,,US,,,,United States Postal Service,Q668687
8536200002,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,22610 HIGHWAY 89,YARNELL,AZ,,US,,,,United States Postal Service,Q668687
,visa,,,YARNELL,AZ,,US,,,,,
,visa,,,YARNELL,AZ,,US,,,,,
,visa,,,YARNELL,AZ,,US,,,,,
,visa,,,YARNELL,AZ,,US,,,,,
,visa,,,YARNELL,AZ,,US,,,,,
