Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
9120ae73-e11d-e611-80c5-005056aa8521,amf_bowling,AMF Rocklin Lanes,,Rocklin,CA,,US,+1 916-624-8216,https://www.amf.com/location/amf-rocklin-lanes,,AMF Bowling Center,Q4652616
USAA26A09,audi,Audi Rocklin,"4448 Granite Dr, Rocklin, CA 95677",Rocklin,CA,,US,+1 916-836-1288,,,Audi,Q23317
5546,autozone_us,AutoZone Auto Parts Rocklin,,Rocklin,CA,,US,+1 916-630-8818,https://www.autozone.com/locations/ca/rocklin/6651-stanford-ranch-rd.html,Mo-Sa 07:30-22:00; Su 08:00-21:00,AutoZone,Q4826087
https://www.avis.com/en/locations/us/ca/rocklin/q4r,avis,Avis U S A Rocklin,,Rocklin,CA,,US,+1 916-315-3952,https://www.avis.com/en/locations/us/ca/rocklin/q4r,Mo-Fr 08:00-17:00; Sa-Su 09:00-13:00,Avis,Q791136
https://locations.baskinrobbins.com/ca/rocklin/5428-crossings-dr-357195-br,baskin_robbins_us,Baskin-Robbins™,,Rocklin,CA,,US,+1 916-624-3134,https://locations.baskinrobbins.com/ca/rocklin/5428-crossings-dr-357195-br,Mo-Su 11:00-22:00,Baskin-Robbins,Q584601
https://stores.basspro.com/us/ca/rocklin/5472-crossings-dr.html,bassproshops,"Bass Pro Shops Rocklin, CA",,Rocklin,CA,,US,+1 916-251-3800,https://stores.basspro.com/us/ca/rocklin/5472-crossings-dr.html,Mo-Sa 09:00-20:00; Su 10:00-19:00,Bass Pro Shops,Q4867953
BBW02663,bathandbodyworks_us,ROCKLIN COMMONS,,ROCKLIN,CA,,US,+1 916-250-6410,,Mo-Sa 10:00-20:00; Su 10:00-18:00,Bath & Body Works,Q810773
146295,bluerhino,ARCO AM/PM,,Rocklin,CA,,US,+1 916-824-1080,,,Blue Rhino,Q65681213
109733,bluerhino,Rocklin Mini Mart,,Rocklin,CA,,US,+1 916-632-1455,,,Blue Rhino,Q65681213
132577,bluerhino,"Bains Oil, Inc.",,Rocklin,CA,,US,+1 916-630-5573,,,Blue Rhino,Q65681213
182327,bluerhino,ARCO AM/PM,,Rocklin,CA,,US,+1 916-632-2276,,,Blue Rhino,Q65681213
177944,bluerhino,Quik Stop #550103,,Rocklin,CA,,US,+1 916-624-4397,,,Blue Rhino,Q65681213
169176,bluerhino,United Pacific  #5432,,Rocklin,CA,,US,+1 916-415-1260,,,Blue Rhino,Q65681213
110877,bluerhino,Johl Petroleum #83072,,Rocklin,CA,,US,+1 916-624-8952,,,Blue Rhino,Q65681213
0036,bootbarn,Rancho Cordova,,"Rocklin,",CA,,US,+1 916-415-1929,https://www.bootbarn.com/stores?StoreID=0036,Mo-Sa 09:00-20:00; Su 10:00-18:00,Boot Barn,Q109825187
