Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
2555,anytime_fitness,Anytime Fitness,,Firestone,CO,,US,+1 303-772-2660,https://www.anytimefitness.com/gyms/2555/firestone-co-80504/,,Anytime Fitness,Q4778364
https://locations.arbys.com/co/longmont/10809-turner-blvd.html,arbys_us,"Arby's Fast-Food Drive Through Near You in Longmont, CO",,Longmont,CO,,US,+1 303-682-8938,https://locations.arbys.com/co/longmont/10809-turner-blvd.html,Mo 10:00-22:00; Tu-Fr 10:00-22:30; Sa-Su 10:00-23:00,Arby's,Q630866
11981,asics_us,DICK'S Sporting Goods  - Longmont,210 Ken Pratt Blvd,Longmont,CO,,US,+1 303-682-5740,,Mo-Sa 09:00-21:00; Su 10:00-19:00,asics,Q327247
3435,autozone_us,AutoZone Auto Parts Firestone,,Firestone,CO,,US,+1 303-774-9952,https://www.autozone.com/locations/co/firestone/10925-colorado-blvd.html,Mo-Sa 07:30-21:00; Su 08:00-20:00,AutoZone,Q4826087
https://awrestaurants.com/locations/colorado/longmont/2604-main-street/,awrestaurants,A&W Restaurant,,Longmont,CO,,US,+1 303-776-6560,https://awrestaurants.com/locations/colorado/longmont/2604-main-street/,Mo-Su 10:00-22:00,A&W Restaurants,Q277641
https://locations.baskinrobbins.com/co/firestone/6130-firestone-boulevard-363148-br,baskin_robbins_us,Baskin-Robbins™,,Firestone,CO,,US,+1 303-776-0318,https://locations.baskinrobbins.com/co/firestone/6130-firestone-boulevard-363148-br,Mo-Su 11:00-22:00,Baskin-Robbins,Q584601
156295,bluerhino,Walgreens #6785,,Longmont,CO,,US,+1 303-651-7468,,,Blue Rhino,Q65681213
82398,bluerhino,King Soopers #102,,Longmont,CO,,US,+1 303-776-7570,,,Blue Rhino,Q65681213
143754,bluerhino,King Soopers #102 - Fuel Site,,Longmont,CO,,US,+1 303-776-7570,,,Blue Rhino,Q65681213
170423,bluerhino,Kum & Go #913,,Longmont,CO,,US,+1 970-535-4601,,,Blue Rhino,Q65681213
236694,bluerhino,Circle K #2709846,,Longmont,CO,,US,+1 303-678-0539,,,Blue Rhino,Q65681213
192766,bluerhino,Murphy's #8827,,Firestone,CO,,US,+1 303-772-0939,,,Blue Rhino,Q65681213
210988,bluerhino,Dollar General #21869,,Firestone,CO,,US,+1 720-673-9671,,,Blue Rhino,Q65681213
156251,bluerhino,Walgreens #9315,,Firestone,CO,,US,+1 303-532-8069,,,Blue Rhino,Q65681213
236690,bluerhino,Circle K #2709082,,Firestone,CO,,US,+1 303-772-0804,,,Blue Rhino,Q65681213
https://child-care-preschool.brighthorizons.com/CO/Longmont/elongmont,brighthorizons,Bright Horizons at East Longmont,,Longmont,CO,,US,+1 303-772-1008,https://child-care-preschool.brighthorizons.com/co/longmont/elongmont,Mo-Fr 07:30-18:00,Bright Horizons,Q4967421
LONGCOMF,builders_firstsource_us,Longmont CO Truss,,Longmont,CO,,US,+1 303-485-9894,https://www.bldr.com/location/longmont-co-truss/LONGCOMF,Mo-Fr 07:00-16:00,Builders FirstSource,Q27686100
LONGCOYD,builders_firstsource_us,Longmont CO Yard,,Longmont,CO,,US,+1 303-485-9894,https://www.bldr.com/location/longmont-co-yard/LONGCOYD,Mo-Fr 07:00-16:00,Builders FirstSource,Q27686100
2039042,chase_us,North Longmont - New branch,,Longmont,CO,,US,+1 303-774-7516,https://locator.chase.com/co/longmont/2614-main-st,Mo-Fr 09:00-17:00,Chase,Q524629
2039021,chase_us,Firestone - New branch,,Firestone,CO,,US,+1 303-485-6894,https://locator.chase.com/co/firestone/11040-colorado-blvd,Mo-Fr 09:00-17:00; Sa 09:00-14:00,Chase,Q524629
93140,citi,ATM Walgreens,,Longmont,CO,,US,,,,Citibank,Q857063
60161,citi,ATM Independent Financial,,Longmont,CO,,US,,,,Citibank,Q857063
24756,citi,ATM 7ELEVEN-FCTI,,Firestone,CO,,US,,,,Citibank,Q857063
