Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://locations.baskinrobbins.com/ct/southport/3355-post-rd-341698-br,baskin_robbins_us,Baskin-Robbins™,,Southport,CT,,US,+1 203-319-0736,https://locations.baskinrobbins.com/ct/southport/3355-post-rd-341698-br,Mo-Su 05:00-22:00,Baskin-Robbins,Q584601
2038166,chase_us,Southport Pequot - New branch,,Southport,CT,,US,+1 203-256-3555,https://locator.chase.com/ct/southport/292-pequot-ave,Mo-Fr 09:00-17:00; Sa 09:00-14:00,Chase,Q524629
341698,dunkin_us,Dunkin',,Southport,CT,,US,+1 203-319-0736,https://locations.dunkindonuts.com/en/ct/southport/3355-post-rd/341698,Mo-Su 05:00-22:00,Dunkin',Q847743
https://www.edwardjones.com/us-en/financial-advisor/jared-miller,edwardjones,Jared K Miller,,Southport,CT,,US,+1 475-888-9386,https://www.edwardjones.com/us-en/financial-advisor/jared-miller,Mo-Th 08:00-18:00; Fr 08:00-17:00,Edward Jones,Q5343830
155,equinox,Equinox Southport,,Southport,CT,,US,+1 203-290-3116,https://cdn.contentful.com/clubs/connecticut/southport,,Equinox Fitness,Q5384535
113,jmclaughlin_us,J. McLaughlin,,Southport,CT,,US,+1 203-955-1555,https://www.jmclaughlin.com/store-details?store=US/CT/Southport/342-Pequot-Ave/Southport,Mo-Sa 09:30-17:30; Su 11:00-16:00,J. McLaughlin,Q111230943
https://locations.mtb.com/#3027829,mt_bank_us,M&T Bank,,,CT,,US,+1 203-255-4536,https://locations.mtb.com/ct/southport/bank-branches-and-atms-southport-ct-8218.html,Mo-Th 09:00-16:00; Fr 09:00-17:00,M&T Bank,Q3272257
https://restaurants.subway.com/#14903151,subway,Subway,,Southport Fairfield,CT,,US,+1 203-256-2398,https://restaurants.subway.com/united-states/ct/southport/3363-post-road,Mo-Fr 08:00-22:00; Sa 09:00-20:30; Su 09:00-19:30,Subway,Q244457
1382374,usps,SOUTHPORT,,SOUTHPORT,CT,,US,+1 203-259-2877,,Mo-Fr 09:00-17:00; Sa 09:00-12:00,United States Postal Service,Q668687
0689000001,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,402 PEQUOT AVE,SOUTHPORT,CT,,US,,,,United States Postal Service,Q668687
0689000010,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,402 PEQUOT,SOUTHPORT,CT,,US,,,,United States Postal Service,Q668687
0689000006,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,402 PEQUOT AVE,SOUTHPORT,CT,,US,,,,United States Postal Service,Q668687
0689000004,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,322 PEQUOT AVE,SOUTHPORT,CT,,US,,,,United States Postal Service,Q668687
0689000005,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,1340 MILL HILL TER,SOUTHPORT,CT,,US,,,,United States Postal Service,Q668687
,visa,,,OLD SAYBRROK,CT,,US,,,,,
,visa,,,SOUTHPORT,CT,,US,,,,,
,visa,,,SOUTHPORT,CT,,US,,,,,
,visa,,,SOUTHPORT,CT,,US,,,,,
