Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
38613,bluerhino,Cato Oil/Goose Creek #08,,Felton,DE,,US,+1 302-284-9053,,,Blue Rhino,Q65681213
102579,bluerhino,Country Cupboard,,Felton,DE,,US,+1 302-284-3866,,,Blue Rhino,Q65681213
176557,bluerhino,Royal Farms #013,,Felton,DE,,US,+1 302-284-6014,,,Blue Rhino,Q65681213
92205946599841994300100000000000,bp,BP,,Felton,DE,,US,+1 302-284-2193,,24/7,BP,Q152057
75104,citi,ATM Royal Farms 3,,Felton,DE,,US,,,,Citibank,Q857063
74858,citi,ATM Royal Farms 2,,Felton,DE,,US,,,,Citibank,Q857063
73962,citi,ATM Royal Farms,,Felton,DE,,US,,,,Citibank,Q857063
74206,citi,ATM Royal Farms #0013 - 2,,Felton,DE,,US,,,,Citibank,Q857063
74207,citi,ATM Royal Farms #0013 - 3,,Felton,DE,,US,,,,Citibank,Q857063
74205,citi,ATM Royal Farms #0013 - 1,,Felton,DE,,US,,,,Citibank,Q857063
https://local.fedex.com/#25233008,fedex,,,Felton,DE,,US,+1 800-463-3339,https://local.fedex.com/en-us/de/felton/ilgab,,FedEx,Q459477
https://locations.mtb.com/#25082416,mt_bank_us,,,,DE,,US,+1 800-724-2440,https://locations.mtb.com/de/felton/bank-branches-and-atms-felton-de-lk131093.html,24/7,M&T Bank,Q3272257
https://restaurants.subway.com/#14910848,subway,Subway Felton Goose Creek,,Felton Kent,DE,,US,+1 302-284-9053,https://restaurants.subway.com/united-states/de/felton/11425-s-dupont,Mo-Th 05:00-21:30; Fr-Sa 05:00-22:30; Su 05:00-21:30,Subway,Q244457
1363292,usps,FELTON,,FELTON,DE,,US,+1 302-284-9826,,Mo-Fr 08:00-17:00; Sa 09:30-12:00,United States Postal Service,Q668687
1994300000,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,1 W SEWELL ST,FELTON,DE,,US,,,,United States Postal Service,Q668687
1994300003,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,1 W SEWELL ST,FELTON,DE,,US,,,,United States Postal Service,Q668687
1994300005,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,1 W SEWELL ST,FELTON,DE,,US,,,,United States Postal Service,Q668687
1994300007,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,1 W SEWELL ST,FELTON,DE,,US,,,,United States Postal Service,Q668687
,visa,,,FELTON,DE,,US,,,,,
,visa,,,FELTON,DE,,US,,,,,
,visa,,,FELTON,DE,,US,,,,,
,visa,,,FELTON,DE,,US,,,,,
,visa,,,FELTON,DE,,US,,,,,
,visa,,,FELTON,DE,,US,,,,,
,visa,,,FELTON,DE,,US,,,,,
