Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://stores.advanceautoparts.com/fl/orlando/16928-e-colonial-dr,advance_auto_parts_us,Advance Auto Parts,,Orlando,FL,,US,+1 407-568-1296,https://stores.advanceautoparts.com/fl/orlando/16928-e-colonial-dr,Mo-Sa 07:30-21:00; Su 08:00-20:00,Advance Auto Parts,Q4686051
153218,bluerhino,Walgreens #7694,,Orlando,FL,,US,+1 407-568-4199,,,Blue Rhino,Q65681213
60853,bluerhino,Tractor Supply #560,,Orlando,FL,,US,+1 407-568-5116,,,Blue Rhino,Q65681213
235701,bluerhino,Circle K #2708972,,Orlando,FL,,US,+1 407-568-5567,,,Blue Rhino,Q65681213
235695,bluerhino,Circle K #2707340,,Orlando,FL,,US,+1 407-568-2499,,,Blue Rhino,Q65681213
15241821748913282000100000000000,bp,BP,,Orlando,FL,,US,+1 407-568-5567,,24/7,BP,Q152057
42985,citi,ATM Circle K,,Cocoa,FL,,US,,,,Citibank,Q857063
41230,citi,ATM Circle K,,Orlando,FL,,US,,,,Citibank,Q857063
41053,citi,ATM Circle K,,Orlando,FL,,US,,,,Citibank,Q857063
88097,citi,ATM Walgreens,,Orlando,FL,,US,,,,Citibank,Q857063
3137,dominos_pizza_us,Domino's Pizza,,Orlando,FL,,US,+1 407-568-3330,https://pizza.dominos.com/florida/orlando/18735-e-colonial-dr,Mo-Th 10:30-24:00; Fr-Sa 10:30-01:00; Su 10:30-24:00,Domino's,Q839466
200314280,exxonmobil,MJM #1,,ORLANDO,FL,,US,+1 407-568-1089,https://www.exxon.com/en/find-station/mobil-orlando-fl-mjm1-200314280,Mo-Th 05:00-21:00; Fr 06:00-23:00; Sa 06:00-22:00; Su 07:00-21:00,Mobil,Q109676002
https://local.fedex.com/#25204076,fedex,,,Orlando,FL,,US,+1 800-463-3339,https://local.fedex.com/en-us/fl/orlando/e18ap,,FedEx,Q459477
https://locations.53.com/#3034674,fifththirdbank,Fifth Third Bank Lockwood Crossings,,Orlando,FL,,US,+1 407-568-7000,https://locations.53.com/fl/orlando/16860-east-colonial-drive.html,Mo-Th 09:00-17:00; Fr 09:00-18:00; Sa 09:00-12:00,Fifth Third Bank,Q1411810
https://office.jacksonhewitt.com/#27575986,jackson_hewitt,Jackson Hewitt,,Orlando,FL,,US,+1 407-282-1040,https://office.jacksonhewitt.com/tax-preparation-services-locations/en/fl/orlando/16889-e-colonial-dr/12220,Mo-Fr 10:00-19:00; Sa 09:00-17:00,Jackson Hewitt,Q6117132
fl_orlando_16873-e-colonial-dr,pizza_hut_us,16873 E. Colonial Dr.,,Orlando,FL,,US,+1 407-410-0606,https://locations.pizzahut.com/fl/orlando/16873-e-colonial-dr,,Pizza Hut,Q191615
https://restaurants.subway.com/#14906873,subway,Subway Avalon Park Town Center,,Orlando Orange,FL,,US,+1 407-382-6218,https://restaurants.subway.com/united-states/fl/orlando/3548-avalon-park-blvd,Mo-Fr 07:00-22:00; Sa 08:00-22:00; Su 09:00-22:00,Subway,Q244457
https://restaurants.subway.com/#14901586,subway,Subway Corner Lakes Plaza,,Orlando Orange,FL,,US,+1 407-568-0380,https://restaurants.subway.com/united-states/fl/orlando/16889-east-colonial-drive,Mo-Su 09:00-22:00,Subway,Q244457
https://locations.tacobell.com/#6145892,taco_bell,Taco Bell,,Orlando,FL,,US,+1 407-568-9114,https://locations.tacobell.com/fl/orlando/16880-e--colonial-dr-.html,Mo-Th 08:00-01:00; Fr-Sa 08:00-03:00; Su 08:00-01:00,Taco Bell,Q752941
,visa,,,COCOA,FL,,US,,,,,
,visa,,,ORLANDO,FL,,US,,,,,
,visa,,,ORLANDO,FL,,US,,,,,
,visa,,,ORLANDO,FL,,US,,,,,
,visa,,,ORLANDO,FL,,US,,,,,
,visa,,,ORLANDO,FL,,US,,,,,
,visa,,,ORLANDO,FL,,US,,,,,
,visa,,,ORLANDO,FL,,US,,,,,
,visa,,,ORLANDO,FL,,US,,,,,
,visa,,,ORLANDO,FL,,US,,,,,
,visa,,,ORLANDO,FL,,US,,,,,
,visa,,,ORLANDO,FL,,US,,,,,
,visa,,,ORLANDO,FL,,US,,,,,
,visa,,,WINTER GARDEN,FL,,US,,,,,
https://www.walgreens.com/locator/walgreens-16900+e+colonial+dr-orlando-fl-32820/id=7694,walgreens,Walgreens,,Orlando,FL,,US,+1 407-568-4199,https://www.walgreens.com/locator/walgreens-16900+e+colonial+dr-orlando-fl-32820/id=7694,Mo-Su 07:00-23:00,Walgreens,Q1591889
