Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
207492,bluerhino,Lake Seminole Outdoors - UNFI #801002,,Donalsonville,GA,,US,+1 229-861-3206,,,Blue Rhino,Q65681213
164788,bluerhino,Family Dollar #00930,,Donalsonville,GA,,US,+1 229-495-6110,,,Blue Rhino,Q65681213
220429,bluerhino,Dollar General #24094,,DONALSONVILLE,GA,,US,+1 229-448-4073,,,Blue Rhino,Q65681213
86235,citi,ATM Walgreens,,Donalsonville,GA,,US,,,,Citibank,Q857063
24094,dollar_general,Dollar General,,Donalsonville,GA,,US,+1 229-524-6635,https://www.dollargeneral.com/store-directory/ga/donalsonville/24094,Mo-Su 08:00-22:00,Dollar General,Q145168
https://local.fedex.com/#25197355,fedex,,,Donalsonville,GA,,US,+1 800-463-3339,https://local.fedex.com/en-us/ga/donalsonville/tlhlb,,FedEx,Q459477
Motorcraft963USAEnglish,ford,Donalsonville Motor Co Inc,,Georgia,GA,,US,+1 229-524-2247,,,Ford,Q44294
1503241,hardees_us,Hardee's,,Donalsonville,GA,,US,+1 229-524-8764,https://locations.hardees.com/ga/donalsonville/310-e-3rd-st,,Hardee's,Q1585088
11158,h_r_block,H&R Block,,Donalsonville,GA,,US,+1 229-524-8333,https://www.hrblock.com/local-tax-offices/georgia/donalsonville/1131-e-3rd-st/11158/,,H&R Block,Q5627799
160028,marathon_petroleum_us,Quick Buy,,Donalsonville,GA,,US,+1 229-524-5297,,,Marathon,Q458363
158409,marathon_petroleum_us,FAST TRIP 2,,Donalsonville,GA,,US,+1 229-524-8197,,,Marathon,Q458363
https://locations.oreillyauto.com/ga/donalsonville/wiper-installation-1977.html,oreilly,Your Donalsonville O'Reilly Auto Parts Store,,Donalsonville,GA,,US,+1 229-524-5035,https://locations.oreillyauto.com/ga/donalsonville/wiper-installation-1977.html,Mo-Sa 07:00-20:00; Su 09:00-18:00,O'Reilly Auto Parts,Q7071951
https://locations.oreillyauto.com/ga/donalsonville/battery-testing-1977.html,oreilly,Your Donalsonville O'Reilly Auto Parts Store,,Donalsonville,GA,,US,+1 229-524-5035,https://locations.oreillyauto.com/ga/donalsonville/battery-testing-1977.html,Mo-Sa 07:00-20:00; Su 09:00-18:00,O'Reilly Auto Parts,Q7071951
https://locations.oreillyauto.com/ga/donalsonville/check-engine-light-testing-1977.html,oreilly,Your Donalsonville O'Reilly Auto Parts Store,,Donalsonville,GA,,US,+1 229-524-5035,https://locations.oreillyauto.com/ga/donalsonville/check-engine-light-testing-1977.html,Mo-Sa 07:00-20:00; Su 09:00-18:00,O'Reilly Auto Parts,Q7071951
https://locations.oreillyauto.com/ga/donalsonville/autopartes-1977.html,oreilly,Tu tienda O'Reilly Auto Parts en Donalsonville,,Donalsonville,GA,,US,+1 229-524-5035,https://locations.oreillyauto.com/ga/donalsonville/autopartes-1977.html,Mo-Sa 07:00-20:00; Su 09:00-18:00,O'Reilly Auto Parts,Q7071951
154,piggly_wiggly_us,Piggly Wiggly,,Donalsonville,GA,,US,+1 229-524-1177,,,Piggly Wiggly,Q3388303
ga_donalsonville_403-w-3rd-st,pizza_hut_us,403 W 3rd St,,Donalsonville,GA,,US,+1 229-524-5477,https://locations.pizzahut.com/ga/donalsonville/403-w-3rd-st,,Pizza Hut,Q191615
stones-donalsonville-26480,ppgpaints,STONES DONALSONVILLE,,"Donalsonville, ",GA,,US,+1 229-524-2221,https://www.ppgpaints.com/store-locator/us/georgia/donalsonville-paint-stores/stones-donalsonville-26480,,PPG Paints,Q83891559
1151,roadys_us,Super B Express,,Donalsonville,GA,,US,+1 229-524-6073,,24/7,Roady’s Truck Stops,Q7339701
https://restaurants.subway.com/#14896835,subway,Subway,,Donalsonville Seminole,GA,,US,+1 229-524-2151,https://restaurants.subway.com/united-states/ga/donalsonville/301-e-3rd-street,Mo-Sa 08:00-22:00; Su 09:00-21:30,Subway,Q244457
0614793800,sunoco_us,Sunoco,,DONALSONVILLE,GA,,US,+1 229-524-6073,,,Sunoco,Q1423218
1361018,usps,DONALSONVILLE,,DONALSONVILLE,GA,,US,+1 229-524-8961,,Mo-Fr 08:30-16:30; Sa 10:00-12:00,United States Postal Service,Q668687
