Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://stores.advanceautoparts.com/ia/davenport/120-e-53rd-st,advance_auto_parts_us,Advance Auto Parts,,Davenport,IA,,US,+1 563-514-4067,https://stores.advanceautoparts.com/ia/davenport/120-e-53rd-st,Mo-Sa 07:30-21:00; Su 09:00-20:00,Advance Auto Parts,Q4686051
https://stores.aldi.us/#1018717333,aldi_sud_us,ALDI  3643 W. Kimberly Rd.,,Davenport,IA,,US,+1 855-955-2534,https://stores.aldi.us/ia/davenport/3643-w-kimberly-rd,"Mo-Su 08:30-20:00,09:00-20:00",ALDI,Q41171672
https://storelocations.ae.com/#1725849,american_eagle_outfitters,American Eagle Store Northpark Mall,,Davenport,IA,,US,+1 563-386-0770,https://storelocations.ae.com/us/ia/davenport/320-w-kimberly-road.html,Mo-Sa 10:00-20:00; Su 12:00-18:00,American Eagle Store,Q2842931
/locations/propane-offices/iowa/davenport/7221-gaines-street-ct,amerigas,"AmerGas Propane | Davenport, Iowa",,Davenport,IA,,US,+1 800-288-7468,/locations/propane-offices/iowa/davenport/7221-gaines-street-ct,,AmeriGas,Q23130318
977,anytime_fitness,Anytime Fitness,,Davenport,IA,,US,+1 563-445-2222,https://www.anytimefitness.com/gyms/977/davenport-ia-52806/,,Anytime Fitness,Q4778364
https://locations.arbys.com/ia/davenport/3410-brady-st.html,arbys_us,"Arby's Fast-Food Drive Through Near You in Davenport, IA",,Davenport,IA,,US,+1 563-391-9106,https://locations.arbys.com/ia/davenport/3410-brady-st.html,Mo-Su 10:00-22:00,Arby's,Q630866
50977,asics_us,Tradehome Shoes ,320 W Kimberly Rd,Davenport,IA,,US,+1 563-391-5002,,Mo-Sa 10:00-20:00; Su 12:00-18:00,asics,Q327247
15963,asics_us,Hibbett Sports,320 W Kimberly Rd,Davenport,IA,,US,+1 563-388-5116,,,asics,Q327247
23166,asics_us,Finish Line,320 W Kimberly Rd,Davenport,IA,,US,+1 563-391-9229,,,asics,Q327247
1913,autozone_us,AutoZone Auto Parts Davenport,,Davenport,IA,,US,+1 563-391-6007,https://www.autozone.com/locations/ia/davenport/105-e-53rd-st.html,Mo-Sa 07:30-21:00; Su 09:00-21:00,AutoZone,Q4826087
https://www.avis.com/en/locations/us/ia/davenport/avkw1,avis,Avis U S A Davenport,,Davenport,IA,,US,+1 563-214-8006,https://www.avis.com/en/locations/us/ia/davenport/avkw1,Mo-Fr 08:00-18:00; Sa 08:00-13:00; Su 10:00-14:00,Avis,Q791136
https://awrestaurants.com/locations/iowa/davenport/3702-brady-st/,awrestaurants,A&W Restaurant,,Davenport,IA,,US,+1 563-386-3262,https://awrestaurants.com/locations/iowa/davenport/3702-brady-st/,Mo-Th 10:00-22:00; Fr-Sa 10:00-23:00; Su 10:00-22:00,A&W Restaurants,Q277641
BBW00282,bathandbodyworks_us,NORTHPARK MALL,,DAVENPORT,IA,,US,+1 563-388-8078,,Mo-Sa 10:00-20:00; Su 12:00-18:00,Bath & Body Works,Q810773
https://local.biglots.com/#13191040,biglots,Big Lots - Davenport,,Davenport,IA,,US,+1 563-445-1115,https://local.biglots.com/ia/davenport/3562-n-brady-st,Mo-Sa 09:00-21:00; Su 10:00-19:00,Big Lots,Q4905973
146069,bluerhino,Davenport Farm and Fleet #26,,Davenport,IA,,US,+1 563-391-4847,,,Blue Rhino,Q65681213
209677,bluerhino,Speedway #4221,,Davenport,IA,,US,+1 563-386-8127,,,Blue Rhino,Q65681213
132846,bluerhino,Love's #476,,Davenport,IA,,US,+1 563-386-3466,,,Blue Rhino,Q65681213
202406,bluerhino,CASEY'S GENERAL STORE #2092,,DAVENPORT,IA,,US,+1 563-391-1068,,,Blue Rhino,Q65681213
195571,bluerhino,Ram II LLC DBA GD Xpress,,Davenport,IA,,US,+1 563-386-1477,,,Blue Rhino,Q65681213
202411,bluerhino,CASEY'S GENERAL STORE #2168,,DAVENPORT,IA,,US,+1 563-386-3576,,,Blue Rhino,Q65681213
