Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
200326977,exxonmobil,EVERGREEN 66,,VICTOR,ID,,US,+1 208-787-2973,https://www.exxon.com/en/find-station/mobil-victor-id-evergreen66-200326977,Mo-Sa 06:00-22:00; Su 07:00-21:30,Mobil,Q109676002
112514,little_free_library,Brookside Hollow’s Little Free Library #112514 Victor ID,,Victor,ID,,US,,,,Little Free Library,Q6650101
74495,little_free_library,Friends of Teton Springs #74495 Victor ID,,Victor,ID,,US,,,,Little Free Library,Q6650101
1385928,usps,VICTOR,,VICTOR,ID,,US,+1 208-787-2232,,Mo-Fr 08:00-16:00; Sa 10:00-12:00,United States Postal Service,Q668687
8345500002,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,92 S MAIN ST,VICTOR,ID,,US,,,,United States Postal Service,Q668687
8345500000,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,92 S MAIN ST,VICTOR,ID,,US,,,,United States Postal Service,Q668687
8345500001,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,92 S MAIN ST,VICTOR,ID,,US,,,,United States Postal Service,Q668687
,visa,,,VICTOR,ID,,US,,,,,
,visa,,,VICTOR,ID,,US,,,,,
,visa,,,VICTOR,ID,,US,,,,,
,visa,,,VICTOR,ID,,US,,,,,
,visa,,,VICTOR,ID,,US,,,,,
