Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://local.pharmacy.jewelosco.com/#5672840,albertsons,Jewel-Osco Pharmacy,,Plainfield,IL,,US,+1 815-577-2613,https://local.pharmacy.jewelosco.com/il/plainfield/13460-s-rt-59.html,Mo-Fr 08:00-21:00; Sa-Su 09:00-17:00,Jewel-Osco,Q3178470
https://local.jewelosco.com/#5603633,albertsons,Jewel-Osco,,Plainfield,IL,,US,+1 815-577-2605,https://local.jewelosco.com/il/plainfield/13460-s-rt-59.html,"Mo-Fr 06:00-24:00,08:00-21:00; Sa-Su 06:00-24:00,09:00-17:00",Jewel-Osco,Q3178470
172635,asics_us,DNA Active Lifestyle Outfitters,24210 W Lockport St,Plainfield,IL,,US,+1 815-588-0908,,,asics,Q327247
3181,autozone_us,AutoZone Auto Parts Plainfield,,Plainfield,IL,,US,+1 815-609-2318,https://www.autozone.com/locations/il/plainfield/13321-s-route-59.html,Mo-Sa 07:30-21:00; Su 08:00-20:00,AutoZone,Q4826087
https://locators.bankofamerica.com/il/plainfield/financial-centers-plainfield-15700.html,bankofamerica,Bank of America Financial Center & Drive-Thru ATM | Plainfield,,Plainfield,IL,,US,+1 815-230-2509,https://locators.bankofamerica.com/il/plainfield/financial-centers-plainfield-15700.html,Mo-Fr 10:00-16:00,Bank of America,Q487907
12986962,barre3,North Plainfield,"11959 Normantown Rd, Plainfield, Illinois, 60585",Plainfield,IL,,US,+1 815-782-8623,https://barre3.com/studio-locations/northplainfield,,Barre3,Q120601241
240819,bluerhino,Circle K #4706733,,Plainfield,IL,,US,+1 815-436-0031,,,Blue Rhino,Q65681213
240818,bluerhino,Circle K #4706825,,Plainfield,IL,,US,+1 815-254-0527,,,Blue Rhino,Q65681213
il_plainfield_12720-s-route-59,chipotle, ,,Plainfield,IL,,US,+1 815-733-2159,https://locations.chipotle.com/il/plainfield/12720-s-route-59,,Chipotle,Q465751
40435,citi,ATM Circle K,,Plainfield,IL,,US,,,,Citibank,Q857063
,credit_union_us,NuMark CU,,Plainfield,IL,,US,+1 815-729-3211,,Mo-Tu 08:30-05:00; We 10:00-05:00; Th 08:30-05:00; Fr 08:30-05:30; Sa 08:30-12:30,,
274,culvers_us,"Culver's of Plainfield, IL - IL Rte 59",,Plainfield,IL,,US,+1 815-439-4442,http://www.culvers.com/restaurants/plainfield-il,Mo-Fr 10:00-22:00; Su 10:00-22:00,Culver's,Q1143589
356802,dunkin_us,Dunkin',,Plainfield,IL,,US,+1 815-267-6975,https://locations.dunkindonuts.com/en/il/plainfield/11904-s-state-route-59/356802,Mo-Su 04:30-18:30,Dunkin',Q847743
E115DP,enterprise,Plainfield S. Route 59,,Plainfield,IL,,US,+1 815-230-3555,,,Enterprise Rent-A-Car,Q17085454
1013,european_wax_center_us,European Wax Center,,Plainfield,IL,,US,+1 630-526-4160,https://locations.waxcenter.com/il/plainfield/plainfield-route-59-1013.html,Mo-Fr 09:00-20:00; Sa 09:00-16:00; Su 09:00-15:00,European Wax Center,Q5413426
303777,firestone_auto_care,Firestone Complete Auto Care,,Plainfield,IL,,US,+1 815-676-0855,https://local.firestonecompleteautocare.com/illinois/plainfield/11902-il-59/,,Firestone,Q420837
https://locations.fivebelow.com/il/plainfield/12736-il-59,five_below,Five Below Kensington Center,,Plainfield,IL,,US,,https://locations.fivebelow.com/il/plainfield/12736-il-59,Mo-Sa 10:00-20:00; Su 11:00-18:00,Five Below,Q5455836
https://salons.greatclips.com/us/il/plainfield/13511-s-route-59,greatclips,Great Clips,,Plainfield,IL,,US,+1 815-609-8177,https://salons.greatclips.com/us/il/plainfield/13511-s-route-59,Mo-Fr 09:00-20:00; Sa 09:00-18:00; Su 10:00-17:00,Great Clips,Q5598967
https://locations.jimmyjohns.com/il/plainfield/sandwiches-630.html,jimmy_johns,Jimmy John's,,Plainfield,IL,,US,+1 815-436-8002,https://locations.jimmyjohns.com/il/plainfield/sandwiches-630.html,,Jimmy John's,Q1689380
571,kohls_us,Kohl's,,Plainfield,IL,,US,+1 815-609-1172,https://www.kohls.com/stores/il/plainfield-571.shtml,Mo-Sa 09:00-21:00; Su 09:00-20:00,Kohl's,Q967265
https://locations.massageenvy.com/#1773508,massage_envy,Massage Envy Plainfield-IL,,Plainfield Plainfield,IL,,US,+1 815-609-9999,https://locations.massageenvy.com/illinois/plainfield/13400-s-route-59.html,Mo-Fr 08:00-20:00; Sa-Su 08:00-18:00,Massage Envy,Q10327170
3182,menards,PLAINFIELD,"13441 S ROUTE 59, PLAINFIELD, IL 60585",PLAINFIELD,IL,,US,,https://www.menards.com/main/storeDetails.html?store=3182,,Menards,Q1639897
137033,potbelly_sandwich,Plainfield - Drive Thru,,Plainfield,IL,,US,+1 815-556-3375,,Mo-Su 10:00-22:00,Potbelly Sandwich Shop,Q7234777
https://locations.tccrocks.com/il/plainfield/12632-s-route-59.html,tcc_us,TCC Plainfield,,Plainfield,IL,,US,+1 815-834-8000,https://locations.tccrocks.com/il/plainfield/12632-s-route-59.html,Mo-Sa 10:00-20:00; Su 11:00-17:00,Verizon,Q919641
1916,tmobile_us,Route 59 & 127th,,Plainfield,IL,,US,+1 815-733-5326,https://www.t-mobile.com/store-locator/il/plainfield/route-59-127th,,T-Mobile,Q3511885
100081,two_men_and_truck,Plainfield,12002 S Spaulding School Dr,Plainfield,IL,,US,+1 815-609-6200,https://twomenandatruck.com/movers/il/chicago/plainfield,,Two Men and a Truck,Q7859087
6058500002,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,13460 S ROUTE 59,PLAINFIELD,IL,,US,,,,United States Postal Service,Q668687
6058500001,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,12251 S ROUTE 59,PLAINFIELD,IL,,US,,,,United States Postal Service,Q668687
,visa,,,NAPERVILLE,IL,,US,,,,,
,visa,,,PLAINFIELD,IL,,US,,,,,
,visa,,,PLAINFIELD,IL,,US,,,,,
,visa,,,PLAINFIELD,IL,,US,,,,,
,visa,,,PLAINFIELD,IL,,US,,,,,
,visa,,,PLAINFIELD,IL,,US,,,,,
,visa,,,PLAINFIELD,IL,,US,,,,,
,visa,,,PLAINFIELD,IL,,US,,,,,
,visa,,,PLAINFIELD,IL,,US,,,,,
,visa,,,PLAINFIELD,IL,,US,,,,,
https://locations.wendys.com/#9254975,wendys,"Wendy's 13407 S. Rt. 59 in Plainfield, IL",,Plainfield,IL,,US,+1 815-439-1269,https://locations.wendys.com/united-states/il/plainfield/13407-s-rt-59,"Mo-Su 06:30-10:30,09:00-22:00",Wendy's,Q550258
186484,wingstop,Wingstop Plainfield Illinois Rt 59,"12640 Illinois Route 59, Suite 106",Plainfield,IL,,US,+1 815-709-4555,,,Wingstop,Q8025339
