Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://stores.advanceautoparts.com/in/kendallville/801-e-north-st,advance_auto_parts_us,Advance Auto Parts,,Kendallville,IN,,US,+1 260-347-3210,https://stores.advanceautoparts.com/in/kendallville/801-e-north-st,Mo-Sa 07:30-21:00; Su 09:00-20:00,Advance Auto Parts,Q4686051
/locations/propane-offices/indiana/kendallville/5695-east-us-hwy-6-w,amerigas,"AmerGas Propane | Kendallville, Indiana",,Kendallville,IN,,US,+1 260-347-2266,/locations/propane-offices/indiana/kendallville/5695-east-us-hwy-6-w,,AmeriGas,Q23130318
218263,bluerhino,Dollar General #23144,,KENDALLVILLE,IN,,US,+1 260-318-9015,,,Blue Rhino,Q65681213
239746,bluerhino,Circle K #4702455,,Kendallville,IN,,US,+1 260-349-9060,,,Blue Rhino,Q65681213
203276,bluerhino,CASEY'S GENERAL STORE #3558,,KENDALLVILLE,IN,,US,+1 260-349-9160,,,Blue Rhino,Q65681213
143866,bluerhino,Kroger #418 - Central - Fuel Site,,Kendallville,IN,,US,+1 260-347-9155,,,Blue Rhino,Q65681213
98938,bluerhino,Kroger #418 - Central,,Kendallville,IN,,US,+1 260-347-9155,,,Blue Rhino,Q65681213
179040,bluerhino,Kendallville Do It Center #6296,,Kendallville,IN,,US,+1 260-347-1483,,,Blue Rhino,Q65681213
155303,bluerhino,Walgreens #11494,,Kendallville,IN,,US,+1 260-349-1530,,,Blue Rhino,Q65681213
131923,bluerhino,Speedway #8060,,Kendallville,IN,,US,+1 260-347-7842,,,Blue Rhino,Q65681213
94464,bluerhino,Rural King Supply #33,,Kendallville,IN,,US,+1 260-599-0240,,,Blue Rhino,Q65681213
66457029516204675500100000000000,bp,BP,,Kendallville,IN,,US,+1 260-349-1900,,Mo-Su 05:00-22:00,BP,Q152057
94975005861114675500100000000000,bp,BP,,Kendallville,IN,,US,+1 260-347-4694,,24/7,BP,Q152057
2038786,chase_us,Kendallville - New branch,,Kendallville,IN,,US,+1 260-347-0800,https://locator.chase.com/in/kendallville/831-n-lima-rd,Mo-Fr 09:00-17:00; Sa 09:00-13:00,Chase,Q524629
41939,citi,ATM Circle K,,Kendalville,IN,,US,,,,Citibank,Q857063
83784,citi,ATM THREE RIVERS FEDERAL CREDIT UNION,,Kendallville,IN,,US,,,,Citibank,Q857063
45467,citi,ATM COMMUNITY STATE BANK,,Kendallville,IN,,US,,,,Citibank,Q857063
59724,citi,ATM HORIZON BANK,,Kendallville,IN,,US,,,,Citibank,Q857063
61296,citi,ATM Kroger,,Kendallville,IN,,US,,,,Citibank,Q857063
49218,citi,ATM CVS,,Kendallville,IN,,US,,,,Citibank,Q857063
87167,citi,ATM Walgreens,,Kendallville,IN,,US,,,,Citibank,Q857063
71505,citi,ATM ProFed Kendallville Branch,,Kendallville,IN,,US,,,,Citibank,Q857063
78757,citi,ATM Speedway,,Kendallville,IN,,US,,,,Citibank,Q857063
80335,citi,ATM SPEEDWAY #8060,,Kendallville,IN,,US,,,,Citibank,Q857063
kendallville/3202,claires,Shop Ear Piercings & Jewelry at Claires Walmart Kendallville,,KENDALLVILLE,IN,,US,+1 260-349-9210,https://stores.claires.com/us/in/kendallville/3202.html,Mo-Su 12:00-20:00,Claire's,Q2974996
,credit_union_us,3Rivers FCU,,Kendallville,IN,,US,+1 260-490-8328,,Mo-Fr 09:00-06:00; Sa 09:00-01:00,,
70202162,cricket_wireless,Cricket Wireless Authorized Retailer,,Kendallville,IN,,US,+1 260-599-4082,https://www.cricketwireless.com/stores/ll/US/IN/Kendallville/360-W-North-St,Mo-Sa 10:00-19:00; Su 12:00-17:00,Cricket Wireless,Q5184987
