Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
192130,bluerhino,Jump Start #2,,Halstead,KS,,US,+1 316-835-3136,,,Blue Rhino,Q65681213
82383,little_free_library,Windy Pages #82383 Halstead KS,,Halstead,KS,,US,,,,Little Free Library,Q6650101
89411,little_free_library,Crystal's Library #89411 Halstead KS,,Halstead,KS,,US,,,,Little Free Library,Q6650101
https://restaurants.subway.com/#14902480,subway,Subway,,Halstead Harvey,KS,,US,+1 316-835-3500,https://restaurants.subway.com/united-states/ks/halstead/101-main-st,Mo-Su 08:00-21:00,Subway,Q244457
1366010,usps,HALSTEAD,,HALSTEAD,KS,,US,+1 316-835-2391,,"Mo-Fr 08:30-13:00,14:00-16:30; Sa 09:00-11:00",United States Postal Service,Q668687
6705600001,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,319 MAIN ST,HALSTEAD,KS,,US,,,,United States Postal Service,Q668687
6705600006,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,319 MAIN ST,HALSTEAD,KS,,US,,,,United States Postal Service,Q668687
6705600005,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,319 MAIN ST,HALSTEAD,KS,,US,,,,United States Postal Service,Q668687
,visa,,,HALSTEAD,KS,,US,,,,,
,visa,,,HALSTEAD,KS,,US,,,,,
