Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
16049,asics_us,John's Run/Walk Shop,317 S Ashland Ave,Lexington,KY,,US,+1 859-269-8313,,Mo-Fr 10:00-19:00; Sa 10:00-18:00; Su 11:00-17:00,asics,Q327247
https://www.banfield.com/locations/veterinarians/ky/lexington/lvc,banfield_pet_hospital,Lansdowne,,Lexington,KY,,US,+1 859-266-3215,https://www.banfield.com/locations/veterinarians/ky/lexington/lvc,Mo-Fr 07:00-18:00; Sa 07:00-17:00; Su 08:00-14:00,Banfield Pet Hospital,Q2882416
https://locations.baskinrobbins.com/ky/lexington/3383-tates-creek-pke-360540-br,baskin_robbins_us,Baskin-Robbins™,,Lexington,KY,,US,+1 859-269-0031,https://locations.baskinrobbins.com/ky/lexington/3383-tates-creek-pke-360540-br,Mo-Su 11:00-22:00,Baskin-Robbins,Q584601
131430,bluerhino,Kroger #347 - Louisville,,Lexington,KY,,US,+1 859-273-1100,,,Blue Rhino,Q65681213
33453,bluerhino,Speedway #9398,,Lexington,KY,,US,+1 859-268-4104,,,Blue Rhino,Q65681213
14189,bluerhino,Speedway #9334,,Lexington,KY,,US,+1 859-269-3885,,,Blue Rhino,Q65681213
14191,bluerhino,Speedway #9512,,Lexington,KY,,US,+1 859-266-6390,,,Blue Rhino,Q65681213
145555,bluerhino,Kroger #784 - Louisville,,Lexington,KY,,US,+1 859-687-3260,,,Blue Rhino,Q65681213
215158,bluerhino,Chevy Chase Hardware - #23136,,Lexington,KY,,US,+1 859-269-9611,,,Blue Rhino,Q65681213
86151,bluerhino,Kroger #737 - Louisville,,Lexington,KY,,US,+1 859-335-4706,,,Blue Rhino,Q65681213
151350,bluerhino,Walgreens #10776,,Lexington,KY,,US,+1 859-269-8832,,,Blue Rhino,Q65681213
131361,bluerhino,Richmond Rd BP,,Lexington,KY,,US,+1 859-269-1702,,,Blue Rhino,Q65681213
240707,bluerhino,Casey's General Store #4447,,Lexington,KY,,US,+1 859-266-3662,,,Blue Rhino,Q65681213
40695679802214050200100000961334,bp,BP,,Lexington,KY,,US,+1 859-269-1702,,24/7,BP,Q152057
2042851,chase_us,Chevy Chase - New branch,,Lexington,KY,,US,+1 859-231-2565,https://locator.chase.com/ky/lexington/727-e-euclid-ave,Mo-Fr 09:00-17:00; Sa 09:00-12:00,Chase,Q524629
2042853,chase_us,Lansdowne - New branch,,Lexington,KY,,US,+1 859-231-2575,https://locator.chase.com/ky/lexington/3368-tates-creek-rd,Mo-Fr 09:00-17:00,Chase,Q524629
60925,citi,ATM Kroger,,Lexington,KY,,US,,,,Citibank,Q857063
78003,citi,ATM Speedway,,Lexington,KY,,US,,,,Citibank,Q857063
80123,citi,ATM SPEEDWAY # 9398,,Lexington,KY,,US,,,,Citibank,Q857063
89034,citi,ATM Walgreens,,Lexington,KY,,US,,,,Citibank,Q857063
57268,citi,ATM FORCHT BANK 04,,Lexington,KY,,US,,,,Citibank,Q857063
90295,citi,ATM Walgreens,,Lexington,KY,,US,,,,Citibank,Q857063
80375,citi,ATM SPEEDWAY #9334,,Lexington,KY,,US,,,,Citibank,Q857063
77777,citi,ATM Speedway,,Lexington,KY,,US,,,,Citibank,Q857063
93257,citi,ATM Walgreens,,Lexington,KY,,US,,,,Citibank,Q857063
61567,citi,ATM Kroger,,Lexington,KY,,US,,,,Citibank,Q857063
72397,citi,ATM REPUBLIC BANK & TRUST CO,,Lexington,KY,,US,,,,Citibank,Q857063
72396,citi,ATM REPUBLIC BANK & TRUST CO,,Lexington,KY,,US,,,,Citibank,Q857063
72468,citi,ATM REPUBLIC BANK & TRUST COMPANY,,Lexington,KY,,US,,,,Citibank,Q857063
72398,citi,ATM REPUBLIC BANK & TRUST CO,,Lexington,KY,,US,,,,Citibank,Q857063
78530,citi,ATM Speedway,,Lexington,KY,,US,,,,Citibank,Q857063
80124,citi,ATM SPEEDWAY # 9512,,Lexington,KY,,US,,,,Citibank,Q857063
1408,dominos_pizza_us,Domino's Pizza,,Lexington,KY,,US,+1 859-269-3030,https://pizza.dominos.com/kentucky/lexington/801-euclid-avenue,Mo-Th 09:30-24:00; Fr-Sa 09:30-01:00; Su 10:00-24:00,Domino's,Q839466
https://www.edwardjones.com/us-en/financial-advisor/audrey-back,edwardjones,Audrey Back,,Lexington,KY,,US,+1 859-269-2203,https://www.edwardjones.com/us-en/financial-advisor/audrey-back,Mo-Fr 09:00-16:30,Edward Jones,Q5343830
https://locations.53.com/#3033926,fifththirdbank,Fifth Third Bank Chevy Chase,,Lexington,KY,,US,+1 859-335-0703,https://locations.53.com/ky/lexington/550-euclid-avenue.html,Mo-Th 09:00-17:00; Fr 09:00-18:00; Sa 09:00-12:00,Fifth Third Bank,Q1411810
https://salons.greatclips.com/us/ky/lexington/846-e-high-st,greatclips,Great Clips,,Lexington,KY,,US,+1 859-335-8500,https://salons.greatclips.com/us/ky/lexington/846-e-high-st,Mo-Fr 09:00-19:00; Sa 09:00-18:00; Su 11:00-17:30,Great Clips,Q5598967
https://locations.jimmyjohns.com/ky/lexington/sandwiches-2110.html,jimmy_johns,Jimmy John's,,Lexington,KY,,US,+1 859-367-0228,https://locations.jimmyjohns.com/ky/lexington/sandwiches-2110.html,,Jimmy John's,Q1689380
155897,marathon_petroleum_us,JT 7665,,LEXINGTON,KY,,US,+1 859-269-8400,,,Marathon,Q458363
836-euclid-avenue,mcalisters_deli,McAlister's Deli Chevy Chase Plaza ,,Lexington,KY,,US,+1 859-368-9880,https://locations.mcalistersdeli.com/ky/lexington/836-euclid-avenue,Mo-Su 10:00-21:00,McAlister's Deli,Q17020829
1756,orangetheory_fitness,"Lexington, KY",,Lexington,KY,,US,+1 859-898-1077,,,Orangetheory Fitness,Q25005163
112843,pandaexpress,"Richmond Rd, Lexington",,Lexington,KY,,US,+1 859-268-0009,https://www.pandaexpress.com/locations/ky/lexington/2399-richmond-road,Mo-Th 10:00-22:00; Fr-Sa 10:00-22:30; Su 10:00-22:00,Panda Express,Q1358690
home-depot-2303-13634,ppgpaints,HOME DEPOT 2303,,"Lexington, ",KY,,US,+1 859-269-4774,https://www.ppgpaints.com/store-locator/us/kentucky/lexington-paint-stores/home-depot-2303-13634,,PPG Paints,Q83891559
578,pure_barre_us,Lexington,,Lexington,KY,,US,+1 859-335-2391,https://www.purebarre.com/location/lexington-ky,,Pure Barre,Q86707084
4312483410195881224,skyline_chili,Skyline Chili,1540 University Dr.,Lexington,KY,,US,,https://locations.skylinechili.com/skyline-chili-8ae02d1c1e25,,Skyline Chili,Q151224
23136,true_value_us,Chevy Chase Hardware,,Lexington,KY,,US,+1 859-269-9611,https://truevalue.com,,True Value,Q7847545
1366748,usps,HENRY CLAY,,LEXINGTON,KY,,US,+1 859-266-9521,,"Mo-Fr 09:00-12:30,13:30-16:30",United States Postal Service,Q668687
4050200005,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,1050A CHINOE RD,LEXINGTON,KY,,US,,,,United States Postal Service,Q668687
4050200035,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,2051 RICHMOND RD,LEXINGTON,KY,,US,,,,United States Postal Service,Q668687
4050200011,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,1055 DOVE RUN RD,LEXINGTON,KY,,US,,,,United States Postal Service,Q668687
4050200038,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,3347 TATES CREEK RD,LEXINGTON,KY,,US,,,,United States Postal Service,Q668687
4050200060,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,365 DUKE RD STE A,LEXINGTON,KY,,US,,,,United States Postal Service,Q668687
4050200040,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,365 DUKE RD,LEXINGTON,KY,,US,,,,United States Postal Service,Q668687
4050200009,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,801 E EUCLID AVE,LEXINGTON,KY,,US,,,,United States Postal Service,Q668687
4050200052,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,701 E MAIN ST,LEXINGTON,KY,,US,,,,United States Postal Service,Q668687
4050200033,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,120 KENTUCKY AVE,LEXINGTON,KY,,US,,,,United States Postal Service,Q668687
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
,visa,,,LEXINGTON,KY,,US,,,,,
https://www.walgreens.com/locator/walgreens-3349+tates+creek+rd-lexington-ky-40502/id=18111,walgreens,Walgreens,,Lexington,KY,,US,+1 859-266-0413,https://www.walgreens.com/locator/walgreens-3349+tates+creek+rd-lexington-ky-40502/id=18111,Mo-Sa 08:00-21:00; Su 09:00-21:00,Walgreens,Q1591889
https://www.walgreens.com/locator/walgreens-878+e+high+st-lexington-ky-40502/id=17163,walgreens,Walgreens,,Lexington,KY,,US,+1 859-266-1171,https://www.walgreens.com/locator/walgreens-878+e+high+st-lexington-ky-40502/id=17163,Mo-Su 09:00-21:00,Walgreens,Q1591889
https://www.walgreens.com/locator/walgreens-2209+richmond+rd-lexington-ky-40502/id=10776,walgreens,Walgreens,,Lexington,KY,,US,+1 859-269-8832,https://www.walgreens.com/locator/walgreens-2209+richmond+rd-lexington-ky-40502/id=10776,Mo-Su 06:00-24:00,Walgreens,Q1591889
b8361515d3b7f9d0da4c40eaf5e9a75d,western_union,WALGREENS #18111,,Lexington,KY,,US,+1 859-266-0413,https://location.westernunion.com/us/ky/lexington/b8361515d3b7f9d0da4c40eaf5e9a75d,Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su 08:00-19:00,Western Union,Q861042
