Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
Motorcraft4062USAEnglish,ford,Central Automotive Warehouse,,Massachusetts,MA,,US,+1 617-254-0414,,,Ford,Q44294
Motorcraft4063USAEnglish,ford,Jack Young Company,,Massachusetts,MA,,US,+1 617-782-1250,,,Ford,Q44294
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,BOSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,BOSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,BOSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
,visa,,,ALLSTON,MA,,US,,,,,
