Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://stores.advanceautoparts.com/md/baltimore/166-carroll-island-rd,advance_auto_parts_us,Advance Auto Parts,,Baltimore,MD,,US,+1 410-335-2888,https://stores.advanceautoparts.com/md/baltimore/166-carroll-island-rd,Mo-Sa 07:30-21:00; Su 09:00-20:00,Advance Auto Parts,Q4686051
https://stores.advanceautoparts.com/md/middle-river/9523-pulaski-hwy,advance_auto_parts_us,Advance Auto Parts,,Middle River,MD,,US,+1 410-335-3679,https://stores.advanceautoparts.com/md/middle-river/9523-pulaski-hwy,Mo-Sa 07:30-21:00; Su 09:00-20:00,Advance Auto Parts,Q4686051
6320ae73-e11d-e611-80c5-005056aa8521,amf_bowling,AMF Country Club Lanes,,Baltimore,MD,,US,+1 410-686-2556,https://www.amf.com/location/amf-country-club-lanes,,AMF Bowling Center,Q4652616
https://stores.ashleyfurniture.com/store/us/maryland/middle-river/9000883373/,ashley_furniture,"Ashley Outlet Middle River, MD",,Middle River,MD,,US,+1 240-901-8543,https://stores.ashleyfurniture.com/store/us/maryland/middle-river/9000883373/,,Ashley Furniture,Q4805437
26054,asics_us,Holabird Sports,9220 Pulaski Hwy,Baltimore,MD,,US,+1 866-860-1416,,Mo-Fr 09:30-16:30; Sa 09:00-15:00,asics,Q327247
1872,autozone_us,AutoZone Auto Parts Middle River,,Middle River,MD,,US,+1 410-574-8200,https://www.autozone.com/locations/md/middle-river/300-middle-river-rd.html,Mo-Sa 07:30-21:00; Su 08:30-20:00,AutoZone,Q4826087
https://www.banfield.com/locations/veterinarians/md/baltimore/bal,banfield_pet_hospital,White Marsh,,Baltimore,MD,,US,+1 410-682-5799,https://www.banfield.com/locations/veterinarians/md/baltimore/bal,Mo-Fr 08:00-18:00; Sa 08:00-17:00; Su 10:00-17:00,Banfield Pet Hospital,Q2882416
https://locators.bankofamerica.com/md/baltimore/financial-centers-baltimore-11378.html,bankofamerica,Bank of America Financial Center & Drive-Thru ATM | Middle River,,Baltimore,MD,,US,+1 410-686-7130,https://locators.bankofamerica.com/md/baltimore/financial-centers-baltimore-11378.html,Mo-Fr 10:00-16:00; Sa 10:00-14:00,Bank of America,Q487907
https://local.biglots.com/#13190827,biglots,Big Lots - Middle River,,Middle River,MD,,US,+1 410-780-5461,https://local.biglots.com/md/middle-river/9977-pulaski-hwy,Mo-Sa 09:00-21:00; Su 09:00-19:00,Big Lots,Q4905973
197861,bluerhino,Royal Farms #266,,Middle River,MD,,US,+1 410-450-4295,,,Blue Rhino,Q65681213
151023,bluerhino,Walgreens #5686,,Baltimore,MD,,US,+1 410-780-4492,,,Blue Rhino,Q65681213
194275,bluerhino,"Beer, Wine & Spirits",,Middle River,MD,,US,+1 410-686-7258,,,Blue Rhino,Q65681213
176591,bluerhino,Royal Farms #42,,Baltimore,MD,,US,+1 410-406-8495,,,Blue Rhino,Q65681213
31898,bluerhino,Food Lion #1405,,Middle River,MD,,US,+1 410-391-9316,,,Blue Rhino,Q65681213
176707,bluerhino,Royal Farms #150,,Middle River,MD,,US,+1 410-335-5767,,,Blue Rhino,Q65681213
176688,bluerhino,Royal Farms #128,,Middle River,MD,,US,+1 410-406-8500,,,Blue Rhino,Q65681213
189180,bluerhino,Island Crown,,Middle River,MD,,US,+1 443-317-8315,,,Blue Rhino,Q65681213
61616,bluerhino,Walmart #3481,,Baltimore,MD,,US,+1 410-335-5669,,,Blue Rhino,Q65681213
176566,bluerhino,Royal Farms #24,,Baltimore,MD,,US,+1 410-344-8055,,,Blue Rhino,Q65681213
176595,bluerhino,Royal Farms #47,,Chase,MD,,US,+1 410-344-8056,,,Blue Rhino,Q65681213
7311,burgerking,Burger King,,MIDDLE RIVER,MD,,US,+1 410-574-7640,https://www.bk.com/store-locator/store/restaurant_4201,Mo-Sa 06:00-22:00; Su 07:00-22:00,Burger King,Q177054
17086,cvs_us,CVS Pharmacy,,Middle River,MD,,US,+1 410-406-9082,https://www.cvs.com/store-locator/middle-river-md-pharmacies/1330-martin-blvd-middle-river-md-21220/storeid=17086,"Mo-Fr 09:00-13:30,14:00-20:00; Sa 09:00-13:30,14:00-18:00; Su 10:00-13:30,14:00-18:00",CVS Pharmacy,Q2078880
2455,cvs_us,CVS Pharmacy,,Baltimore,MD,,US,+1 410-238-3522,https://www.cvs.com/store-locator/baltimore-md-pharmacies/2-compass-road-baltimore-md-21220/storeid=2455,Mo-Su 08:00-20:00,CVS Pharmacy,Q2078880
4622,dominos_pizza_us,Domino's Pizza,,Baltimore,MD,,US,+1 410-682-4200,https://pizza.dominos.com/maryland/baltimore/610-compass-rd,Mo-Th 10:00-24:00; Fr-Sa 10:00-01:00; Su 10:00-24:00,Domino's,Q839466
354837,dunkin_us,Dunkin',,Middle River,MD,,US,+1 410-344-6440,https://locations.dunkindonuts.com/en/md/middle-river/730-concourse-circle/354837,Mo-Fr 04:30-20:00; Sa 05:00-20:00; Su 06:00-18:00,Dunkin',Q847743
351232,dunkin_us,Dunkin',,Middle River,MD,,US,+1 410-335-2445,https://locations.dunkindonuts.com/en/md/middle-river/190-carroll-island-rd/351232,Mo-Su 04:30-21:00,Dunkin',Q847743
343473,dunkin_us,Dunkin',,Middle River,MD,,US,+1 410-686-6712,https://locations.dunkindonuts.com/en/md/middle-river/901-middle-river-rd/343473,Mo-Fr 04:30-20:00; Sa 05:00-20:00; Su 05:30-19:00,Dunkin',Q847743
356842,dunkin_us,Dunkin',,Middle River,MD,,US,+1 443-730-6074,https://locations.dunkindonuts.com/en/md/middle-river/121-beacon-rd/356842,Mo-Fr 04:30-20:00; Sa 05:00-20:00; Su 06:00-17:00,Dunkin',Q847743
E118D6,enterprise,Middle River,,Middle River,MD,,US,+1 410-238-1560,,,Enterprise Rent-A-Car,Q17085454
1000001435,extra_space_storage,Middle River Self Storage at 1350 Innovation St,,Middle River,MD,,US,+1 410-803-6346,https://www.extraspace.com/storage/facilities/us/maryland/middle_river/1000001435/,Mo-Fr 09:30-18:00; Sa 09:00-17:30,Extra Space Storage,Q5422162
900256,extra_space_storage,Middle River Self Storage at 9810 Pulaski Hwy,,Middle River,MD,,US,+1 410-686-8494,https://www.extraspace.com/storage/facilities/us/maryland/middle_river/900256/,Mo-Fr 09:30-18:00; Sa 09:00-17:30,Extra Space Storage,Q5422162
32442,family_dollar_us,FAMILY DOLLAR #12442,,Middle River,MD,,US,+1 443-648-5392,https://www.familydollar.com/locations/md/middle-river/32442/,Mo-Su 08:00-22:00,Family Dollar,Q5433101
Motorcraft2802USAEnglish,ford,Al Packer's White Marsh Ford LLC,,Maryland,MD,,US,+1 443-777-5000,,,Ford,Q44294
https://www.ford.com/dealerships/dealer-details/md/middle-river/al-packer%27s-white-marsh-ford-llc/,ford_dealers_us,Al Packer's White Marsh Ford LLC,,Middle River,MD,,US,+1 443-470-4748,https://www.ford.com/dealerships/dealer-details/md/middle-river/al-packer's-white-marsh-ford-llc/,Mo-Fr 09:00-20:00; Sa 09:00-18:00,Ford Motor Company,Q44294
https://stores.gnc.com/#97615865,gnc,GNC MARTIN PLAZA,,,MD,,US,+1 443-579-1024,https://stores.gnc.com/all-stores-maryland/middle-river/1406-martin-blvd,Mo-Sa 10:00-19:00; Su 11:00-18:00,GNC,Q4808595
19271,h_r_block,H&R Block,,Baltimore,MD,,US,+1 410-687-6699,https://www.hrblock.com/local-tax-offices/maryland/baltimore/martin-plaza/19271/,,H&R Block,Q5627799
https://office.jacksonhewitt.com/#27576232,jackson_hewitt,Jackson Hewitt,,Middle River,MD,,US,+1 410-929-9223,https://office.jacksonhewitt.com/tax-preparation-services-locations/en/md/middle-river/112-carroll-island-road/53481,Mo-Fr 10:00-19:00; Sa 10:00-17:00; Su 12:00-17:00,Jackson Hewitt,Q6117132
1329,kohls_us,Kohl's,,Middle River,MD,,US,+1 410-686-2179,https://www.kohls.com/stores/md/middleriver-1329.shtml,Mo-Sa 09:00-21:00; Su 09:00-20:00,Kohl's,Q967265
159753,marathon_petroleum_us,ISLAND MARATHON,,Middle River,MD,,US,+1 410-355-3062,,,Marathon,Q458363
BWIMR,marriott,SpringHill Suites Baltimore White Marsh/Middle River,,Middle River,MD,,US,+1 410-335-2112,https://www.marriott.com/BWIMR,,SpringHill Suites,Q7580351
4080,mightyflame,EDDIE B S,,BALTIMORE,MD,,US,+1 410-687-4973,,,Mighty Flame,
https://locations.mtb.com/#25082702,mt_bank_us,,,,MD,,US,+1 800-724-2440,https://locations.mtb.com/md/baltimore/bank-branches-and-atms-baltimore-md-sa1003.html,24/7,M&T Bank,Q3272257
https://locations.papajohns.com/#10691667,papa_johns,Papa John's,,Middle River,MD,,US,+1 410-391-6262,https://locations.papajohns.com/united-states/md/21220/middle-river/115-beacon-road,Mo-Th 10:00-24:00; Fr-Sa 10:00-01:00; Su 10:00-24:00,Papa John's Pizza,Q2759586
md_middle-river_2004-eastern-blvd,pizza_hut_us,2004 Eastern Blvd,,Middle River,MD,,US,+1 410-391-4555,https://locations.pizzahut.com/md/middle-river/2004-eastern-blvd,,Pizza Hut,Q191615
md_middle-river_1330-windlass-drive,pizza_hut_us,1330 Windlass Drive,,Middle River,MD,,US,,https://locations.pizzahut.com/md/middle-river/1330-windlass-drive,,Pizza Hut,Q191615
home-depot-2502-12959,ppgpaints,HOME DEPOT 2502,,"Baltimore, ",MD,,US,+1 410-780-9200,https://www.ppgpaints.com/store-locator/us/maryland/baltimore-paint-stores/home-depot-2502-12959,,PPG Paints,Q83891559
https://locations.qdoba.com/us/md/middle-river/1470-martin-blvd.html,qdoba,QDOBA Middle River,,Middle River,MD,,US,+1 410-238-5739,https://locations.qdoba.com/us/md/middle-river/1470-martin-blvd.html,Mo-Sa 10:30-22:00; Su 10:30-21:00,Qdoba,Q1363885
81482,ritasitalianice,Rita’s of Carroll Island MD,,Middle River,MD,,US,+1 410-335-7482,https://www.ritasice.com/location/ritas-of-carroll-island-md/,,Rita's Italian Ice,Q7336456
41223,seven_eleven_ca_us,7-Eleven,,Middle River,MD,,US,+1 800-255-0711,https://www.7-eleven.com/locations/md/middle-river/1500-pocomoke-court-41223,,7-Eleven,Q259340
3646,shellrecharge,Galloway Creek,,Middle River,MD,,US,,,,Shell Recharge,Q105883058
https://restaurants.subway.com/#14911769,subway,Subway Baltimore Crossroads @ 95,,Baltimore Baltimore,MD,,US,+1 410-630-2481,https://restaurants.subway.com/united-states/md/baltimore/750-concourse-circle,Mo-Fr 09:00-20:00; Sa 10:00-20:00; Su 10:00-18:00,Subway,Q244457
https://restaurants.subway.com/#14900655,subway,Subway,,Baltimore Baltimore,MD,,US,+1 410-574-3434,https://restaurants.subway.com/united-states/md/baltimore/3009-a-eastern-blvd,Mo-Sa 09:00-21:00; Su 10:00-20:00,Subway,Q244457
0615608700,sunoco_us,Sunoco,,BALTIMORE,MD,,US,+1 410-574-7258,,,Sunoco,Q1423218
https://locations.tacobell.com/#6144600,taco_bell,Taco Bell,,Middle River,MD,,US,+1 410-574-7535,https://locations.tacobell.com/md/middle-river/28-middle-river-rd-.html,Mo-Th 07:00-02:30; Fr-Sa 07:00-04:00; Su 07:00-02:30,Taco Bell,Q752941
12589,true_value_us,Carroll Island True Value Hardware,,Baltimore,MD,,US,+1 410-335-5434,http://www.truevalue.com/carrollislandtruevalue,,True Value,Q7847545
7027,upsstore,Greenleigh at Crossroads,750 Concourse Circle Suite 103,Middle River,MD,,US,+1 410-344-6593,https://locations.theupsstore.com/md/middle-river/750-concourse-circle,,UPS Store,Q7771029
1434430,usps,MIDDLE RIVER,,MIDDLE RIVER,MD,,US,+1 410-687-5568,,"Mo-Fr 09:00-13:00,14:00-17:00; Sa 09:00-13:00",United States Postal Service,Q668687
2122000007,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,505 BOWLEYS QUARTERS RD,BALTIMORE,MD,,US,,,,United States Postal Service,Q668687
2122000051,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,148 CARROLL ISLAND RD,BALTIMORE,MD,,US,,,,United States Postal Service,Q668687
2122000063,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,405 WILLIAMS CT,BALTIMORE,MD,,US,,,,United States Postal Service,Q668687
2122000047,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,200 WILSON POINT RD,BALTIMORE,MD,,US,,,,United States Postal Service,Q668687
2122000057,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,200 WILSON POINT RD,BALTIMORE,MD,,US,,,,United States Postal Service,Q668687
2122000058,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,200 WILSON POINT RD,BALTIMORE,MD,,US,,,,United States Postal Service,Q668687
2122000059,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,200 WILSON POINT RD,BALTIMORE,MD,,US,,,,United States Postal Service,Q668687
