Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
218514,bluerhino,Calais Freshies #1808,,Calais,ME,,US,+1 207-454-0941,,,Blue Rhino,Q65681213
72848,bluerhino,Ace - Calais Ace Homecenter #11232,,Calais,ME,,US,+1 207-454-2309,,,Blue Rhino,Q65681213
182674,bluerhino,Walgreens #17455,,Calais,ME,,US,+1 207-454-2262,,,Blue Rhino,Q65681213
240159,bluerhino,Circle K #4707022,,Calais,ME,,US,+1 207-454-2021,,,Blue Rhino,Q65681213
11390,bluerhino,Walmart #2178,,Calais,ME,,US,+1 207-454-8178,,,Blue Rhino,Q65681213
194696,bluerhino,Hannaford #8812,,Calais,ME,,US,+1 207-454-7788,,,Blue Rhino,Q65681213
240158,bluerhino,Circle K #4707013,,Calais,ME,,US,+1 207-454-8626,,,Blue Rhino,Q65681213
32411,chevrolet,PRATT CHEVROLET GMC,,Calais,ME,,US,+1 207-454-0600,https://www.prattchevrolet.com,Mo-Fr 08:00-18:00; Sa 08:00-17:00,Chevrolet,Q29570
41131,citi,ATM Circle K,,Calais,ME,,US,,,,Citibank,Q857063
43729,citi,ATM Circle K,,Calais,ME,,US,,,,Citibank,Q857063
,credit_union_us,Downeast CU,,Calais,ME,,US,+1 207-454-8940,,Mo-Tu 08:00-04:00; We 09:00-04:00; Th-Fr 08:00-04:00,,
302685,dunkin_us,Dunkin',,Calais,ME,,US,+1 207-454-3301,https://locations.dunkindonuts.com/en/me/calais/131-north-st/302685,Mo-Su 05:00-19:00,Dunkin',Q847743
18967,h_r_block,H&R Block,,Calais,ME,,US,+1 207-454-3966,https://www.hrblock.com/local-tax-offices/maine/calais/109-north-st/18967/,,H&R Block,Q5627799
Calais IGA,iga,Calais IGA,"200 North Street, Calais, ME, 04619",Calais,ME,,US,+1 207-427-6995,,,IGA,Q3146662
https://locations.oreillyauto.com/me/calais/check-engine-light-testing-4517.html,oreilly,Your Calais O'Reilly Auto Parts Store,,Calais,ME,,US,+1 207-454-0271,https://locations.oreillyauto.com/me/calais/check-engine-light-testing-4517.html,Mo-Sa 07:00-19:00; Su 09:00-19:00,O'Reilly Auto Parts,Q7071951
https://locations.oreillyauto.com/me/calais/wiper-installation-4517.html,oreilly,Your Calais O'Reilly Auto Parts Store,,Calais,ME,,US,+1 207-454-0271,https://locations.oreillyauto.com/me/calais/wiper-installation-4517.html,Mo-Sa 07:00-19:00; Su 09:00-19:00,O'Reilly Auto Parts,Q7071951
https://locations.oreillyauto.com/me/calais/battery-testing-4517.html,oreilly,Your Calais O'Reilly Auto Parts Store,,Calais,ME,,US,+1 207-454-0271,https://locations.oreillyauto.com/me/calais/battery-testing-4517.html,Mo-Sa 07:00-19:00; Su 09:00-19:00,O'Reilly Auto Parts,Q7071951
https://locations.oreillyauto.com/me/calais/autopartes-4517.html,oreilly,Tu tienda O'Reilly Auto Parts en Calais,,Calais,ME,,US,+1 207-454-0271,https://locations.oreillyauto.com/me/calais/autopartes-4517.html,Mo-Sa 07:00-19:00; Su 09:00-19:00,O'Reilly Auto Parts,Q7071951
2526,rentacenter,Rent-A-Center,,Calais,ME,,US,+1 207-454-8783,https://locations.rentacenter.com/maine/calais/483-main-st/,Mo-Sa 10:00-18:00,Rent-A-Center,Q7313497
https://restaurants.subway.com/#14904284,subway,Subway,,Calais Washington,ME,,US,+1 207-454-0033,https://restaurants.subway.com/united-states/me/calais/207-north-st,Mo-Sa 08:00-21:00; Su 08:00-19:00,Subway,Q244457
1356595,usps,CALAIS,,CALAIS,ME,,US,+1 207-454-2272,,Mo-Fr 08:30-16:30; Sa 09:30-12:00,United States Postal Service,Q668687
0461900005,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,14 WASHINGTON ST,CALAIS,ME,,US,,,,United States Postal Service,Q668687
0461900007,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,14 WASHINGTON ST,CALAIS,ME,,US,,,,United States Postal Service,Q668687
0461900010,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,76 NORTH ST,CALAIS,ME,,US,,,,United States Postal Service,Q668687
0461900009,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,76 NORTH ST,CALAIS,ME,,US,,,,United States Postal Service,Q668687
,visa,,,CALAIS,ME,,US,,,,,
,visa,,,CALAIS,ME,,US,,,,,
,visa,,,CALAIS,ME,,US,,,,,
,visa,,,CALAIS,ME,,US,,,,,
,visa,,,CALAIS,ME,,US,,,,,
,visa,,,CALAIS,ME,,US,,,,,
https://www.walgreens.com/locator/walgreens-223+north+st-calais-me-04619/id=17455,walgreens,Walgreens,,Calais,ME,,US,+1 207-454-2262,https://www.walgreens.com/locator/walgreens-223+north+st-calais-me-04619/id=17455,Mo-Su 08:00-20:00,Walgreens,Q1591889
46804e594ff7f0afe27bf01549a54219,western_union,WALMART #002178,,Calais,ME,,US,+1 207-454-8178,https://location.westernunion.com/us/me/calais/46804e594ff7f0afe27bf01549a54219,Mo-Su 07:00-21:00,Western Union,Q861042
74b21371ef220fc44789fc3a08d9e3e9,western_union,WALGREENS #17455,,Calais,ME,,US,+1 207-454-2262,https://location.westernunion.com/us/me/calais/74b21371ef220fc44789fc3a08d9e3e9,Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su 08:00-19:00,Western Union,Q861042
