Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
112336,bluerhino,Glennie Party Store,,Glennie,MI,,US,+1 989-735-2156,,,Blue Rhino,Q65681213
21015,dollar_general,Dollar General,,Glennie,MI,,US,+1 989-569-1024,https://www.dollargeneral.com/store-directory/mi/glennie/21015,Mo-Su 08:00-22:00,Dollar General,Q145168
161645,marathon_petroleum_us,ROGERS FAMILY FOODS,,GLENNIE,MI,,US,+1 989-735-3361,,,Marathon,Q458363
1437850,usps,GLENNIE,,GLENNIE,MI,,US,+1 989-735-3401,,"Mo-Fr 08:00-10:00,12:30-14:30; Sa 08:00-11:00",United States Postal Service,Q668687
4873700001,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,3160 STATE RD,GLENNIE,MI,,US,,,,United States Postal Service,Q668687
4873700004,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,3160 STATE RD,GLENNIE,MI,,US,,,,United States Postal Service,Q668687
4873700005,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,3160 STATE RD,GLENNIE,MI,,US,,,,United States Postal Service,Q668687
,visa,,,GLENNIE,MI,,US,,,,,
,visa,,,GLENNIE,MI,,US,,,,,
,visa,,,GLENNIE,MI,,US,,,,,
f38cf03afdf2ab1e6a4f4fd538b934b1,western_union,DOLLAR GENERAL #21015,,Glennie,MI,,US,+1 989-569-1024,https://location.westernunion.com/us/mi/glennie/f38cf03afdf2ab1e6a4f4fd538b934b1,Mo-Su 08:00-22:00,Western Union,Q861042
