Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
242541,bluerhino,Circle K #2653812,,Menahga,MN,,US,+1 218-237-4216,,,Blue Rhino,Q65681213
3189,cenex,Lakes Community Cooperative,,Menahga,MN,,US,+1 218-564-5264,,24/7,Cenex,Q62127191
85164,citi,ATM TRUSTAR FEDERAL CREDIT UNION,,Menahga,MN,,US,,,,Citibank,Q857063
85165,citi,ATM TRUSTAR FEDERAL CREDIT UNION,,Menahga,MN,,US,,,,Citibank,Q857063
https://restaurants.subway.com/#14903914,subway,Subway Menahga Beach,,Menahga Wadena,MN,,US,+1 218-564-7827,https://restaurants.subway.com/united-states/mn/menahga/226-aspen-avenue,Mo-Su 09:00-21:00,Subway,Q244457
1372682,usps,MENAHGA,,MENAHGA,MN,,US,+1 218-564-4843,,"Mo-Fr 09:00-12:00,13:00-16:00; Sa 10:00-11:00",United States Postal Service,Q668687
5646400000,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,22 MAIN ST SE,MENAHGA,MN,,US,,,,United States Postal Service,Q668687
5646400001,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,22 MAIN ST SE,MENAHGA,MN,,US,,,,United States Postal Service,Q668687
5646400002,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,22 MAIN ST SE,MENAHGA,MN,,US,,,,United States Postal Service,Q668687
,visa,,,MENAHGA,MN,,US,,,,,
,visa,,,MENAHGA,MN,,US,,,,,
,visa,,,MENAHGA,MN,,US,,,,,
,visa,,,MENAHGA,MN,,US,,,,,
,visa,,,MENAHGA,MN,,US,,,,,
,visa,,,MENAHGA,MN,,US,,,,,
