Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://stores.advanceautoparts.com/mo/cameron/415-northland-dr,advance_auto_parts_us,Advance Auto Parts,,Cameron,MO,,US,+1 816-632-4858,https://stores.advanceautoparts.com/mo/cameron/415-northland-dr,Mo-Sa 07:30-21:00; Su 09:00-20:00,Advance Auto Parts,Q4686051
3017,anytime_fitness,Anytime Fitness,,Cameron,MO,,US,+1 816-632-6200,https://www.anytimefitness.com/gyms/3017/cameron-mo-64429/,,Anytime Fitness,Q4778364
https://locations.baskinrobbins.com/mo/cameron/1518-bob-f-griffin-road-336989-br,baskin_robbins_us,Baskin-Robbins™,,Cameron,MO,,US,+1 816-632-3415,https://locations.baskinrobbins.com/mo/cameron/1518-bob-f-griffin-road-336989-br,Mo-Su 05:00-21:00,Baskin-Robbins,Q584601
203683,bluerhino,CASEY'S GENERAL STORE #1110,,CAMERON,MO,,US,+1 816-632-1384,,,Blue Rhino,Q65681213
183144,bluerhino,Cameron Lumber #1590,,Cameron,MO,,US,+1 816-632-8880,,,Blue Rhino,Q65681213
175498,bluerhino,AWG #191 - The Cameron Market,,Cameron,MO,,US,+1 816-632-2441,,,Blue Rhino,Q65681213
128348,bluerhino,The Right Choice,,Cameron,MO,,US,+1 816-632-1411,,,Blue Rhino,Q65681213
186416,bluerhino,Sutherlands #5602,,Cameron,MO,,US,+1 816-632-1701,,,Blue Rhino,Q65681213
203769,bluerhino,CASEY'S GENERAL STORE #1895,,CAMERON,MO,,US,+1 816-632-2756,,,Blue Rhino,Q65681213
213903,bluerhino,Love's #837,,Cameron,MO,,US,+1 816-312-6061,,,Blue Rhino,Q65681213
12506,cenex,SBJ Fuels Inc ,,Cameron,MO,,US,+1 816-632-6158,,24/7,Cenex,Q62127191
05697,chevrolet,RANDY CURNOW CHEVROLET GMC,,Cameron,MO,,US,+1 816-649-5291,https://www.randycurnowchevrolet.com,Mo-Fr 09:00-18:00; Sa 09:00-17:00,Chevrolet,Q29570
37305,citi,ATM BTC BANK,,Cameron,MO,,US,,,,Citibank,Q857063
37293,citi,ATM BTC BANK,,Cameron,MO,,US,,,,Citibank,Q857063
70088252,cricket_wireless,Cricket Wireless Authorized Retailer,,Cameron,MO,,US,+1 816-632-1454,https://www.cricketwireless.com/stores/ll/US/MO/Cameron/1811-North-Walnut-St,Mo-Sa 10:00-19:00; Su 12:00-17:00,Cricket Wireless,Q5184987
7370,dollartree,DollarTree,,Cameron,MO,,US,+1 816-312-5355,,Mo-Sa 09:00-21:00; Su 09:00-20:00,Dollar Tree,Q5289230
336989,dunkin_us,Dunkin',,Cameron,MO,,US,+1 816-632-3415,https://locations.dunkindonuts.com/en/mo/cameron/1518-bob-f-griffin-road/336989,Mo-Su 05:00-21:00,Dunkin',Q847743
https://www.edwardjones.com/us-en/financial-advisor/dillon-bird,edwardjones,Dillon P Bird,,Cameron,MO,,US,+1 816-632-2165,https://www.edwardjones.com/us-en/financial-advisor/dillon-bird,Mo-Th 08:00-17:00; Fr 08:00-16:00,Edward Jones,Q5343830
24431,h_r_block,H&R Block,,Cameron,MO,,US,+1 816-632-2774,https://www.hrblock.com/local-tax-offices/missouri/cameron/215-e-3rd-st/24431/,,H&R Block,Q5627799
https://locations.kfc.com/#11248902,kfc,Chicken Nuggets Near Cameron,,Cameron,MO,,US,,https://locations.kfc.com/mo/cameron/708-baldwin/chickennugget,Mo-Su 10:30-22:00,KFC,Q524757
1155,loves,Site 837,,Cameron,MO,,US,+1 816-312-6061,,,Love's,Q1872496
2490,mightyflame,DISCOUNT SMOKE & LIQOUR,,CAMERON,MO,,US,+1 816-632-2810,,,Mighty Flame,
038644,penske,Bodark Properties,,CAMERON,MO,,US,+1 816-927-3905,https://www.pensketruckrental.com/locations/us/missouri/cameron/038644/,,Penske,Q81234570
0000894675,phillips_66_conoco_76,RIGHT CHOICE,,CAMERON,MO,,US,+1 816-632-1411,,,Conoco,Q109341187
0000890581,phillips_66_conoco_76,JONEZ TRAVEL PLAZA CAMERON LLC,,CAMERON,MO,,US,+1 816-632-7561,,,Phillips 66,Q1656230
mo_cameron_604-n-walnut-st,pizza_hut_us,604 N Walnut St,,Cameron,MO,,US,+1 816-632-6581,https://locations.pizzahut.com/mo/cameron/604-n-walnut-st,,Pizza Hut,Q191615
1130,scooters_coffee_us,N Walnut St & W 8th St,,Cameron,MO,,US,,,Mo-Fr 05:30-20:00; Sa-Su 06:00-20:00,Scooter's Coffee,Q117280308
https://restaurants.subway.com/#14915437,subway,Subway,,Cameron Clinton,MO,,US,+1 816-632-7873,https://restaurants.subway.com/united-states/mo/cameron/2108-us-hwy-36,Mo-Su 08:00-21:00,Subway,Q244457
https://locations.tacobell.com/#6142413,taco_bell,Taco Bell,,Cameron,MO,,US,+1 816-632-6234,https://locations.tacobell.com/mo/cameron/708-baldwin.html,Mo-Su 06:00-23:00,Taco Bell,Q752941
https://locations.tccrocks.com/mo/cameron/1313-n-walnut.html,tcc_us,TCC Cameron,,Cameron,MO,,US,+1 660-240-0293,https://locations.tccrocks.com/mo/cameron/1313-n-walnut.html,Mo-Sa 10:00-18:00; Su 11:00-17:00,Verizon,Q919641
1356752,usps,CAMERON,,CAMERON,MO,,US,+1 816-632-3071,,Mo-Fr 08:30-16:30; Sa 09:00-11:00,United States Postal Service,Q668687
6442900000,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,112 E GRAND AVE,CAMERON,MO,,US,,,,United States Postal Service,Q668687
6442900020,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,112 E GRAND AVE,CAMERON,MO,,US,,,,United States Postal Service,Q668687
6442900014,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,112 E GRAND AVE,CAMERON,MO,,US,,,,United States Postal Service,Q668687
6442900015,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,112 E GRAND AVE,CAMERON,MO,,US,,,,United States Postal Service,Q668687
6442900013,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,2000 N WALNUT ST,CAMERON,MO,,US,,,,United States Postal Service,Q668687
A00000238120,verizon_us,TCC Cameron,,CAMERON,MO,,US,+1 816-632-2533,https://www.verizon.com/stores/details/missouri/cameron/tcc-cameron-1845222/,Mo-Sa 10:00-18:00; Su 11:00-17:00,Verizon,Q919641
,visa,,,CAMERON,MO,,US,,,,,
,visa,,,CAMERON,MO,,US,,,,,
,visa,,,CAMERON,MO,,US,,,,,
,visa,,,CAMERON,MO,,US,,,,,
,visa,,,CAMERON,MO,,US,,,,,
,visa,,,CAMERON,MO,,US,,,,,
,visa,,,CAMERON,MO,,US,,,,,
,visa,,,CAMERON,MO,,US,,,,,
,visa,,,CAMERON,MO,,US,,,,,
,visa,,,CAMERON,MO,,US,,,,,
,visa,,,CAMERON,MO,,US,,,,,
,visa,,,CAMERON,MO,,US,,,,,
,visa,,,CAMERON,MO,,US,,,,,
,visa,,,CAMERON,MO,,US,,,,,
,visa,,,CAMERON,MO,,US,,,,,
https://locations.wendys.com/#9251224,wendys,"Wendy's Cameron in Cameron, MO",,Cameron,MO,,US,+1 816-632-6199,https://locations.wendys.com/united-states/mo/cameron/1522-bob-griffin-road,Mo-Su 04:00-10:30,Wendy's,Q550258
5ce19e8e50efcc5d14f3808d19088678,western_union,WALMART #000109,,Cameron,MO,,US,+1 816-632-9900,https://location.westernunion.com/us/mo/cameron/5ce19e8e50efcc5d14f3808d19088678,Mo-Su 07:00-21:00,Western Union,Q861042
1139,world_finance_us,,"516 Lana Dr, Cameron, MO, 64429",Cameron,MO,,US,+1 816-649-6117,https://www.loansbyworld.com/branches/branch-1139,Mo-Fr 09:00-17:30; Sa 09:00-12:00,World Finance,Q3569971
cameron-regional-ymca,ymca,Cameron Regional YMCA,1903 N. Walnut,Cameron,MO,,US,+1 816-632-3811,https://www.ymca.org/locations/cameron-regional-ymca,Mo-Fr 06:45-19:30; Sa-Su 14:00-18:00,YMCA,Q157169
