Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
43627,bluerhino,Pine Valley Grocery,,Piney Creek,NC,,US,+1 336-359-2359,,,Blue Rhino,Q65681213
195350,bluerhino,Parker's Building Supply - DIB #6312,,Sparta,NC,,US,+1 336-372-4000,,,Blue Rhino,Q65681213
148655,bluerhino,Speedway #7947,,Sparta,NC,,US,+1 336-372-8787,,,Blue Rhino,Q65681213
156829,bluerhino,Walgreens #16133,,Sparta,NC,,US,+1 336-372-2101,,,Blue Rhino,Q65681213
12738,bluerhino,Food Lion #508,,Sparta,NC,,US,+1 336-372-5585,,,Blue Rhino,Q65681213
201954,bluerhino,Quality Mart #1769,,Sparta,NC,,US,+1 336-372-5678,,,Blue Rhino,Q65681213
24373163186942867500100000000000,bp,BP,,Sparta,NC,,US,+1 336-372-5678,,24/7,BP,Q152057
9842,burgerking,Burger King,,Sparta,NC,,US,+1 336-372-7440,https://www.bk.com/store-locator/store/restaurant_5557,Mo-Sa 06:00-20:00; Su 07:00-20:00,Burger King,Q177054
77862,citi,ATM Speedway,,Sparta,NC,,US,,,,Citibank,Q857063
80499,citi,ATM SPEEDWAY# 7947,,Sparta,NC,,US,,,,Citibank,Q857063
76168,citi,ATM SKYLINE NATIONAL BANK 05,,Sparta,NC,,US,,,,Citibank,Q857063
91226,citi,ATM Walgreens,,Sparta,NC,,US,,,,Citibank,Q857063
https://www.edwardjones.com/us-en/financial-advisor/brett-liverman,edwardjones,Brett Liverman,,Sparta,NC,,US,+1 336-372-1775,https://www.edwardjones.com/us-en/financial-advisor/brett-liverman,Mo-Fr 09:00-16:00,Edward Jones,Q5343830
21241,family_dollar_us,FAMILY DOLLAR #1241,,Sparta,NC,,US,+1 336-890-6883,https://www.familydollar.com/locations/nc/sparta/21241/,Mo-Su 09:00-21:00,Family Dollar,Q5433101
https://locations.53.com/#3034649,fifththirdbank,Fifth Third Bank Sparta,,Sparta,NC,,US,+1 336-372-5631,https://locations.53.com/nc/sparta/406-south-main-street.html,Mo-Th 09:00-17:00; Fr 09:00-18:00,Fifth Third Bank,Q1411810
1503444,hardees_us,Hardee's,,Sparta,NC,,US,+1 336-372-4903,https://locations.hardees.com/nc/sparta/417-s-main-st,,Hardee's,Q1585088
32276,h_r_block,H&R Block,,Sparta,NC,,US,+1 336-372-4197,https://www.hrblock.com/local-tax-offices/north-carolina/sparta/323-n-main-st/32276/,,H&R Block,Q5627799
