Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://local.albertsons.com/#5603279,albertsons,Albertsons,,Williston,ND,,US,+1 701-572-1097,https://local.albertsons.com/nd/williston/20-26th-st-e.html,Mo-Su 06:00-23:00,Albertsons,Q2831861
778,anytime_fitness,Anytime Fitness,,Williston,ND,,US,+1 701-774-1935,https://www.anytimefitness.com/gyms/778/williston-nd-58801/,,Anytime Fitness,Q4778364
https://restaurants.applebees.com/en-us/nd/williston/6-26th-street-west-95005,applebees,Connect with this Applebee's,,Williston,ND,,US,+1 701-572-4769,https://restaurants.applebees.com/en-us/nd/williston/6-26th-street-west-95005,Mo-Su 10:30-24:00,Applebees,Q621532
https://locations.arbys.com/nd/williston/1107-second-ave-w.html,arbys_us,"Arby's Fast-Food Drive Through Near You in Williston, ND",,Williston,ND,,US,+1 701-774-2144,https://locations.arbys.com/nd/williston/1107-second-ave-w.html,Mo-Su 10:00-22:00,Arby's,Q630866
https://stores.ashleyfurniture.com/store/us/north-dakota/williston/9000761697/,ashley_furniture,"Ashley Outlet Williston, ND",,Williston,ND,,US,+1 701-774-8697,https://stores.ashleyfurniture.com/store/us/north-dakota/williston/9000761697/,,Ashley Furniture,Q4805437
https://stores.ashleyfurniture.com/store/us/north-dakota/williston/7710000265/,ashley_furniture,"Ashley Store Williston, ND",,Williston,ND,,US,+1 701-572-6742,https://stores.ashleyfurniture.com/store/us/north-dakota/williston/7710000265/,,Ashley Furniture,Q4805437
27052,asics_us,All Seasons Sport About,209 1st Ave W,Williston,ND,,US,+1 701-577-1837,,,asics,Q327247
86593,att_us,WILLISTON - ND,,Williston,ND,,US,+1 701-572-1776,https://www.att.com/stores/north-dakota/williston/86593,Mo-Sa 10:00-20:00; Su 11:00-18:00,AT&T,Q298594
https://www.avis.com/en/locations/us/nd/williston/xwa,avis,Avis U S A Williston Airport,,Williston,ND,,US,+1 701-875-4813,https://www.avis.com/en/locations/us/nd/williston/xwa,Mo-Fr 08:30-17:00; Sa-Su 10:00-16:00,Avis,Q791136
903,batteriesplus,Visit Williston's battery and lighting experts,,Williston,ND,,US,+1 701-713-4345,https://www.batteriesplus.com/store-locator/nd/williston/batteries-plus-903,Mo-Fr 08:00-19:00; Sa 08:00-18:00; Su 12:00-17:00,Batteries Plus Bulbs,Q17005157
