Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
643,aaa,Norfolk,,Norfolk,NE,,US,+1 402-371-4930,,,American Automobile Association,Q463436
https://stores.advanceautoparts.com/ne/norfolk/2105-krenzien-dr,advance_auto_parts_us,Advance Auto Parts,,Norfolk,NE,,US,+1 402-371-1844,https://stores.advanceautoparts.com/ne/norfolk/2105-krenzien-dr,Mo-Sa 07:30-21:00; Su 09:00-20:00,Advance Auto Parts,Q4686051
237,anytime_fitness,Anytime Fitness,,Norfolk,NE,,US,+1 402-371-6600,https://www.anytimefitness.com/gyms/237/norfolk-ne-68701/,,Anytime Fitness,Q4778364
https://locations.arbys.com/ne/norfolk/1204-omaha-ave.html,arbys_us,"Arby's Fast-Food Drive Through Near You in Norfolk, NE",,Norfolk,NE,,US,+1 402-379-0271,https://locations.arbys.com/ne/norfolk/1204-omaha-ave.html,Mo-Su 10:00-23:00,Arby's,Q630866
https://stores.ashleyfurniture.com/store/us/nebraska/norfolk/9000200391/,ashley_furniture,"Ashley Store Norfolk, NE",,Norfolk,NE,,US,+1 402-371-1881,https://stores.ashleyfurniture.com/store/us/nebraska/norfolk/9000200391/,,Ashley Furniture,Q4805437
50990,asics_us,Tradehome Shoes ,1700 Market Ln,Norfolk,NE,,US,+1 402-379-4811,,Mo-Fr 10:00-20:00; Sa 10:00-19:00; Su 12:00-18:00,asics,Q327247
22016,asics_us,Brown's Shoe Fit Norfolk,803 S 13th St,Norfolk,NE,,US,+1 402-371-0932,,Mo-Fr 09:30-19:00; Sa 09:30-17:00,asics,Q327247
23005,asics_us,Hibbett Sports,1700 Market Lane,Norfolk,NE,,US,+1 402-371-9144,,,asics,Q327247
1655,autozone_us,AutoZone Auto Parts Norfolk,,Norfolk,NE,,US,+1 402-844-5500,https://www.autozone.com/locations/ne/norfolk/916-s-13th-st.html,Mo-Sa 08:00-21:00; Su 09:00-20:00,AutoZone,Q4826087
BBW01166,bathandbodyworks_us,SUNSET PLAZA,,NORFOLK,NE,,US,+1 402-379-5744,,Mo-Fr 10:00-20:00; Sa 10:00-19:00; Su 12:00-18:00,Bath & Body Works,Q810773
110776,bluerhino,Casey's General Store #2710,,Norfolk,NE,,US,+1 402-371-0252,,,Blue Rhino,Q65681213
8040,bluerhino,Walmart #0645 - Supercenter,,Norfolk,NE,,US,+1 402-371-6601,,,Blue Rhino,Q65681213
201786,bluerhino,Menards - NORFOLK #3103,,NORFOLK,NE,,US,+1 402-644-7919,,,Blue Rhino,Q65681213
210912,bluerhino,Dollar General #22901,,Norfolk,NE,,US,+1 402-347-5460,,,Blue Rhino,Q65681213
204030,bluerhino,CASEY'S GENERAL STORE #2370,,NORFOLK,NE,,US,+1 402-379-0967,,,Blue Rhino,Q65681213
152215,bluerhino,Walgreens #4531,,Norfolk,NE,,US,+1 402-371-8055,,,Blue Rhino,Q65681213
119196,bluerhino,Casey's General Store #2885,,Norfolk,NE,,US,+1 402-371-2774,,,Blue Rhino,Q65681213
161538,bluerhino,Love's #680,,Norfolk,NE,,US,+1 402-379-2920,,,Blue Rhino,Q65681213
119318,bluerhino,Bomgaar's #006,,Norfolk,NE,,US,+1 402-371-6667,,,Blue Rhino,Q65681213
218390,bluerhino,Dollar General #23483,,NORFOLK,NE,,US,+1 402-644-1820,,,Blue Rhino,Q65681213
https://local.buckle.com/ne/norfolk/clothing-4.html,buckle_us,Norfolk Men’s & Women’s Clothing,,Norfolk,NE,,US,+1 402-371-1804,https://local.buckle.com/ne/norfolk/clothing-4.html,Mo-Fr 10:00-20:00; Sa 10:00-19:00; Su 12:00-18:00,Buckle,Q4983306
9256,cenex,Cubby's Inc,,Norfolk,NE,,US,+1 402-371-5337,,24/7,Cenex,Q62127191
18470,chevrolet,NORFOLK MOTOR COMPANY,,Norfolk,NE,,US,+1 402-316-3312,https://www.norfolkchevy.com,Mo-Fr 08:00-19:00; Sa 08:00-17:00,Chevrolet,Q29570
36269,citi,ATM BANKFIRST 84,,Norfolk,NE,,US,,,,Citibank,Q857063
57532,citi,ATM FRONTIER BANK 10,,Norfolk,NE,,US,,,,Citibank,Q857063
65405,citi,ATM MIDWEST BANK NA 10,,Norfolk,NE,,US,,,,Citibank,Q857063
56443,citi,ATM FIRST NEBRASKA BANK 10,,Norfolk,NE,,US,,,,Citibank,Q857063
56442,citi,ATM FIRST NEBRASKA BANK 10,,Norfolk,NE,,US,,,,Citibank,Q857063
36268,citi,ATM BANKFIRST 84,,Norfolk,NE,,US,,,,Citibank,Q857063
87298,citi,ATM Walgreens,,Norfolk,NE,,US,,,,Citibank,Q857063
47686,citi,ATM CVS,,Norfolk,NE,,US,,,,Citibank,Q857063
65410,citi,ATM MIDWEST BANK NA 10,,Norfolk,NE,,US,,,,Citibank,Q857063
65407,citi,ATM MIDWEST BANK NA 10,,Norfolk,NE,,US,,,,Citibank,Q857063
36287,citi,ATM BANKFIRST 84,,Norfolk,NE,,US,,,,Citibank,Q857063
81665,citi,ATM Target,,Norfolk,NE,,US,,,,Citibank,Q857063
36273,citi,ATM BANKFIRST 84,,Norfolk,NE,,US,,,,Citibank,Q857063
36272,citi,ATM BANKFIRST 84,,Norfolk,NE,,US,,,,Citibank,Q857063
norfolk/6623,claires,Shop Ear Piercings & Jewelry at Sunset Plaza,,NORFOLK,NE,,US,+1 402-379-4685,https://stores.claires.com/us/ne/norfolk/6623.html,Mo-Fr 10:00-20:00; Sa 10:00-19:00; Su 11:00-17:00,Claire's,Q2974996
169,culvers_us,"Culver's of Norfolk, NE - S 20th St",,Norfolk,NE,,US,+1 402-371-8710,http://www.culvers.com/restaurants/norfolk,Mo-Fr 10:30-22:00; Su 10:30-22:00,Culver's,Q1143589
10293,cvs_us,CVS Pharmacy,,Norfolk,NE,,US,+1 402-371-9438,https://www.cvs.com/store-locator/norfolk-ne-pharmacies/1301-west-norfolk-ave-norfolk-ne-68701/storeid=10293,Mo-Fr 08:00-22:00; Sa-Su 09:00-22:00,CVS Pharmacy,Q2078880
50752941-2112-44aa-8882-410d0facef5c,dairy_queen_us,1802 West Omaha Avenue,,Norfolk,NE,,US,+1 402-369-1371,https://www.dairyqueen.com/locations/ne/norfolk/1802-west-omaha-avenue/15913,,DQ Grill & Chill,Q1141226
22901,dollar_general,Dollar General,,Norfolk,NE,,US,+1 402-347-5460,https://www.dollargeneral.com/store-directory/ne/norfolk/22901,Mo-Su 08:00-22:00,Dollar General,Q145168
6130,dominos_pizza_us,Domino's Pizza,,Norfolk,NE,,US,+1 402-371-0107,https://pizza.dominos.com/nebraska/norfolk/904-riverside-blvd,Mo-Th 10:30-24:00; Fr-Sa 10:30-02:00; Su 10:30-24:00,Domino's,Q839466
https://www.edwardjones.com/us-en/financial-advisor/tyler-roach,edwardjones,Tyler C Roach,,Norfolk,NE,,US,+1 402-371-9761,https://www.edwardjones.com/us-en/financial-advisor/tyler-roach,,Edward Jones,Q5343830
E16372,enterprise,Norfolk,,Norfolk,NE,,US,+1 402-371-6300,,,Enterprise Rent-A-Car,Q17085454
Motorcraft3916USAEnglish,ford,"Courtesy Ford Lincoln Sales, Inc.",,Nebraska,NE,,US,+1 402-371-9350,,,Ford,Q44294
https://www.ford.com/dealerships/dealer-details/ne/norfolk/courtesy-ford-of-norfolk/,ford_dealers_us,Courtesy Ford of Norfolk,,Norfolk,NE,,US,+1 402-370-8935,https://www.ford.com/dealerships/dealer-details/ne/norfolk/courtesy-ford-of-norfolk/,Mo-Th 08:00-19:00; Fr 08:00-18:00; Sa 08:00-17:00,Ford Motor Company,Q44294
3167,gamestop_us,Supercenter Exchange,,Norfolk,NE,,US,+1 402-379-3945,https://www.gamestop.com/search/?store=3167,Mo-Th 12:00-19:00; Fr-Sa 10:00-21:00; Su 12:00-18:00,GameStop,Q202210
e0dd83db-458a-e111-8dde-005056934050,goodwill,1804 Center Dr Store,,Norfolk,NE,,US,+1 402-371-6275,https://www.goodwill.org/locator/location/?store=ZTBkZDgzZGItNDU4YS1lMTExLThkZGUtMDA1MDU2OTM0MDUw&lat=NDIuMDIxOQ==&lng=LTk3LjQzMzA2,,Goodwill,Q5583655
https://salons.greatclips.com/us/ne/norfolk/701-s-25th-st,greatclips,Great Clips,,Norfolk,NE,,US,+1 402-371-1037,https://salons.greatclips.com/us/ne/norfolk/701-s-25th-st,Mo-Fr 09:00-19:00; Sa 08:00-17:00; Su 10:00-16:00,Great Clips,Q5598967
https://www.harborfreight.com/storelocator/919-s-20th-street-norfolk-68701?number=2926,harborfreight,"Harbor Freight Tools Norfolk, NE",,Norfolk,NE,,US,+1 402-644-1819,https://www.harborfreight.com/storelocator/919-s-20th-street-norfolk-68701?number=2926,Mo-Sa 08:00-20:00; Su 09:00-18:00,Harbor Freight Tools,Q5654601
1506548,hardees_us,Hardee's,,Norfolk,NE,,US,+1 402-379-1393,https://locations.hardees.com/ne/norfolk/1300-w-monroe-avenue,,Hardee's,Q1585088
27309,h_r_block,H&R Block,,Norfolk,NE,,US,+1 402-371-2686,https://www.hrblock.com/local-tax-offices/nebraska/norfolk/1305-center-dr/27309/,,H&R Block,Q5627799
https://locations.jimmyjohns.com/ne/norfolk/sandwiches-1043.html,jimmy_johns,Jimmy John's,,Norfolk,NE,,US,+1 402-379-4400,https://locations.jimmyjohns.com/ne/norfolk/sandwiches-1043.html,,Jimmy John's,Q1689380
https://locations.kfc.com/#11249978,kfc,Chicken Nuggets Near Norfolk,,Norfolk,NE,,US,,https://locations.kfc.com/ne/norfolk/1006-south-13th-street/chickennugget,Mo-Su 11:00-21:00,KFC,Q524757
635,loves,Site 680,,Norfolk,NE,,US,+1 402-379-2920,,,Love's,Q1872496
SUXNF,marriott,Fairfield Inn & Suites Norfolk,,Norfolk,NE,,US,+1 402-370-2244,https://www.marriott.com/SUXNF,,Fairfield by Marriott,Q5430314
SUXNT,marriott,TownePlace Suites Norfolk,,Norfolk,NE,,US,+1 402-370-2244,https://www.marriott.com/SUXNT,,Townplace Suites by Marriott,Q7830092
https://locations.maurices.com/#11688668,maurices,maurices Sunset Plaza,,Norfolk,NE,,US,+1 402-371-4266,https://locations.maurices.com/us/ne/norfolk/1700-market-lane,Mo-Fr 10:00-20:00; Sa 10:00-19:00; Su 12:00-18:00,maurices,Q6793571
3103,menards,NORFOLK,"2311 TAYLOR AVE, NORFOLK, NE 68701",NORFOLK,NE,,US,,https://www.menards.com/main/storeDetails.html?store=3103,,Menards,Q1639897
