Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://local.shaws.com/#5604850,albertsons,Shaw's,,Dover,NH,,US,+1 603-749-5389,https://local.shaws.com/nh/dover/851-central-ave.html,Mo-Sa 07:00-22:00; Su 07:00-21:00,Shaw's,Q578387
https://stores.aldi.us/#12708732,aldi_sud_us,ALDI  828 Central Avenue,,Dover,NH,,US,+1 855-473-1101,https://stores.aldi.us/nh/dover/828-central-avenue,Mo-Su 09:00-20:00,ALDI,Q41171672
https://restaurants.applebees.com/en-us/nh/dover/232-indian-brook-dr.-81068,applebees,Connect with this Applebee's,,Dover,NH,,US,+1 603-742-5707,https://restaurants.applebees.com/en-us/nh/dover/232-indian-brook-dr.-81068,Mo-Th 11:00-24:00; Fr-Sa 11:00-01:00; Su 11:00-24:00,Applebees,Q621532
https://locators.bankofamerica.com/nh/dover/financial-centers-dover-13194.html,bankofamerica,Bank of America Financial Center & Drive-Thru ATM | Dover,,Dover,NH,,US,+1 603-742-6740,https://locators.bankofamerica.com/nh/dover/financial-centers-dover-13194.html,Mo-Fr 10:00-16:00,Bank of America,Q487907
129575,bluerhino,Nouria #1112,,Dover,NH,,US,+1 603-742-1476,,,Blue Rhino,Q65681213
119063,bluerhino,Orgill #272799 - Middleton Building Supply,,Dover,NH,,US,+1 603-742-8200,,,Blue Rhino,Q65681213
28611,bluerhino,Rocky's Ace Hardware #3290,,Dover,NH,,US,+1 603-742-0225,,,Blue Rhino,Q65681213
93330,bluerhino,Hannaford #8373,,Dover,NH,,US,+1 603-749-9232,,,Blue Rhino,Q65681213
152880,bluerhino,Walgreens #10780,,Dover,NH,,US,+1 603-749-4136,,,Blue Rhino,Q65681213
206440,bluerhino,Rite Aid #10292,,Dover,NH,,US,+1 603-742-5313,,,Blue Rhino,Q65681213
187525,bluerhino,"Global #324 - Dover, NH",,Dover,NH,,US,+1 603-742-1115,,,Blue Rhino,Q65681213
207171,bluerhino,Aubuchon Hardware #178,,Dover,NH,,US,+1 603-742-2054,,,Blue Rhino,Q65681213
129576,bluerhino,Nouria #1113,,Dover,NH,,US,+1 603-740-1493,,,Blue Rhino,Q65681213
161421,bluerhino,AL Prime Gas Station #312,,Dover,NH,,US,+1 603-842-4030,,,Blue Rhino,Q65681213
240209,bluerhino,Circle K #4707226,,Dover,NH,,US,+1 603-742-0395,,,Blue Rhino,Q65681213
129577,bluerhino,Nouria #1114,,Dover,NH,,US,+1 603-740-6343,,,Blue Rhino,Q65681213
240210,bluerhino,Circle K #4707264,,Dover,NH,,US,+1 603-842-6717,,,Blue Rhino,Q65681213
32119,chevrolet,DOVER CHEVROLET,,Dover,NH,,US,+1 603-617-3114,https://www.doverchevrolet.com,Mo-Th 09:00-19:00; Fr-Sa 09:00-18:00,Chevrolet,Q29570
001.005.0828,chilis,Dover,,Dover,NH,,US,+1 603-749-0939,https://www.chilis.com/locations/us/new-hampshire/dover/dover/,Mo-Th 11:00-22:00; Fr-Sa 11:00-23:00; Su 11:00-22:00,Chili's,Q1072948
nh_dover_826-central-ave,chipotle, ,,Dover,NH,,US,+1 603-740-8984,https://locations.chipotle.com/nh/dover/826-central-ave,,Chipotle,Q465751
42101,citi,ATM Circle K,,Dover,NH,,US,,,,Citibank,Q857063
27110,citi,ATM 7ELEVEN-FCTI,,Dover,NH,,US,,,,Citibank,Q857063
47322,citi,ATM CVS,,Dover,NH,,US,,,,Citibank,Q857063
31057,citi,ATM 7ELEVEN-FCTI,,Dover,NH,,US,,,,Citibank,Q857063
66263,citi,ATM NEWBURYPORT BANK,,Dover,NH,,US,,,,Citibank,Q857063
66262,citi,ATM NEWBURYPORT BANK,,Dover,NH,,US,,,,Citibank,Q857063
86141,citi,ATM Walgreens,,Dover,NH,,US,,,,Citibank,Q857063
030441,citizens_us,Citizens Dover,,Dover,NH,,US,+1 603-740-4700,,Mo-Fr 09:00-16:00; Sa 09:00-12:00,Citizens,Q5122694
ATM-552,citizens_us,,,Dover,NH,,US,+1 603-740-4700,,24/7,Citizens,Q5122694
ATM-1289,citizens_us,,,Dover,NH,,US,,,,Citizens,Q5122694
ATM-1368,citizens_us,,,Dover,NH,,US,,,,Citizens,Q5122694
,credit_union_us,Holy Rosary CU,,Dover,NH,,US,+1 603-743-3999,,Mo-Th 09:00-05:00; Fr 09:00-06:00; Sa 09:00-12:00,,
,credit_union_us,Northeast CU,,Dover,NH,,US,+1 800-418-1486,,Mo-Fr 09:00-05:00; Sa 09:00-12:00,,
10463,cvs_us,CVS Pharmacy,,Dover,NH,,US,+1 603-742-3995,https://www.cvs.com/store-locator/dover-nh-pharmacies/50-sterling-way-dover-nh-03820/storeid=10463,Mo-Su 08:00-22:00,CVS Pharmacy,Q2078880
3215,dominos_pizza_us,Domino's Pizza,,Dover,NH,,US,+1 603-742-8411,https://pizza.dominos.com/new-hampshire/dover/250-central-ave,Mo-Th 10:30-24:00; Fr-Sa 10:30-01:00; Su 10:30-24:00,Domino's,Q839466
300977,dunkin_us,Dunkin',,Dover,NH,,US,+1 603-749-6415,https://locations.dunkindonuts.com/en/nh/dover/890-central-ave/300977,Mo-Su 05:00-20:00,Dunkin',Q847743
335988,dunkin_us,Dunkin',,Dover,NH,,US,+1 603-750-3150,https://locations.dunkindonuts.com/en/nh/dover/165-portland-ave-rt4/335988,Mo-Su 05:00-20:00,Dunkin',Q847743
340696,dunkin_us,Dunkin',,Dover,NH,,US,+1 603-749-0707,https://locations.dunkindonuts.com/en/nh/dover/1-long-hill-rd/340696,Mo-Su 05:00-21:00,Dunkin',Q847743
358769,dunkin_us,Dunkin',,Dover,NH,,US,+1 603-740-9649,https://locations.dunkindonuts.com/en/nh/dover/14-central-ave/358769,Mo-Fr 05:00-19:00; Sa 06:00-19:00; Su 05:00-19:00,Dunkin',Q847743
300269,dunkin_us,Dunkin',,Dover,NH,,US,+1 603-742-9576,https://locations.dunkindonuts.com/en/nh/dover/526-central-ave/300269,24/7,Dunkin',Q847743
355701,dunkin_us,Dunkin',,Dover,NH,,US,+1 603-750-4150,https://locations.dunkindonuts.com/en/nh/dover/181-silver-st/355701,Mo-Su 05:00-19:00,Dunkin',Q847743
https://www.edwardjones.com/us-en/financial-advisor/jake-cormier,edwardjones,Jake Cormier,,Dover,NH,,US,+1 603-749-1646,https://www.edwardjones.com/us-en/financial-advisor/jake-cormier,Mo-Fr 08:30-17:00,Edward Jones,Q5343830
200304637,exxonmobil,MR MIKE'S #324,,DOVER,NH,,US,+1 603-742-1115,https://www.exxon.com/en/find-station/mobil-dover-nh-mrmikes324-200304637,Mo-Su 05:00-23:00,Mobil,Q109676002
https://restaurants.fiveguys.com/#15552875,five_guys_us,Five Guys Dover,,Dover,NH,,US,+1 603-617-3509,https://restaurants.fiveguys.com/15-webb-place,"Mo-Su 11:00-21:30,11:00-22:00",Five Guys,Q1131810
Motorcraft4434USAEnglish,ford,Bill Dube Ford,,New Hampshire,NH,,US,+1 603-749-5500,,,Ford,Q44294
https://www.ford.com/dealerships/dealer-details/nh/dover/bill-dube-ford/,ford_dealers_us,Bill Dube Ford,,Dover,NH,,US,+1 603-617-3149,https://www.ford.com/dealerships/dealer-details/nh/dover/bill-dube-ford/,Mo-Fr 09:00-18:00; Sa 09:00-17:00; Su 11:00-16:00,Ford Motor Company,Q44294
8371,fresenius_kidney_care_us,Fresenius Kidney Care Cocheco,,Dover,NH,,US,+1 800-881-5101,https://www.freseniuskidneycare.com/dialysis-centers/new-hampshire/8371,Mo-Sa 06:00-16:30,,
