Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
35922,citi,ATM BANK OF ALBUQUERQUE,,Acoma,NM,,US,,,,Citibank,Q857063
35918,citi,ATM BANK OF ALBUQUERQUE,,Acoma Pueblo,NM,,US,,,,Citibank,Q857063
35926,citi,ATM BANK OF ALBUQUERQUE,,Acoma,NM,,US,,,,Citibank,Q857063
8703400000,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,32 INDIAN RD,ACOMA,NM,,US,,,,United States Postal Service,Q668687
8703400001,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,32 INDIAN RD,ACOMA,NM,,US,,,,United States Postal Service,Q668687
8703400002,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,32 INDIAN RD,ACOMA,NM,,US,,,,United States Postal Service,Q668687
,visa,,,ACOMA,NM,,US,,,,,
,visa,,,SAN FIDEL,NM,,US,,,,,
,visa,,,PUEBLO OF ACOMA,NM,,US,,,,,
,visa,,,PUEBLO OF ACOMA,NM,,US,,,,,
,visa,,,ACOMA,NM,,US,,,,,
,visa,,,ACOMA,NM,,US,,,,,
