Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
77971,bluerhino,Lowe's #1836,,Las Vegas,NV,,US,+1 702-352-2510,,,Blue Rhino,Q65681213
13452,burgerking,Burger King,,Las Vegas,NV,,US,+1 702-363-4700,https://www.bk.com/store-locator/store/restaurant_7877,Mo-Su 06:00-22:00,Burger King,Q177054
nv-las-vegas/cinemark-century-suncoast-16-and-xd,cinemark,Cinemark Century Suncoast 16 and XD,,Las Vegas,NV,,US,+1 702-869-1880,https://www.cinemark.com/theatres/nv-las-vegas/cinemark-century-suncoast-16-and-xd,,Cinemark,Q707530
25086,citi,ATM 7ELEVEN-FCTI,,Las Vegas,NV,,US,,,,Citibank,Q857063
46285,citi,ATM Costco,,Las Vegas,NV,,US,,,,Citibank,Q857063
https://www.edwardjones.com/us-en/financial-advisor/yunna-cheung,edwardjones,Yunna Cheung,,Las Vegas,NV,,US,+1 702-341-0418,https://www.edwardjones.com/us-en/financial-advisor/yunna-cheung,Mo-Th 08:00-16:00; Fr 08:00-15:00,Edward Jones,Q5343830
159880,little_free_library,Little Free Library #159880 Las Vegas NV,,Las Vegas,NV,,US,,,,Little Free Library,Q6650101
nv_las-vegas_9090-alta-dr,pizza_hut_us,9090 Alta Dr.,,Las Vegas,NV,,US,,https://locations.pizzahut.com/nv/las-vegas/9090-alta-dr,,Pizza Hut,Q191615
https://www.publicstorage.com/self-storage-nv-las-vegas/5894.html,public_storage_us,Public Storage,,Las Vegas,NV,,US,+1 725-263-0085,https://www.publicstorage.com/self-storage-nv-las-vegas/5894.html,,Public Storage,Q1156045
39600,seven_eleven_ca_us,Bcp Str    1200 N Town Center,,Las Vegas,NV,,US,+1 702-562-6104,https://www.7-eleven.com/locations/nv/las-vegas/1200-n-town-center-39600,,7-Eleven,Q259340
https://stations.sinclairoil.com/nv/las-vegas/1200-n-town-center-dr,sinclair_us,Sinclair Gas Station,,Las Vegas,NV,,US,+1 702-562-6104,https://stations.sinclairoil.com/nv/las-vegas/1200-n-town-center-dr,24/7,Sinclair,Q1290900
10873,tjx,Las Vegas,10950 W Charleston Boulevard,Las Vegas,NV,,US,+1 702-838-7822,,Mo-Sa 09:30-21:30; Su 10:00-20:00,Marshalls,Q15903261
8914400002,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,500 S PAVILION CENTER DR,LAS VEGAS,NV,,US,,,,United States Postal Service,Q668687
8914400001,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,1700 SAGEBERRY DR,LAS VEGAS,NV,,US,,,,United States Postal Service,Q668687
8914400000,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,1111 N TOWN CENTER DR,LAS VEGAS,NV,,US,,,,United States Postal Service,Q668687
8914400005,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,1200 N TOWN CENTER DR,LAS VEGAS,NV,,US,,,,United States Postal Service,Q668687
,visa,,,LAS VEGAS,NV,,US,,,,,
,visa,,,LAS VEGAS,NV,,US,,,,,
,visa,,,LAS VEGAS,NV,,US,,,,,
,visa,,,LAS VEGAS,NV,,US,,,,,
,visa,,,LAS VEGAS,NV,,US,,,,,
