Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
USAA08A91,audi,Audi Buffalo,"5255 Genesee St, Bowmansville, NY 14026",Bowmansville,NY,,US,+1 716-683-3343,,,Audi,Q23317
USAA08A94,audi,Audi Buffalo,"6501 Transit Rd, Bowmansville, NY 14026",Bowmansville,NY,,US,+1 716-932-9001,,,Audi,Q23317
147482,bluerhino,Turbo Mart,,Bowmansville,NY,,US,+1 716-288-7253,,,Blue Rhino,Q65681213
0988942900,sunoco_us,Sunoco,,BOWMANSVILLE,NY,,US,+1 716-288-7253,,Mo-Su 06:00-23:00,Sunoco,Q1423218
1355552,usps,BOWMANSVILLE,,BOWMANSVILLE,NY,,US,+1 716-685-1390,,"Mo-Fr 09:00-12:30,14:00-17:00; Sa 10:00-12:00",United States Postal Service,Q668687
1402600002,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,515 HARRIS HILL RD,BOWMANSVILLE,NY,,US,,,,United States Postal Service,Q668687
1402600004,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,515 HARRIS HILL RD,BOWMANSVILLE,NY,,US,,,,United States Postal Service,Q668687
1402600006,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,515 HARRIS HILL RD,BOWMANSVILLE,NY,,US,,,,United States Postal Service,Q668687
,visa,,,BOWMANVILLE,NY,,US,,,,,
,visa,,,BUFFALO,NY,,US,,,,,
,visa,,,BOWMANSVILLE,NY,,US,,,,,
