Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
164619,bluerhino,Family Dollar #08050,,Danville,OH,,US,+1 740-599-0001,,,Blue Rhino,Q65681213
52994912210034301400100000000000,bp,BP,,Danville,OH,,US,+1 740-599-6825,,24/7,BP,Q152057
23841,dollar_general,Dollar General,,Danville,OH,,US,+1 937-871-0154,https://www.dollargeneral.com/store-directory/oh/danville/23841,Mo-Su 08:00-22:00,Dollar General,Q145168
28050,family_dollar_us,FAMILY DOLLAR #8050,,Danville,OH,,US,+1 740-326-5093,https://www.familydollar.com/locations/oh/danville/28050/,Mo-Su 09:00-21:00,Family Dollar,Q5433101
155573,marathon_petroleum_us,DANVILLE MINI MART,,DANVILLE,OH,,US,+1 740-599-7676,,,Marathon,Q458363
https://restaurants.subway.com/#14893965,subway,Subway,,Danville Knox,OH,,US,+1 740-599-9003,https://restaurants.subway.com/united-states/oh/danville/108-progress-dr,Mo-Su 09:00-21:00,Subway,Q244457
1360289,usps,DANVILLE,,DANVILLE,OH,,US,+1 740-599-7111,,"Mo-Fr 08:30-13:00,14:00-16:00; Sa 08:30-10:30",United States Postal Service,Q668687
4301400001,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,414 S MARKET ST,DANVILLE,OH,,US,,,,United States Postal Service,Q668687
4301400006,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,414 S MARKET ST,DANVILLE,OH,,US,,,,United States Postal Service,Q668687
4301400000,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,414 S MARKET ST,DANVILLE,OH,,US,,,,United States Postal Service,Q668687
,visa,,,DANVILLE,OH,,US,,,,,
,visa,,,DANVILLE,OH,,US,,,,,
,visa,,,DANVILLE,OH,,US,,,,,
,visa,,,DANVILLE,OH,,US,,,,,
,visa,,,DANVILLE,OH,,US,,,,,
,visa,,,DUBLIN,OH,,US,,,,,
