Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
144024,bluerhino,Osage Casinos,,Ponca City,OK,,US,+1 580-765-9154,,,Blue Rhino,Q65681213
60469,citi,ATM Jiffy Trip,,Ponca City,OK,,US,,,,Citibank,Q857063
25580,dollar_general,Dollar General,,Ponca City,OK,,US,+1 615-855-4000,https://www.dollargeneral.com/store-directory/ok/ponca-city/25580,Mo-Su 08:00-22:00,Dollar General,Q145168
103724,little_free_library,Angela’s Little Free Library #103724 Ponca City OK,,Ponca City,OK,,US,,,,Little Free Library,Q6650101
9146,little_free_library,Jim & Paula Blake #9146 Ponca City OK,,Ponca City,OK,,US,,,,Little Free Library,Q6650101
16524,little_free_library,Nathalia Hiatt #16524 Ponca City OK,,Ponca City,OK,,US,,,,Little Free Library,Q6650101
https://www.orkin.com/locations/oklahoma-ok/ponca-city-pest-control/branch-172,orkin_us,Orkin,,Ponca City,OK,,US,+1 580-749-5058,https://www.orkin.com/locations/oklahoma-ok/ponca-city-pest-control/branch-172,,Orkin,Q7102943
0000202329,phillips_66_conoco_76,WOODRIDGE MARKET,,PONCA CITY,OK,,US,+1 580-762-4025,,,Conoco,Q109341187
https://stations.sinclairoil.com/ok/ponca-city/64565-us-highway-60,sinclair_us,Sinclair Gas Station,,Ponca City,OK,,US,+1 580-762-7750,https://stations.sinclairoil.com/ok/ponca-city/64565-us-highway-60,Mo-Su 05:00-23:00,Sinclair,Q1290900
570,sun_loan_us,Sun Loan Company – Ponca City,,Ponca City,OK,,US,+1 580-762-6370,https://www.sunloan.com/find-a-branch/sun-loan-company-ponca-city-oklahoma-205/,Mo-Th 08:30-17:30; Fr 08:30-18:00; Sa 08:30-12:30,Sun Loan,Q118725658
7460400003,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,64820 US HIGHWAY 60,PONCA CITY,OK,,US,,,,United States Postal Service,Q668687
7460400000,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,1916 LAKE RD,PONCA CITY,OK,,US,,,,United States Postal Service,Q668687
,visa,,,PONCA CITY,OK,,US,,,,,
,visa,,,PONCA CITY,OK,,US,,,,,
,visa,,,PONCA CITY,OK,,US,,,,,
,visa,,,PONC CITY,OK,,US,,,,,
,visa,,,PONCA CITY,OK,,US,,,,,
,visa,,,PONCA,OK,,US,,,,,
,visa,,,PONCA CITY,OK,,US,,,,,
,visa,,,PONCA CITY,OK,,US,,,,,
,visa,,,PONCA CITY,OK,,US,,,,,
,visa,,,PONCA CITY,OK,,US,,,,,
,visa,,,PONCA CITY,OK,,US,,,,,
,visa,,,PONCA CITY,OK,,US,,,,,
,visa,,,PONCA CITY,OK,,US,,,,,
,visa,,,PONCA CITY,OK,,US,,,,,
,visa,,,PONCA CITY,OK,,US,,,,,
,visa,,,PONCA CITY,OK,,US,,,,,
,visa,,,PONCA CITY,OK,,US,,,,,
