Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
/locations/propane-offices/oregon/newport/18-northeast-eads-st,amerigas,"AmerGas Propane | Newport, Oregon",,Newport,OR,,US,+1 541-265-2213,/locations/propane-offices/oregon/newport/18-northeast-eads-st,,AmeriGas,Q23130318
595,arctic_circle_us,Newport,,Newport,OR,,US,+1 541-265-7822,,,Arctic Circle,Q4787501
65522,bluerhino,Fred Meyer #00227,,Newport,OR,,US,+1 541-265-4581,,,Blue Rhino,Q65681213
199941,bluerhino,Fred Meyer #227- Fuel Site,,Newport,OR,,US,+1 541-265-2533,,,Blue Rhino,Q65681213
229071,bluerhino,McKay's Market #40-5519,,Newport,OR,,US,+1 541-265-6641,,,Blue Rhino,Q65681213
156721,bluerhino,Walgreens #15239,,Newport,OR,,US,+1 541-574-4351,,,Blue Rhino,Q65681213
0990,carpet_one_floor_and_home_us,Newport Carpet One Floor & Home,,Newport,OR,,US,+1 541-265-3530,https://www.oregoncarpetone.com/,,Carpet One Floor & Home,Q121335910
24047029,chase_us,INDOOR STAND ALONE - 822771,,NEWPORT,OR,,US,+1 800-935-9935,https://locator.chase.com/or/newport/2220-north-coast-hwy,,Chase,Q524629
19929,chevrolet,POWER CHEVROLET GMC,,NEWPORT,OR,,US,+1 541-272-5258,https://www.powergmofnewport.com,Mo-Fr 08:00-19:00; Sa 08:00-18:00,Chevrolet,Q29570
24027,citi,ATM 1ST SECURITY BANK OF WASHINGTON,,Newport,OR,,US,,,,Citibank,Q857063
89581,citi,ATM Walgreens,,Newport,OR,,US,,,,Citibank,Q857063
55938,citi,ATM FIRST INTERSTATE BANK 09,,Newport,OR,,US,,,,Citibank,Q857063
41555,citi,ATM Circle K,,Newport,OR,,US,,,,Citibank,Q857063
65098,citi,ATM Mckay's Market,,Newport,OR,,US,,,,Citibank,Q857063
93952,citi,ATM WASHINGTON FEDERAL BANK,,Newport,OR,,US,,,,Citibank,Q857063
57425,citi,ATM Fred Meyer,,Newport,OR,,US,,,,Citibank,Q857063
73105,citi,ATM Rite Aid,,Newport,OR,,US,,,,Citibank,Q857063
70235341,cricket_wireless,Cricket Wireless Authorized Retailer,,Newport,OR,,US,+1 541-272-5161,https://www.cricketwireless.com/stores/ll/US/OR/Newport/524-N-Coast-Hwy,Mo-Fr 10:00-19:00; Sa 10:00-18:00; Su 11:00-16:00,Cricket Wireless,Q5184987
9395,dominos_pizza_us,Domino's Pizza,,Newport,OR,,US,+1 541-264-4044,https://pizza.dominos.com/oregon/newport/34-south-coast-highway,Mo-Th 10:30-24:00; Fr-Sa 10:30-01:00; Su 10:30-24:00,Domino's,Q839466
DB084,dutchbros,"Newport, OR. (Onpdb)",,Newport,OR,,US,,https://locations.dutchbros.com/dutch-bros-coffee-5a1c40407994,Mo-Th 05:00-22:00; Fr-Sa 05:00-23:00; Su 05:00-22:00,Dutch Bros. Coffee,Q5317253
https://www.edwardjones.com/us-en/financial-advisor/tammy-green2,edwardjones,Tammy Green,,Newport,OR,,US,+1 541-265-4528,https://www.edwardjones.com/us-en/financial-advisor/tammy-green2,Mo-Th 08:30-16:30; Fr 08:30-16:00,Edward Jones,Q5343830
110054,electrify_america,"Walmart 1925 (Newport, OR)",,Newport,OR,,US,,,,Electrify America,Q59773555
E14656,enterprise,Newport,,Newport,OR,,US,+1 541-574-1999,,,Enterprise Rent-A-Car,Q17085454
200322210,exxonmobil,STATION #19,,NEWPORT,OR,,US,+1 541-265-9623,https://www.exxon.com/en/find-station/mobil-newport-or-station19-200322210,Mo-Su 05:00-23:00,Mobil,Q109676002
Motorcraft4877USAEnglish,ford,Power Ford Lincoln,,Oregon,OR,,US,+1 541-265-4601,,,Ford,Q44294
https://www.ford.com/dealerships/dealer-details/or/newport/power-ford/,ford_dealers_us,Power Ford,,Newport,OR,,US,+1 541-272-3741,https://www.ford.com/dealerships/dealer-details/or/newport/power-ford/,Mo-Fr 08:00-19:00; Sa 08:00-18:00,Ford Motor Company,Q44294
8432,fresenius_kidney_care_us,Fresenius Kidney Care Newport Oregon - Closed,,Newport,OR,,US,+1 800-881-5101,https://www.freseniuskidneycare.com/dialysis-centers/oregon/8432,,,
eefc5364-45f4-ea11-80ea-00505689ac90,goodwill,GW on Cape,,Newport,OR,,US,+1 541-264-3048,https://www.goodwill.org/locator/location/?store=ZWVmYzUzNjQtNDVmNC1lYTExLTgwZWEtMDA1MDU2ODlhYzkw&lat=NDQuNjM0OTg=&lng=LTEyNC4wNTI4Ng==,,Goodwill,Q5583655
0ceea3c9-dd2f-e911-80e0-00505689ac90,goodwill,Newport Donation Express,,Newport,OR,,US,,https://www.goodwill.org/locator/location/?store=MGNlZWEzYzktZGQyZi1lOTExLTgwZTAtMDA1MDU2ODlhYzkw&lat=NDQuNjM1Mzc=&lng=LTEyNC4wNTIyMw==,,Goodwill,Q5583655
https://www.harborfreight.com/storelocator/615-n-coast-highway-newport-97365?number=3502,harborfreight,"Harbor Freight Tools Newport, OR",,Newport,OR,,US,+1 541-819-5696,https://www.harborfreight.com/storelocator/615-n-coast-highway-newport-97365?number=3502,Mo-Sa 08:00-20:00; Su 09:00-18:00,Harbor Freight Tools,Q5654601
36402,h_r_block,H&R Block,,Newport,OR,,US,+1 541-264-7270,https://www.hrblock.com/local-tax-offices/oregon/newport/1217-n-coast-hwy-101/36402/,,H&R Block,Q5627799
https://healthy.kaiserpermanente.org/oregon-washington/facilities/oregon-eye-consultants-llc-newport-173593,kaiser_permanente_us,"Oregon Eye Consultants, LLC - Newport",,Newport,OR,,US,+1 541-687-1927,https://healthy.kaiserpermanente.org/oregon-washington/facilities/oregon-eye-consultants-llc-newport-173593,,Kaiser Permanente,Q1721601
https://healthy.kaiserpermanente.org/oregon-washington/facilities/norco-inc-newport-174521,kaiser_permanente_us,"Norco, Inc - Newport",,Newport,OR,,US,+1 541-574-7200,https://healthy.kaiserpermanente.org/oregon-washington/facilities/norco-inc-newport-174521,,Kaiser Permanente,Q1721601
https://healthy.kaiserpermanente.org/oregon-washington/facilities/eye-center-the-llc-newport-173529,kaiser_permanente_us,"Eye Center The, LLC - Newport",,Newport,OR,,US,+1 541-683-2020,https://healthy.kaiserpermanente.org/oregon-washington/facilities/eye-center-the-llc-newport-173529,,Kaiser Permanente,Q1721601
https://healthy.kaiserpermanente.org/oregon-washington/facilities/davita-inc-yaquina-bay-dialysis-159092,kaiser_permanente_us,DaVita Inc - Yaquina Bay Dialysis,,Newport,OR,,US,+1 541-283-3798,https://healthy.kaiserpermanente.org/oregon-washington/facilities/davita-inc-yaquina-bay-dialysis-159092,,Kaiser Permanente,Q1721601
101900,little_free_library,Grandma’s Little Library #101900 Newport OR,,Newport,OR,,US,,,,Little Free Library,Q6650101
21760,little_free_library,Jennelle Alcorn Crawford #21760 Newport OR,,Newport,OR,,US,,,,Little Free Library,Q6650101
21757,little_free_library,Toban Nichols #21757 Newport OR,,Newport,OR,,US,,,,Little Free Library,Q6650101
31937,little_free_library,Tami Harris #31937 Newport OR,,Newport,OR,,US,,,,Little Free Library,Q6650101
21331,little_free_library,Melinda Dye #21331 Newport OR,,Newport,OR,,US,,,,Little Free Library,Q6650101
https://locations.oreillyauto.com/or/newport/check-engine-light-testing-4663.html,oreilly,Your Newport O'Reilly Auto Parts Store,,Newport,OR,,US,+1 541-574-2927,https://locations.oreillyauto.com/or/newport/check-engine-light-testing-4663.html,Mo-Sa 07:30-21:00; Su 08:00-20:00,O'Reilly Auto Parts,Q7071951
https://locations.oreillyauto.com/or/newport/wiper-installation-4663.html,oreilly,Your Newport O'Reilly Auto Parts Store,,Newport,OR,,US,+1 541-574-2927,https://locations.oreillyauto.com/or/newport/wiper-installation-4663.html,Mo-Sa 07:30-21:00; Su 08:00-20:00,O'Reilly Auto Parts,Q7071951
https://locations.oreillyauto.com/or/newport/autopartes-4663.html,oreilly,Tu tienda O'Reilly Auto Parts en Newport,,Newport,OR,,US,+1 541-574-2927,https://locations.oreillyauto.com/or/newport/autopartes-4663.html,Mo-Sa 07:30-21:00; Su 08:00-20:00,O'Reilly Auto Parts,Q7071951
https://locations.oreillyauto.com/or/newport/battery-testing-4663.html,oreilly,Your Newport O'Reilly Auto Parts Store,,Newport,OR,,US,+1 541-574-2927,https://locations.oreillyauto.com/or/newport/battery-testing-4663.html,Mo-Sa 07:30-21:00; Su 08:00-20:00,O'Reilly Auto Parts,Q7071951
https://locations.papamurphys.com/#15429828,papamurphys,Pizza Takeout & Delivery,,Newport,OR,,US,+1 541-265-8009,https://locations.papamurphys.com/or/newport/514-north-coast-highway,Mo-Su 11:00-20:00,Papa Murphy's,Q7132349
fred-meyer-37556,ppgpaints,Fred Meyer,,"Newport, ",OR,,US,,https://www.ppgpaints.com/store-locator/us/oregon/newport-paint-stores/fred-meyer-37556,,PPG Paints,Q83891559
05370,rite_aid_us,Rite Aid #05370 Newport,,Newport,OR,,US,+1 541-265-8596,https://locations2.riteaid.com.yext-cdn.com/or/newport/2336-north-coast-highway.html,Mo-Sa 08:00-21:00; Su 08:00-19:00,Rite Aid,Q3433273
https://local.pharmacy.safeway.com/#5673667,safeway,Safeway Pharmacy,,Newport,OR,,US,+1 541-351-4035,https://local.pharmacy.safeway.com/safeway/or/newport/2220-n-coast-hwy.html,,Safeway,Q1508234
https://local.safeway.com/#5604604,safeway,Safeway,,Newport,OR,,US,+1 541-265-2930,https://local.safeway.com/safeway/or/newport/2220-n-coast-hwy.html,,Safeway,Q1508234
