Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://stores.advanceautoparts.com/pa/monongahela/1230-w-main-st,advance_auto_parts_us,Advance Auto Parts,,Monongahela,PA,,US,+1 724-292-7294,https://stores.advanceautoparts.com/pa/monongahela/1230-w-main-st,Mo-Sa 07:30-21:00; Su 09:00-20:00,Advance Auto Parts,Q4686051
205828,bluerhino,Rite Aid #01197,,Monongahela,PA,,US,+1 724-258-6161,,,Blue Rhino,Q65681213
31769778942001506300100000000000,bp,BP,,Monongahela,PA,,US,+1 724-258-7752,,24/7,BP,Q152057
68079,citi,ATM PNC AT SHEETZ,,Monongahela,PA,,US,,,,Citibank,Q857063
73372,citi,ATM Rite Aid,,Monongahela,PA,,US,,,,Citibank,Q857063
27149,citi,ATM 7ELEVEN-FCTI,,Monongahela,PA,,US,,,,Citibank,Q857063
060998,citizens_us,Citizens Supermarket Branch Fisher Heights GE,,Monongahela,PA,,US,+1 724-258-4050,,Mo-Fr 10:00-17:00; Sa 10:00-15:00,Citizens,Q5122694
ATM-760,citizens_us,,,Monongahela,PA,,US,+1 724-258-4050,,,Citizens,Q5122694
4701,dominos_pizza_us,Domino's Pizza,,Monongahela,PA,,US,+1 724-292-4171,https://pizza.dominos.com/pennsylvania/monongahela/243-west-main-street,Mo-Th 10:30-24:00; Fr-Sa 10:30-01:00; Su 10:30-24:00,Domino's,Q839466
16,eatnpark,Monongahela,,Monongahela,PA,,US,+1 724-258-4654,https://locations.eatnpark.com/pa/monongahela/restaurants-16.html,Mo-Su 07:00-23:00,Eat'n Park,Q5331211
12,gianteagle,Fisher Heights Giant Eagle,,Monongahela,PA,,US,+1 724-258-5011,,Mo-Su 07:00-21:00,Giant Eagle,Q1522721
36792,h_r_block,H&R Block,,Monongahela,PA,,US,+1 724-258-9667,https://www.hrblock.com/local-tax-offices/pennsylvania/monongahela/241-w-main-st/36792/,,H&R Block,Q5627799
devore-hardware-28844,ppgpaints,DEVORE HARDWARE,,"Monongahela, ",PA,,US,+1 724-258-7100,https://www.ppgpaints.com/store-locator/us/pennsylvania/monongahela-paint-stores/devore-hardware-28844,,PPG Paints,Q83891559
