Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
137985,bluerhino,Walmart #5803 - San Juan,,San Juan,PR,,US,+1 787-641-5600,,,Blue Rhino,Q65681213
25358,bluerhino,Walmart #2423,,Carolina,PR,,US,+1 787-625-0691,,,Blue Rhino,Q65681213
85840,citi,ATM Universidad Interamericana De Puerto Rico,,San Juan,PR,,US,,,,Citibank,Q857063
https://www.asurion.com/repairs/tech/locations/bayamon/,ubreakifix,Asurion Tech Repair & Solutions - Bayamon,,Bayamón,PR,,US,+1 787-333-6053,https://www.asurion.com/repairs/tech/locations/bayamon,Mo-Sa 10:00-18:00,Asurion Tech Repair & Solutions,Q4811938
1433965,usps,SAN JUAN,,SAN JUAN,PR,,US,+1 787-622-1758,,Mo-Fr 07:00-19:00; Sa 08:00-16:00,United States Postal Service,Q668687
0093600007,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,585 AVE FD ROOSEVELT,SAN JUAN,PR,,US,,,,United States Postal Service,Q668687
0093600015,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,585 AVE FD ROOSEVELT,SAN JUAN,PR,,US,,,,United States Postal Service,Q668687
0093600009,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,585 AVE FD ROOSEVELT,SAN JUAN,PR,,US,,,,United States Postal Service,Q668687
0093600021,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,585 AVE FD ROOSEVELT,SAN JUAN,PR,,US,,,,United States Postal Service,Q668687
0093600020,usps_collection_boxes,USPS COLLECTION BOX - APC,585 AVE FD ROOSEVELT,SAN JUAN,PR,,US,,,,United States Postal Service,Q668687
0093600022,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,585 AVE FD ROOSEVELT,SAN JUAN,PR,,US,,,,United States Postal Service,Q668687
