Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
33231,bluerhino,Nexcom #053,,Newport,RI,,US,+1 401-841-3958,,,Blue Rhino,Q65681213
https://restaurants.subway.com/#14913608,subway,Subway Naval Undersea Warfare Center,,Newport Newport,RI,,US,+1 401-619-5345,https://restaurants.subway.com/united-states/ri/newport/1176-howell-st,Mo-Th 06:30-15:00; Fr 06:30-14:00,Subway,Q244457
1433100,usps,NETC STATION,,NEWPORT,RI,,US,+1 401-851-6972,,Mo-Fr 09:15-14:00; Sa 09:15-13:30,United States Postal Service,Q668687
0284100000,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,25 SMITH RD,NEWPORT,RI,,US,,,,United States Postal Service,Q668687
0284100006,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,443 PERRY RD,NEWPORT,RI,,US,,,,United States Postal Service,Q668687
0284100007,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,686 CUSHING RD,NEWPORT,RI,,US,,,,United States Postal Service,Q668687
0284100009,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,1900 PEARY ST,NEWPORT,RI,,US,,,,United States Postal Service,Q668687
0284100010,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,1900 PEARY ST,NEWPORT,RI,,US,,,,United States Postal Service,Q668687
0284100004,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,657 PEARY ST,NEWPORT,RI,,US,,,,United States Postal Service,Q668687
0284100002,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,690 PEARY ST,NEWPORT,RI,,US,,,,United States Postal Service,Q668687
0284100003,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,291 KOLLMEYER ST,NEWPORT,RI,,US,,,,United States Postal Service,Q668687
,visa,,,NEWPORT,RI,,US,,,,,
,visa,,,NEWPORT,RI,,US,,,,,
