Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
182743,bluerhino,Walgreens #17118,,Bamberg,SC,,US,+1 803-245-7018,,,Blue Rhino,Q65681213
195234,bluerhino,Fogle's Inc dba Piggly Wiggly #306,,Bamberg,SC,,US,+1 803-245-8333,,,Blue Rhino,Q65681213
90444,citi,ATM Walgreens,,Bamberg,SC,,US,,,,Citibank,Q857063
21055,family_dollar_us,FAMILY DOLLAR #1055,,Bamberg,SC,,US,+1 803-676-6082,https://www.familydollar.com/locations/sc/bamberg/21055/,Mo-Su 08:00-22:00,Family Dollar,Q5433101
7212,fresenius_kidney_care_us,Fresenius Kidney Care Main Hwy - Bamberg,,Bamberg,SC,,US,+1 800-881-5101,https://www.freseniuskidneycare.com/dialysis-centers/south-carolina/7212,Mo 04:30-18:30; Tu 04:30-16:30; We 04:30-18:30; Th 04:30-16:30; Fr 04:30-18:30; Sa 04:30-16:30,,
1504005,hardees_us,Hardee's,,Bamberg,SC,,US,+1 803-245-4895,https://locations.hardees.com/sc/bamberg/2999-main-highway,,Hardee's,Q1585088
39015,h_r_block,H&R Block,,Bamberg,SC,,US,+1 803-245-4812,https://www.hrblock.com/local-tax-offices/south-carolina/bamberg/2269-main-hwy/39015/,,H&R Block,Q5627799
https://locations.oreillyauto.com/sc/bamberg/check-engine-light-testing-5269.html,oreilly,Your Bamberg O'Reilly Auto Parts Store,,Bamberg,SC,,US,+1 803-244-9430,https://locations.oreillyauto.com/sc/bamberg/check-engine-light-testing-5269.html,Mo-Sa 07:30-21:00; Su 09:00-20:00,O'Reilly Auto Parts,Q7071951
https://locations.oreillyauto.com/sc/bamberg/battery-testing-5269.html,oreilly,Your Bamberg O'Reilly Auto Parts Store,,Bamberg,SC,,US,+1 803-244-9430,https://locations.oreillyauto.com/sc/bamberg/battery-testing-5269.html,Mo-Sa 07:30-21:00; Su 09:00-20:00,O'Reilly Auto Parts,Q7071951
https://locations.oreillyauto.com/sc/bamberg/wiper-installation-5269.html,oreilly,Your Bamberg O'Reilly Auto Parts Store,,Bamberg,SC,,US,+1 803-244-9430,https://locations.oreillyauto.com/sc/bamberg/wiper-installation-5269.html,Mo-Sa 07:30-21:00; Su 09:00-20:00,O'Reilly Auto Parts,Q7071951
https://locations.oreillyauto.com/sc/bamberg/autopartes-5269.html,oreilly,Tu tienda O'Reilly Auto Parts en Bamberg,,Bamberg,SC,,US,+1 803-244-9430,https://locations.oreillyauto.com/sc/bamberg/autopartes-5269.html,Mo-Sa 07:30-21:00; Su 09:00-20:00,O'Reilly Auto Parts,Q7071951
300,piggly_wiggly_us,Piggly Wiggly,,Bamberg,SC,,US,+1 803-245-8333,https://www.thepig.net,,Piggly Wiggly,Q3388303
