Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
15596,ace_hardware,Wall Building Center & Construction,,Wall,SD,,US,+1 605-279-2158,,Mo-Fr 07:30-17:30; Sa 08:00-15:00,Ace Hardware,Q4672981
56043,citi,ATM FIRST INTERSTATE BANK 09,,Wall,SD,,US,,,,Citibank,Q857063
,credit_union_us,Black Hills FCU,,Wall,SD,,US,+1 605-718-1818,,Mo-Fr 09:00-05:00,,
85a97ba0-e637-4ab0-a924-6e7cb5bea621,dairy_queen_us,110 South Blvd,,Wall,SD,,US,+1 605-279-2655,https://www.dairyqueen.com/locations/sd/wall/110-south-blvd/6336,,DQ Grill & Chill,Q1141226
110159,electrify_america,"Wall Drug Store-Wall Conoco Station (Wall, SD)",,Wall,SD,,US,,,,Electrify America,Q59773555
19431,little_free_library,Theresa Schaefer #19431 Wall SD,,Wall,SD,,US,,,,Little Free Library,Q6650101
0000862836,phillips_66_conoco_76,WALL AUTO LIVERY,,WALL,SD,,US,+1 605-279-2325,,,Conoco,Q109341187
0000862839,phillips_66_conoco_76,BJ'S WALL,,WALL,SD,,US,+1 605-279-2355,,,Phillips 66,Q1656230
1386250,usps,WALL,,WALL,SD,,US,+1 605-279-2466,,"Mo-Fr 09:00-11:30,12:30-16:00; Sa 09:30-10:30",United States Postal Service,Q668687
5779000001,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,529 MAIN ST,WALL,SD,,US,,,,United States Postal Service,Q668687
5779000003,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,529 MAIN ST,WALL,SD,,US,,,,United States Postal Service,Q668687
,visa,,,WALL,SD,,US,,,,,
,visa,,,WALL,SD,,US,,,,,
,visa,,,WALL,SD,,US,,,,,
,visa,,,WALL,SD,,US,,,,,
,visa,,,WALL,SD,,US,,,,,
,visa,,,WALL,SD,,US,,,,,
,visa,,,WALL,SD,,US,,,,,
,visa,,,WALL,SD,,US,,,,,
,visa,,,WALL,SD,,US,,,,,
,visa,,,WALL,SD,,US,,,,,
,visa,,,WALL,SD,,US,,,,,
,visa,,,WALL,SD,,US,,,,,
,visa,,,WALL,SD,,US,,,,,
