Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://stores.advanceautoparts.com/tn/dyersburg/2437-lake-rd,advance_auto_parts_us,Advance Auto Parts,,Dyersburg,TN,,US,+1 731-287-0586,https://stores.advanceautoparts.com/tn/dyersburg/2437-lake-rd,Mo-Sa 07:30-21:00; Su 09:00-20:00,Advance Auto Parts,Q4686051
2718,anytime_fitness,Anytime Fitness,,Dyersburg,TN,,US,+1 731-285-6616,https://www.anytimefitness.com/gyms/2718/dyersburg-tn-38024/,,Anytime Fitness,Q4778364
https://restaurants.applebees.com/en-us/tn/dyersburg/2700-lake-road-81098,applebees,Connect with this Applebee's,,Dyersburg,TN,,US,+1 731-287-1607,https://restaurants.applebees.com/en-us/tn/dyersburg/2700-lake-road-81098,Mo-Th 11:00-24:00; Fr-Sa 11:00-01:00; Su 11:00-24:00,Applebees,Q621532
https://locations.arbys.com/tn/dyersburg/2710-lake-rd.html,arbys_us,"Arby's Fast-Food Drive Through Near You in Dyersburg, TN",,Dyersburg,TN,,US,+1 731-286-6788,https://locations.arbys.com/tn/dyersburg/2710-lake-rd.html,Mo-Th 10:00-24:00; Fr-Sa 10:00-01:00; Su 10:00-24:00,Arby's,Q630866
14836,asics_us,Hibbett Sports,2700 Lake Rd,Dyersburg,TN,,US,+1 731-286-2918,,,asics,Q327247
11,autozone_us,AutoZone Auto Parts Dyersburg,,Dyersburg,TN,,US,+1 731-285-5066,https://www.autozone.com/locations/tn/dyersburg/1901-us-highway-51-byp-n.html,Mo-Sa 07:00-21:00; Su 08:00-20:00,AutoZone,Q4826087
BBW02661,bathandbodyworks_us,DYERSBURG COMMONS,,DYERSBURG,TN,,US,+1 731-882-3106,,Mo-Sa 10:00-21:00; Su 11:00-18:00,Bath & Body Works,Q810773
359,bealls_us,Bealls,,Dyersburg,TN,,US,+1 731-285-2447,https://stores.bealls.com/tn/dyersburg/clothing-store-359.html,Mo-Th 09:00-21:00; Fr-Sa 09:00-21:30; Su 10:00-20:00,Bealls,Q4876153
https://local.biglots.com/#13190669,biglots,Big Lots - Dyersburg,,Dyersburg,TN,,US,+1 731-285-2828,https://local.biglots.com/tn/dyersburg/2450-lake-rd,Mo-Sa 09:00-21:00; Su 09:00-19:00,Big Lots,Q4905973
68243,bluerhino,Lowe's #1731,,Dyersburg,TN,,US,+1 731-288-4660,,,Blue Rhino,Q65681213
110374,bluerhino,Kroger #392- Delta,,Dyersburg,TN,,US,+1 731-285-0380,,,Blue Rhino,Q65681213
175438,bluerhino,Love's #641,,Dyersburg,TN,,US,+1 731-287-0941,,,Blue Rhino,Q65681213
195296,bluerhino,Murphy's #7760,,Dyersburg,TN,,US,+1 731-287-3913,,,Blue Rhino,Q65681213
221417,bluerhino,Dollar General #2460,,DYERSBURG,TN,,US,+1 731-478-9105,,,Blue Rhino,Q65681213
4777,bluerhino,Walmart #0677 - Supercenter,,Dyersburg,TN,,US,+1 731-285-3700,,,Blue Rhino,Q65681213
221428,bluerhino,Dollar General #7250,,DYERSBURG,TN,,US,+1 731-478-9121,,,Blue Rhino,Q65681213
207332,bluerhino,CASEY'S GENERAL STORE #3092,,Dyersburg,TN,,US,+1 731-201-2631,,,Blue Rhino,Q65681213
61055016368003802400100000000000,bp,BP,,Dyersburg,TN,,US,+1 731-288-3522,,24/7,BP,Q152057
14978562858903802400100000000000,bp,BP,,Dyersburg,TN,,US,+1 731-286-6991,,24/7,BP,Q152057
33663330630123802400100000000000,bp,BP,,Dyersburg,TN,,US,+1 731-286-1331,,24/7,BP,Q152057
https://stores.catofashions.com/#26560618,cato_us,Cato,,,TN,,US,+1 731-286-2288,https://stores.catofashions.com/tn/dyersburg/2700-lake-road,Mo-Sa 10:00-19:00; Su 13:00-18:00,Cato,Q16956136
17220,chevrolet,EXPRESS DYERSBURG CHEVROLET GMC,,Dyersburg,TN,,US,+1 731-286-4114,https://www.expressdyersburg.com,Mo-Sa 08:00-18:00,Chevrolet,Q29570
75522,citi,ATM SECURITY BANK,,Dyersburg,TN,,US,,,,Citibank,Q857063
55522,citi,ATM First Community Bank Heartland,,Dyersburg,TN,,US,,,,Citibank,Q857063
89526,citi,ATM Walgreens,,Dyersburg,TN,,US,,,,Citibank,Q857063
76007,citi,ATM SIMMONS BANK,,Dyersburg,TN,,US,,,,Citibank,Q857063
49275,citi,ATM CVS,,Dyersburg,TN,,US,,,,Citibank,Q857063
55526,citi,ATM First Community Bank Heartland,,Dyersburg,TN,,US,,,,Citibank,Q857063
75993,citi,ATM SIMMONS BANK,,Dyersburg,TN,,US,,,,Citibank,Q857063
75517,citi,ATM SECURITY BANK,,Dyersburg,TN,,US,,,,Citibank,Q857063
53956,citi,ATM Dodges-Dyersburg,,Dyersburg,TN,,US,,,,Citibank,Q857063
53957,citi,ATM DODGES-DYERSBURG #2,,Dyersburg,TN,,US,,,,Citibank,Q857063
dyersburg/6172,claires,Shop Ear Piercings & Jewelry at Dyersburg Mall,,DYERSBURG,TN,,US,+1 731-285-8084,https://stores.claires.com/us/tn/dyersburg/6172.html,Mo-Sa 10:00-19:00; Su 12:00-17:00,Claire's,Q2974996
70175130,cricket_wireless,Cricket Wireless Authorized Retailer,,Dyersburg,TN,,US,+1 731-325-2127,https://www.cricketwireless.com/stores/ll/US/TN/Dyersburg/2450-Lake-Rd,Mo-Sa 10:00-19:00; Su 12:00-17:00,Cricket Wireless,Q5184987
10645,cvs_us,CVS Pharmacy,,Dyersburg,TN,,US,+1 731-285-3999,https://www.cvs.com/store-locator/dyersburg-tn-pharmacies/2300-lake-road-dyersburg-tn-38024/storeid=10645,Mo-Sa 08:00-22:00; Su 09:00-21:00,CVS Pharmacy,Q2078880
18785,dollar_general,Dollar General,,Dyersburg,TN,,US,+1 731-882-7997,https://www.dollargeneral.com/store-directory/tn/dyersburg/18785,Mo-Su 08:00-22:00,Dollar General,Q145168
18020,dollar_general,Dollar General,,Dyersburg,TN,,US,+1 731-882-7830,https://www.dollargeneral.com/store-directory/tn/dyersburg/18020,Mo-Su 08:00-22:00,Dollar General,Q145168
8708,dominos_pizza_us,Domino's Pizza,,Dyersburg,TN,,US,+1 731-285-3030,https://pizza.dominos.com/tennessee/dyersburg/2500-lake-rd-suite-2,Mo-Th 10:00-24:00; Fr-Sa 10:00-01:00; Su 10:00-24:00,Domino's,Q839466
364286,dunkin_us,Dunkin',,Dyersburg,TN,,US,+1 731-259-4112,https://locations.dunkindonuts.com/en/tn/dyersburg/770-us-51/364286,Mo-Su 05:00-20:00,Dunkin',Q847743
https://www.edwardjones.com/us-en/financial-advisor/matt-smith,edwardjones,Matt Smith,,Dyersburg,TN,,US,+1 731-286-5512,https://www.edwardjones.com/us-en/financial-advisor/matt-smith,Mo-Th 08:00-16:30; Fr 08:00-15:00,Edward Jones,Q5343830
E1561D,enterprise,Dyersburg,,Dyersburg,TN,,US,+1 731-285-8588,,,Enterprise Rent-A-Car,Q17085454
https://local.fedex.com/#25229128,fedex,,,Dyersburg,TN,,US,+1 800-463-3339,https://local.fedex.com/en-us/tn/dyersburg/mkled,,FedEx,Q459477
https://local.fedex.com/#25233885,fedex,,,Dyersburg,TN,,US,+1 800-463-3339,https://local.fedex.com/en-us/tn/dyersburg/mkldd,,FedEx,Q459477
https://local.fedex.com/#25235651,fedex,,,Dyersburg,TN,,US,+1 800-463-3339,https://local.fedex.com/en-us/tn/dyersburg/mklcl,,FedEx,Q459477
https://local.fedex.com/#25203504,fedex,,,Dyersburg,TN,,US,+1 800-463-3339,https://local.fedex.com/en-us/tn/dyersburg/arumn,,FedEx,Q459477
https://locations.fivebelow.com/tn/dyersburg/384-w-hwy-51-bypass,five_below,Five Below Dyersburg Commons,,Dyersburg,TN,,US,,https://locations.fivebelow.com/tn/dyersburg/384-w-hwy-51-bypass,Mo-Sa 10:00-20:00; Su 11:00-18:00,Five Below,Q5455836
395908,follett,Dyersburg State CC Bookstore - Dyersburg,,Dyersburg,TN,,US,+1 731-286-3241,https://www.bkstr.com/dyersburgstore/home,Mo-Th 08:30-16:30; Fr 08:30-14:00,,
Motorcraft1998USAEnglish,ford,Tim Castellaw Ford,,Tennessee,TN,,US,+1 731-285-2500,,,Ford,Q44294
https://www.ford.com/dealerships/dealer-details/tn/dyersburg/victory-ford-dyersburg/,ford_dealers_us,Victory Ford Dyersburg,,Dyersburg,TN,,US,+1 877-526-6715,https://www.ford.com/dealerships/dealer-details/tn/dyersburg/victory-ford-dyersburg/,Mo-Th 09:00-19:00; Fr 09:00-18:00; Sa 09:00-17:00,Ford Motor Company,Q44294
100994,fresenius_kidney_care_us,Fresenius Kidney Care Dyersburg,,Dyersburg,TN,,US,+1 800-881-5101,https://www.freseniuskidneycare.com/dialysis-centers/tennessee/100994,Mo 06:00-16:00; We 06:00-16:00; Fr 06:00-16:00,,
https://stores.gnc.com/#24058562,gnc,GNC Dyersburg Mall-5410,,,TN,,US,+1 731-286-6198,https://stores.gnc.com/all-stores-tennessee/dyersburg/2700-lake-road,Mo-Th 10:00-19:00; Fr-Sa 10:00-20:00; Su 13:00-18:00,GNC,Q4808595
