Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
242543,bluerhino,PK Supply #19013,,Graford,TX,,US,+1 940-779-2929,,,Blue Rhino,Q65681213
208067,bluerhino,Kent Kwik #468,,Graford,TX,,US,+1 940-779-3055,,,Blue Rhino,Q65681213
219092,bluerhino,Dollar General #15885,,GRAFORD,TX,,US,+1 940-274-2030,,,Blue Rhino,Q65681213
7355,upsstore,Graford,101 FM 2353 Unit 101,Graford,TX,,US,+1 940-573-7170,https://locations.theupsstore.com/tx/graford/101-fm-2353,,UPS Store,Q7771029
1365252,usps,GRAFORD,,GRAFORD,TX,,US,+1 940-664-3372,,"Mo-Fr 07:30-12:00,13:00-15:30",United States Postal Service,Q668687
7644900003,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,1400 PARK ROAD 36,GRAFORD,TX,,US,,,,United States Postal Service,Q668687
7644900004,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,1712 PARK ROAD 36,GRAFORD,TX,,US,,,,United States Postal Service,Q668687
7644900005,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,605 N FM 2353,GRAFORD,TX,,US,,,,United States Postal Service,Q668687
7644900002,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,118 N MAIN ST,GRAFORD,TX,,US,,,,United States Postal Service,Q668687
7644900007,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,118 N MAIN ST,GRAFORD,TX,,US,,,,United States Postal Service,Q668687
7644900008,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,118 N MAIN ST,GRAFORD,TX,,US,,,,United States Postal Service,Q668687
,visa,,,GRAFORD,TX,,US,,,,,
,visa,,,GRAFORD,TX,,US,,,,,
,visa,,,GRAFORD,TX,,US,,,,,
,visa,,,GRAFORD,TX,,US,,,,,
,visa,,,GRAFORD,TX,,US,,,,,
f4eacbe3b1c742544fbfd07d0cc59806,western_union,KENT KWIK #468,,Graford,TX,,US,+1 940-779-3055,https://location.westernunion.com/us/tx/graford/f4eacbe3b1c742544fbfd07d0cc59806,Mo-Th 05:30-19:00; Fr-Sa 05:30-20:00; Su 06:00-19:00,Western Union,Q861042
ymca-camp-grady-spruce,ymca,YMCA Camp Grady Spruce,3000 Park Rd. 36,Graford,TX,,US,+1 972-393-5121,https://www.ymca.org/locations/ymca-camp-grady-spruce,Mo-Fr 09:00-17:00,YMCA,Q157169
