Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://locations.arbys.com/ut/saltlakecity/2284-e-3900-st-s.html,arbys_us,"Arby's Fast-Food Drive Through Near You in Salt Lake City, UT",,Salt Lake City,UT,,US,+1 801-272-1513,https://locations.arbys.com/ut/saltlakecity/2284-e-3900-st-s.html,Mo-We 10:00-23:00; Th-Sa 10:00-24:00; Su 10:00-23:00,Arby's,Q630866
2042288,chase_us,East 39th South - New branch,,Salt Lake City,UT,,US,+1 801-481-5240,https://locator.chase.com/ut/salt-lake-city/1285-e-3900-s,Mo-Fr 09:00-17:00,Chase,Q524629
207283,chevron,Chevron Station #207283,4013 S WASATCH BLVD,SALT LAKE CITY,UT,,US,,,,Chevron,Q319642
33438,citi,ATM 7ELEVEN-FCTI,,Salt Lake City,UT,,US,,,,Citibank,Q857063
25463,citi,ATM 7ELEVEN-FCTI,,Salt Lake City,UT,,US,,,,Citibank,Q857063
28630,citi,ATM 7ELEVEN-FCTI,,Salt Lake City,UT,,US,,,,Citibank,Q857063
,credit_union_us,Cyprus CU,,Salt Lake City,UT,,US,+1 801-260-7600,,Mo-Fr 07:30-04:00,,
https://www.edwardjones.com/us-en/financial-advisor/joshua-marx,edwardjones,Joshua S Marx,,Salt Lake City,UT,,US,+1 801-679-3218,https://www.edwardjones.com/us-en/financial-advisor/joshua-marx,Mo-Fr 08:00-17:00,Edward Jones,Q5343830
3923-s-wasatch-blvd,einsteinbros,Olympus Einstein Bros. Bagels,,Salt Lake City,UT,,US,+1 801-278-6339,https://locations.einsteinbros.com/us/ut/salt-lake-city/3923-s-wasatch-blvd,Mo-Su 06:00-14:00,Einstein Bros. Bagels,Q5349788
https://salons.greatclips.com/us/ut/salt-lake-city/3951-s-wasatch-blvd,greatclips,Great Clips,,Salt Lake City,UT,,US,+1 801-277-9910,https://salons.greatclips.com/us/ut/salt-lake-city/3951-s-wasatch-blvd,Mo-Fr 09:00-20:00; Sa 08:00-19:00; Su 09:00-16:00,Great Clips,Q5598967
97081,little_free_library,Carey's Books for Kids #97081 Salt Lake City UT,,Salt Lake City,UT,,US,,,,Little Free Library,Q6650101
176981,little_free_library,Holladay House Library #176981 Holladay UT,,Holladay,UT,,US,,,,Little Free Library,Q6650101
118259,little_free_library,OSLC LittleFreeLibrary #118259 Salt Lake City UT,,Salt Lake City,UT,,US,,,,Little Free Library,Q6650101
114113,little_free_library,Joy Swenson and Anita Leimbach Memorial #114113 Holladay UT,,Holladay,UT,,US,,,,Little Free Library,Q6650101
8400,little_free_library,Jackie Hobbs #8400 Salt Lake City UT,,Salt Lake City,UT,,US,,,,Little Free Library,Q6650101
45708,little_free_library,Amy Parker #45708 Salt Lake City UT,,Salt Lake City,UT,,US,,,,Little Free Library,Q6650101
129914,little_free_library,Davona's Library #129914 Salt Lake City UT,,Salt Lake City,UT,,US,,,,Little Free Library,Q6650101
10622,little_free_library,Apollo’s Little Free Library #10622 Millcreek UT,,Millcreek,UT,,US,,,,Little Free Library,Q6650101
https://locations.papamurphys.com/#15430452,papamurphys,Pizza Takeout & Delivery,,Holladay,UT,,US,+1 801-273-1300,https://locations.papamurphys.com/ut/holladay/3932-south-2300-east,Mo-Sa 11:00-20:00; Su 12:00-19:00,Papa Murphy's,Q7132349
ut_salt-lake-city_4430-s-900-e,pizza_hut_us,4430 S 900 E,,Salt Lake City,UT,,US,+1 801-263-3131,https://locations.pizzahut.com/ut/salt-lake-city/4430-s-900-e,,Pizza Hut,Q191615
https://www.publicstorage.com/self-storage-ut-salt-lake-city/942.html,public_storage_us,Public Storage,,Salt Lake City,UT,,US,+1 801-251-1323,https://www.publicstorage.com/self-storage-ut-salt-lake-city/942.html,,Public Storage,Q1156045
https://restaurants.subway.com/#14911066,subway,Subway Olympus Plaza,,Salt Lake City Salt Lake,UT,,US,+1 801-272-2821,https://restaurants.subway.com/united-states/ut/salt-lake-city/3900-south-2300-east,Mo-Fr 07:30-21:00; Sa 08:00-21:00; Su 09:00-19:30,Subway,Q244457
https://restaurants.subway.com/#14894083,subway,Subway Olympus Hills Shopping Center,,Salt Lake City Salt Lake,UT,,US,+1 801-272-0487,https://restaurants.subway.com/united-states/ut/salt-lake-city/3943-b-s-wasatch-boulevard,Mo-Fr 07:30-21:00; Sa 08:00-21:00; Su 09:00-19:30,Subway,Q244457
https://restaurants.subway.com/#14898050,subway,Subway St Mark's Hospital,,Salt Lake City Salt Lake,UT,,US,+1 801-904-3945,https://restaurants.subway.com/united-states/ut/salt-lake-city/1200-e-3900-s,Mo-Fr 07:30-22:00; Sa-Su 09:00-21:00,Subway,Q244457
8412400026,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,4525 S WASATCH BLVD,SALT LAKE CITY,UT,,US,,,,United States Postal Service,Q668687
8412400003,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,2325 E 3900 S,SALT LAKE CITY,UT,,US,,,,United States Postal Service,Q668687
8412400035,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,3950 S HIGHLAND DR,SALT LAKE CITY,UT,,US,,,,United States Postal Service,Q668687
8412400032,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,1285 E 3900 S,SALT LAKE CITY,UT,,US,,,,United States Postal Service,Q668687
8412400015,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,1151 E 3900 S,SALT LAKE CITY,UT,,US,,,,United States Postal Service,Q668687
8412400021,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,4190 S HIGHLAND DR,SALT LAKE CITY,UT,,US,,,,United States Postal Service,Q668687
8412400001,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,3991 S WASATCH BLVD,SALT LAKE CITY,UT,,US,,,,United States Postal Service,Q668687
,visa,,,SALT LAKE CITY,UT,,US,,,,,
,visa,,,SALT LAKE CITY,UT,,US,,,,,
,visa,,,SALT LAKE CITY,UT,,US,,,,,
,visa,,,SALT LAKE CITY,UT,,US,,,,,
,visa,,,SALT LAKE CIT,UT,,US,,,,,
,visa,,,SALT LAKE CITY,UT,,US,,,,,
,visa,,,SALT LAKE CITY,UT,,US,,,,,
,visa,,,HOLLADAY,UT,,US,,,,,
,visa,,,SALT LAKE CITY,UT,,US,,,,,
,visa,,,HOLLADAY,UT,,US,,,,,
,visa,,,SALT LAKE CITY,UT,,US,,,,,
,visa,,,SALT LAKE CITY,UT,,US,,,,,
,visa,,,SALT LAKE CITY,UT,,US,,,,,
,visa,,,SALT LAKE CITY,UT,,US,,,,,
,visa,,,SALT LAKE CITY,UT,,US,,,,,
,visa,,,SALT LAKE CITY,UT,,US,,,,,
,visa,,,SALT LAKE CITY,UT,,US,,,,,
,visa,,,SALT LAKE CITY,UT,,US,,,,,
,visa,,,SALT LAKE CITY,UT,,US,,,,,
8303774ece6d59d195fa3ba84de964dc,western_union,7-ELEVEN #21858,,Salt Lake City,UT,,US,+1 801-261-4249,https://location.westernunion.com/us/ut/salt-lake-city/8303774ece6d59d195fa3ba84de964dc,,Western Union,Q861042
dbc020acd138ef15ece364080d25fa11,western_union,7-ELEVEN #12927,,Salt Lake City,UT,,US,+1 801-272-0351,https://location.westernunion.com/us/ut/salt-lake-city/dbc020acd138ef15ece364080d25fa11,,Western Union,Q861042
