Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://stores.advanceautoparts.com/va/fredericksburg/598-warrenton-rd,advance_auto_parts_us,Advance Auto Parts,,Fredericksburg,VA,,US,+1 540-371-0275,https://stores.advanceautoparts.com/va/fredericksburg/598-warrenton-rd,Mo-Sa 07:30-21:00; Su 08:30-20:00,Advance Auto Parts,Q4686051
https://stores.aldi.us/#4420128,aldi_sud_us,ALDI  1030 Warrenton Road,,Fredericksburg,VA,,US,+1 833-480-1013,https://stores.aldi.us/va/fredericksburg/1030-warrenton-road,"Mo-Su 08:00-20:00,08:30-20:00,09:00-20:00",ALDI,Q41171672
3434,anytime_fitness,Anytime Fitness,,Fredericksburg,VA,,US,+1 540-217-6745,https://www.anytimefitness.com/gyms/3434/fredericksburg-va-22406/,,Anytime Fitness,Q4778364
https://locations.auntieannes.com/#5471,auntie_annes,Auntie Anne's Fredericksburg Walmart Subway,,Fredericksburg,VA,,US,+1 540-286-2550,https://locations.auntieannes.com/va/fredericksburg/11-village-pkwy,,Auntie Anne's,Q4822010
4923,autozone_us,AutoZone Auto Parts Fredericksburg,,Fredericksburg,VA,,US,+1 540-310-4731,https://www.autozone.com/locations/va/fredericksburg/640-warrenton-rd.html,Mo-Sa 07:30-21:00; Su 08:00-20:00,AutoZone,Q4826087
https://local.biglots.com/#23221815,biglots,Big Lots - Fredericksburg,,Fredericksburg,VA,,US,+1 540-684-3203,https://local.biglots.com/va/fredericksburg/736-warrenton-rd,Mo-Sa 09:00-21:00; Su 10:00-19:00,Big Lots,Q4905973
143220,bluerhino,Elfa Convenience Store,,Fredericksburg,VA,,US,+1 540-752-2881,,,Blue Rhino,Q65681213
108238,bluerhino,Giant Food #234 - GL,,Fredericksburg,VA,,US,+1 540-286-1721,,,Blue Rhino,Q65681213
108576,bluerhino,Lowe's #2870,,Fredericksburg,VA,,US,+1 540-371-2868,,,Blue Rhino,Q65681213
114223,bluerhino,Walmart #4258,,Fredericksburg,VA,,US,+1 540-752-2125,,,Blue Rhino,Q65681213
176757,bluerhino,Royal Farms #237,,Fredericksburg,VA,,US,+1 540-907-4527,,,Blue Rhino,Q65681213
213383,bluerhino,Royal Farms #430,,Fredericksburg,VA,,US,+1 540-368-6018,,,Blue Rhino,Q65681213
130874,bluerhino,Stafford Nursery,,Fredericksburg,VA,,US,+1 540-654-5410,,,Blue Rhino,Q65681213
va/fredericksburg/20-bojangles--way,bojangles,"Bojangles Fredericksburg, VA",,Fredericksburg,VA,,US,+1 540-479-6055,https://locations.bojangles.com/va/fredericksburg/20-bojangles--way.html,,Bojangles',Q891163
va_fredericksburg_28-s-gateway-dr,chipotle, ,,Fredericksburg,VA,,US,+1 540-479-3593,https://locations.chipotle.com/va/fredericksburg/28-s-gateway-dr,,Chipotle,Q465751
70356,citi,ATM PNC AT WAWA,,Fredericksburg,VA,,US,,,,Citibank,Q857063
58119,citi,ATM Giant Food,,Fredericksburg,VA,,US,,,,Citibank,Q857063
73975,citi,ATM Royal Farms,,Fredericksburg,VA,,US,,,,Citibank,Q857063
74875,citi,ATM Royal Farms 2,,Fredericksburg,VA,,US,,,,Citibank,Q857063
24418,citi,ATM 7ELEVEN-FCTI,,Fredericksburg,VA,,US,,,,Citibank,Q857063
74763,citi,ATM Royal Farms #0430 - 2,,Fredericksburg,VA,,US,,,,Citibank,Q857063
74762,citi,ATM Royal Farms #0430 - 1,,Fredericksburg,VA,,US,,,,Citibank,Q857063
74624,citi,ATM Royal Farms #0237 - 2,,Fredericksburg,VA,,US,,,,Citibank,Q857063
74623,citi,ATM Royal Farms #0237 - 1,,Fredericksburg,VA,,US,,,,Citibank,Q857063
46563,citi,ATM CVS,,Fredericksburg,VA,,US,,,,Citibank,Q857063
74082,citi,ATM Royal Farms,,Fredericksburg,VA,,US,,,,Citibank,Q857063
74989,citi,ATM Royal Farms 2,,Fredericksburg,VA,,US,,,,Citibank,Q857063
24095,citi,ATM 7ELEVEN-FCTI,,Fredericksburg,VA,,US,,,,Citibank,Q857063
70392,citi,ATM PNC AT WAWA,,Fredericksburg,VA,,US,,,,Citibank,Q857063
82746,citi,ATM Target,,Stafford,VA,,US,,,,Citibank,Q857063
17255,cvs_us,CVS Pharmacy,,Fredericksburg,VA,,US,+1 540-374-4821,https://www.cvs.com/store-locator/fredericksburg-va-pharmacies/25-s-gateway-dr-fredericksburg-va-22406/storeid=17255,"Mo-Fr 09:00-13:30,14:00-19:00; Sa 09:00-13:30,14:00-17:00; Su 11:00-13:30,14:00-17:00",CVS Pharmacy,Q2078880
4335,cvs_us,CVS Pharmacy,,Fredericksburg,VA,,US,+1 540-371-2627,https://www.cvs.com/store-locator/fredericksburg-va-pharmacies/1-mcwhirt-loop-fredericksburg-va-22406/storeid=4335,Mo-Su 08:00-22:00,CVS Pharmacy,Q2078880
6034,dominos_pizza_us,Domino's Pizza,,Fredericksburg,VA,,US,+1 540-374-1515,https://pizza.dominos.com/virginia/fredericksburg/840-warrenton-road,Mo-Th 10:30-24:00; Fr-Sa 10:30-01:00; Su 10:30-24:00,Domino's,Q839466
351301,dunkin_us,Dunkin',,Fredericksburg,VA,,US,+1 540-371-1277,https://locations.dunkindonuts.com/en/va/fredericksburg/551-warrenton-road/351301,Mo-Su 05:00-21:00,Dunkin',Q847743
